"","AREA","SITE","SUB","YEAR","MONTH","DAY","PAGE","LINE","SEX","LENGTH","port","User","NETWT","RNDWT"
"1",161,3,NA,1988,7,13,NA,NA,"",57,"Homer","Charter",3.4,4.5
"2",161,3,NA,1988,7,13,NA,NA,"",72,"Homer","Charter",7.2,9.6
"3",161,3,NA,1988,7,13,NA,NA,"",77,"Homer","Charter",9,11.9
"4",161,3,NA,1988,7,13,NA,NA,"",65,"Homer","Charter",5.2,6.9
"5",161,3,NA,1988,7,13,NA,NA,"",72,"Homer","Charter",7.2,9.6
"6",161,3,NA,1988,7,13,NA,NA,"",64,"Homer","Charter",4.9,6.5
"7",161,3,NA,1988,7,13,NA,NA,"",86,"Homer","Charter",12.8,17.1
"8",161,3,NA,1988,7,13,NA,NA,"",90,"Homer","Charter",14.9,19.8
"9",161,3,NA,1988,7,13,NA,NA,"",76,"Homer","Charter",8.6,11.4
"10",161,3,NA,1988,7,13,NA,NA,"",77,"Homer","Charter",9,11.9
"11",161,3,NA,1988,7,13,NA,NA,"",91,"Homer","Charter",15.4,20.5
"12",161,3,NA,1988,7,13,NA,NA,"",69,"Homer","Charter",6.3,8.4
"13",161,3,NA,1988,7,13,NA,NA,"",93,"Homer","Charter",16.5,22
"14",161,3,NA,1988,7,13,NA,NA,"",76,"Homer","Charter",8.6,11.4
"15",161,3,NA,1988,7,14,NA,NA,"",84,"Homer","Charter",11.9,15.8
"16",161,3,NA,1988,7,14,NA,NA,"",83,"Homer","Charter",11.4,15.2
"17",161,3,NA,1988,7,14,NA,NA,"",95,"Homer","Charter",17.7,23.5
"18",161,3,NA,1988,7,14,NA,NA,"",114,"Homer","Charter",32,42.5
"19",161,3,NA,1988,7,14,NA,NA,"",140,"Homer","Charter",62.2,82.7
"20",161,3,NA,1988,7,14,NA,NA,"",86,"Homer","Charter",12.8,17.1
"21",161,3,NA,1988,7,14,NA,NA,"",80,"Homer","Charter",10.1,13.5
"22",161,3,NA,1988,7,14,NA,NA,"",89,"Homer","Charter",14.3,19.1
"23",161,3,NA,1988,7,14,NA,NA,"",99,"Homer","Charter",20.2,26.9
"24",161,3,NA,1988,7,14,NA,NA,"",131,"Homer","Charter",50.1,66.7
"25",161,3,NA,1988,7,14,NA,NA,"",90,"Homer","Charter",14.9,19.8
"26",161,3,NA,1988,7,14,NA,NA,"",91,"Homer","Charter",15.4,20.5
"27",161,3,NA,1988,7,14,NA,NA,"",93,"Homer","Charter",16.5,22
"28",161,3,NA,1988,7,14,NA,NA,"",99,"Homer","Charter",20.2,26.9
"29",161,3,NA,1988,7,14,NA,NA,"",124,"Homer","Charter",42,55.8
"30",161,3,NA,1988,7,14,NA,NA,"",151,"Homer","Charter",79.4,105.7
"31",161,3,NA,1988,7,14,NA,NA,"",117,"Homer","Charter",34.8,46.2
"32",161,3,NA,1988,7,14,NA,NA,"",76,"Homer","Charter",8.6,11.4
"33",161,3,NA,1988,7,14,NA,NA,"",77,"Homer","Charter",9,11.9
"34",161,3,NA,1988,7,14,NA,NA,"",84,"Homer","Charter",11.9,15.8
"35",161,3,NA,1988,7,14,NA,NA,"",91,"Homer","Charter",15.4,20.5
"36",161,3,NA,1988,7,14,NA,NA,"",106,"Homer","Charter",25.2,33.6
"37",161,3,NA,1988,7,14,NA,NA,"",90,"Homer","Charter",14.9,19.8
"38",161,3,NA,1988,7,14,NA,NA,"",100,"Homer","Charter",20.9,27.8
"39",161,3,NA,1988,7,14,NA,NA,"",102,"Homer","Charter",22.3,29.6
"40",161,3,NA,1988,7,14,NA,NA,"",79,"Homer","Charter",9.7,13
"41",161,3,NA,1988,7,14,NA,NA,"",73,"Homer","Charter",7.5,10
"42",161,3,NA,1988,7,14,NA,NA,"",118,"Homer","Charter",35.7,47.5
"43",161,3,NA,1988,7,14,NA,NA,"",138,"Homer","Charter",59.3,78.9
"44",161,3,NA,1988,7,14,NA,NA,"",86,"Homer","Charter",12.8,17.1
"45",161,3,NA,1988,7,14,NA,NA,"",85,"Homer","Charter",12.3,16.4
"46",161,3,NA,1988,7,14,NA,NA,"",86,"Homer","Charter",12.8,17.1
"47",161,3,NA,1988,7,14,NA,NA,"",85,"Homer","Charter",12.3,16.4
"48",161,3,NA,1988,7,14,NA,NA,"",86,"Homer","Charter",12.8,17.1
"49",161,3,NA,1988,7,14,NA,NA,"",85,"Homer","Charter",12.3,16.4
"50",161,3,NA,1988,7,14,NA,NA,"",86,"Homer","Charter",12.8,17.1
"51",161,3,NA,1988,7,14,NA,NA,"",79,"Homer","Charter",9.7,13
"52",161,3,NA,1988,7,14,NA,NA,"",80,"Homer","Charter",10.1,13.5
"53",161,3,NA,1988,7,14,NA,NA,"",80,"Homer","Charter",10.1,13.5
"54",161,3,NA,1988,7,14,NA,NA,"",68,"Homer","Charter",6,8
"55",161,3,NA,1988,7,14,NA,NA,"",79,"Homer","Charter",9.7,13
"56",161,3,NA,1988,7,14,NA,NA,"",81,"Homer","Charter",10.6,14
"57",161,3,NA,1988,7,14,NA,NA,"",83,"Homer","Charter",11.4,15.2
"58",161,3,NA,1988,7,14,NA,NA,"",79,"Homer","Charter",9.7,13
"59",161,3,NA,1988,7,14,NA,NA,"",75,"Homer","Charter",8.2,10.9
"60",161,3,NA,1988,7,14,NA,NA,"",79,"Homer","Charter",9.7,13
"61",161,3,NA,1988,7,14,NA,NA,"",92,"Homer","Charter",16,21.2
"62",161,3,NA,1988,7,14,NA,NA,"",98,"Homer","Charter",19.6,26
"63",161,3,NA,1988,7,14,NA,NA,"",75,"Homer","Charter",8.2,10.9
"64",161,3,NA,1988,7,14,NA,NA,"",78,"Homer","Charter",9.3,12.4
"65",161,3,NA,1988,7,14,NA,NA,"",100,"Homer","Charter",20.9,27.8
"66",161,3,NA,1988,7,14,NA,NA,"",100,"Homer","Charter",20.9,27.8
"67",161,3,NA,1988,7,14,NA,NA,"",104,"Homer","Charter",23.7,31.6
"68",161,3,NA,1988,7,14,NA,NA,"",114,"Homer","Charter",32,42.5
"69",161,3,NA,1988,7,14,NA,NA,"",83,"Homer","Charter",11.4,15.2
"70",161,3,NA,1988,7,14,NA,NA,"",90,"Homer","Charter",14.9,19.8
"71",161,3,NA,1988,7,14,NA,NA,"",86,"Homer","Charter",12.8,17.1
"72",161,3,NA,1988,7,14,NA,NA,"",75,"Homer","Charter",8.2,10.9
"73",161,3,NA,1988,7,14,NA,NA,"",76,"Homer","Charter",8.6,11.4
"74",161,3,NA,1988,7,14,NA,NA,"",90,"Homer","Charter",14.9,19.8
"75",161,3,NA,1988,7,14,NA,NA,"",92,"Homer","Charter",16,21.2
"76",161,3,NA,1988,7,14,NA,NA,"",82,"Homer","Charter",11,14.6
"77",161,3,NA,1988,7,14,NA,NA,"",93,"Homer","Charter",16.5,22
"78",161,3,NA,1988,7,14,NA,NA,"",93,"Homer","Charter",16.5,22
"79",161,3,NA,1988,7,14,NA,NA,"",83,"Homer","Charter",11.4,15.2
"80",161,3,NA,1988,7,14,NA,NA,"",203,"Homer","Charter",207.2,275.6
"81",161,3,NA,1988,7,14,NA,NA,"",107,"Homer","Charter",26,34.6
"82",161,3,NA,1988,7,14,NA,NA,"",115,"Homer","Charter",32.9,43.7
"83",161,3,NA,1988,7,14,NA,NA,"",84,"Homer","Charter",11.9,15.8
"84",161,3,NA,1988,7,14,NA,NA,"",81,"Homer","Charter",10.6,14
"85",161,3,NA,1988,7,14,NA,NA,"",102,"Homer","Charter",22.3,29.6
"86",161,3,NA,1988,7,14,NA,NA,"",102,"Homer","Charter",22.3,29.6
"87",161,3,NA,1988,7,19,NA,NA,"",110,"Homer","Charter",28.5,37.9
"88",161,3,NA,1988,7,19,NA,NA,"",112,"Homer","Charter",30.2,40.1
"89",161,3,NA,1988,7,19,NA,NA,"",90,"Homer","Charter",14.9,19.8
"90",161,3,NA,1988,7,19,NA,NA,"",102,"Homer","Charter",22.3,29.6
"91",161,3,NA,1988,7,19,NA,NA,"",92,"Homer","Charter",16,21.2
"92",161,3,NA,1988,7,19,NA,NA,"",77,"Homer","Charter",9,11.9
"93",161,3,NA,1988,7,19,NA,NA,"",94,"Homer","Charter",17.1,22.7
"94",161,3,NA,1988,7,19,NA,NA,"",84,"Homer","Charter",11.9,15.8
"95",161,3,NA,1988,7,19,NA,NA,"",116,"Homer","Charter",33.8,45
"96",161,3,NA,1988,7,19,NA,NA,"",156,"Homer","Charter",88.3,117.4
"97",161,3,NA,1988,7,19,NA,NA,"",75,"Homer","Charter",8.2,10.9
"98",161,3,NA,1988,7,19,NA,NA,"",99,"Homer","Charter",20.2,26.9
"99",161,3,NA,1988,7,19,NA,NA,"",77,"Homer","Charter",9,11.9
"100",161,3,NA,1988,7,19,NA,NA,"",66,"Homer","Charter",5.4,7.2
"101",161,3,NA,1988,7,19,NA,NA,"",64,"Homer","Charter",4.9,6.5
"102",161,3,NA,1988,7,19,NA,NA,"",93,"Homer","Charter",16.5,22
"103",161,3,NA,1988,7,19,NA,NA,"",68,"Homer","Charter",6,8
"104",161,3,NA,1988,7,19,NA,NA,"",64,"Homer","Charter",4.9,6.5
"105",161,3,NA,1988,7,19,NA,NA,"",85,"Homer","Charter",12.3,16.4
"106",161,3,NA,1988,7,19,NA,NA,"",81,"Homer","Charter",10.6,14
"107",161,3,NA,1988,7,19,NA,NA,"",100,"Homer","Charter",20.9,27.8
