"","YEAR","MONTH","DAY","PAGE","LINE","AGE","AGEERR","SEX","PORT","User","Length","NETWT","RNDWT"
"1",1991,5,26,1,1,10,"","","CCI","Unknown",83.5,11.7,15.5
"2",1991,5,26,1,2,8,"","","CCI","Unknown",89,14.3,19.1
"3",1991,5,26,1,3,8,"","","CCI","Unknown",91,15.4,20.5
"4",1991,5,26,1,4,7,"","","CCI","Unknown",78,9.3,12.4
"5",1991,5,26,1,5,10,"","","CCI","Unknown",92.5,16.2,21.6
"6",1991,5,26,1,6,8,"","","CCI","Unknown",84,11.9,15.8
"7",1991,5,26,1,7,8,"","","CCI","Unknown",81.5,10.8,14.3
"8",1991,5,26,1,8,8,"","","CCI","Unknown",95,17.7,23.5
"9",1991,5,26,1,9,10,"","","CCI","Unknown",95,17.7,23.5
"10",1991,5,26,1,10,8,"","","CCI","Unknown",117,34.8,46.2
"11",1991,5,26,1,11,11,"","","CCI","Unknown",87,13.3,17.7
"12",1991,5,26,1,12,8,"","","CCI","Unknown",99.5,20.6,27.4
"13",1991,5,28,2,1,8,"","","CCI","Unknown",83,11.4,15.2
"14",1991,5,28,2,2,7,"","","CCI","Unknown",76,8.6,11.4
"15",1991,5,28,2,3,6,"","","CCI","Unknown",67,5.7,7.6
"16",1991,5,28,2,4,8,"","","CCI","Unknown",77.5,9.2,12.2
"17",1991,5,28,2,5,6,"","","CCI","Unknown",80,10.1,13.5
"18",1991,5,28,2,6,8,"","","CCI","Unknown",99.5,20.6,27.4
"19",1991,5,28,2,7,7,"","","CCI","Unknown",74.5,8.1,10.7
"20",1991,5,28,2,8,9,"","","CCI","Unknown",83,11.4,15.2
"21",1991,5,28,2,9,6,"","","CCI","Unknown",61,4.2,5.6
"22",1991,5,28,2,10,7,"","","CCI","Unknown",106,25.2,33.6
"23",1991,5,28,2,11,8,"","","CCI","Unknown",72.5,7.4,9.8
"24",1991,5,28,2,12,6,"","","CCI","Unknown",73,7.5,10
"25",1991,5,28,2,13,7,"","","CCI","Unknown",74,7.9,10.5
"26",1991,5,28,2,14,5,"","","CCI","Unknown",64,4.9,6.5
"27",1991,5,28,2,15,12,"","","CCI","Unknown",119.5,37.2,49.5
"28",1991,5,28,2,16,8,"","","CCI","Unknown",83,11.4,15.2
"29",1991,6,4,3,1,7,"","","CCI","Unknown",80,10.1,13.5
"30",1991,6,4,3,2,7,"","","CCI","Unknown",63.5,4.8,6.4
"31",1991,6,4,3,3,NA,"I","","CCI","Unknown",141,63.6,84.6
"32",1991,6,4,3,4,12,"","","CCI","Unknown",93.5,16.8,22.4
"33",1991,6,4,3,5,10,"","","CCI","Unknown",91,15.4,20.5
"34",1991,6,4,3,6,NA,"I","","CCI","Unknown",123.5,41.4,55.1
"35",1991,6,4,3,7,12,"","","CCI","Unknown",138,59.3,78.9
"36",1991,6,4,3,8,7,"","","CCI","Unknown",83,11.4,15.2
"37",1991,6,4,3,9,10,"","","CCI","Unknown",88,13.8,18.4
"38",1991,6,4,3,10,6,"","","CCI","Unknown",71,6.9,9.2
"39",1991,6,4,3,11,9,"","","CCI","Unknown",94.5,17.4,23.1
