"","SUB","YEAR","MONTH","DAY","PAGE","AGECONF","LINE","AGE","AGEERR","SEX","LENGTH","OBSWT","STATAREA","USER","PORT","CAS","NETWT","RNDWT"
"1",NA,2000,5,26,1,NA,1,NA,"","M",82,NA,NA,"Unknown","Kodiak",0,11,14.6
"2",NA,2000,5,26,1,NA,2,NA,"","M",87,NA,NA,"Unknown","Kodiak",0,13.3,17.7
"3",NA,2000,5,26,1,NA,3,NA,"","F",97,NA,NA,"Unknown","Kodiak",0,18.9,25.2
"4",NA,2000,5,26,1,NA,4,NA,"","M",97,NA,NA,"Unknown","Kodiak",0,18.9,25.2
"5",NA,2000,5,26,1,NA,5,NA,"","F",93,NA,NA,"Unknown","Kodiak",0,16.5,22
"6",NA,2000,5,27,2,NA,1,NA,"","M",77,NA,525733,"Private","Kodiak",0,9,11.9
"7",NA,2000,5,27,2,NA,2,NA,"","F",78,NA,525733,"Private","Kodiak",0,9.3,12.4
"8",NA,2000,5,27,2,NA,3,12,"","M",89,NA,525733,"Private","Kodiak",0,14.3,19.1
"9",NA,2000,5,27,2,NA,4,NA,"I","F",78,NA,525733,"Private","Kodiak",0,9.3,12.4
"10",NA,2000,5,27,2,NA,5,6,"","F",70,NA,525733,"Private","Kodiak",0,6.6,8.8
"11",NA,2000,5,27,2,NA,6,10,"","F",115,NA,525733,"Private","Kodiak",0,32.9,43.7
"12",NA,2000,5,27,2,NA,7,10,"","F",90,NA,525733,"Private","Kodiak",0,14.9,19.8
"13",NA,2000,5,28,3,NA,1,12,"","F",120,NA,525701,"Private","Kodiak",0,37.7,50.2
"14",NA,2000,5,28,3,NA,2,NA,"","M",96,NA,525701,"Private","Kodiak",0,18.3,24.4
"15",NA,2000,5,28,3,NA,3,NA,"","F",103,NA,525701,"Private","Kodiak",0,23,30.6
"16",NA,2000,5,28,3,NA,4,13,"","F",137,NA,525701,"Private","Kodiak",0,58,77.1
"17",NA,2000,5,28,3,NA,5,11,"","F",97,NA,525701,"Private","Kodiak",0,18.9,25.2
"18",NA,2000,5,28,3,NA,6,12,"","F",127,NA,525701,"Private","Kodiak",0,45.3,60.3
"19",NA,2000,5,28,3,NA,7,NA,"","F",87,NA,525701,"Private","Kodiak",0,13.3,17.7
"20",NA,2000,5,28,3,NA,8,12,"","F",86,NA,525701,"Private","Kodiak",0,12.8,17.1
"21",NA,2000,5,28,3,NA,9,NA,"","F",83,NA,525733,"Private","Kodiak",0,11.4,15.2
"22",NA,2000,5,28,3,NA,10,NA,"","F",163,NA,525733,"Private","Kodiak",0,101.8,135.4
