"","AREA","SITE","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGE","AGEERR","SEX","LENGTH","OBSWT","FINCLIP","STATAREA","USER","PORT","CAS","NETWT","RNDWT"
"1",17,754,NA,2001,5,24,1,1,NA,8,"","F",84,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,11.9,15.8
"2",17,754,NA,2001,5,24,1,2,NA,9,"","F",83,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,11.4,15.2
"3",17,754,NA,2001,5,24,1,3,NA,10,"","F",105,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,24.5,32.6
"4",17,754,NA,2001,5,25,2,1,NA,6,"","F",84,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,11.9,15.8
"5",17,754,NA,2001,5,25,2,2,NA,7,"","F",81,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,10.6,14
"6",17,754,NA,2001,5,25,2,3,NA,10,"","F",107,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,26,34.6
"7",17,754,NA,2001,5,25,2,4,NA,11,"","F",94,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,17.1,22.7
"8",17,754,NA,2001,5,25,2,5,NA,10,"","F",115,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,32.9,43.7
"9",17,754,NA,2001,5,25,2,6,NA,9,"","F",84,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,11.9,15.8
"10",17,754,NA,2001,5,25,2,7,NA,NA,"I","F",98,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,19.6,26
"11",17,754,NA,2001,5,25,2,8,NA,NA,"","F",62,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,4.4,5.9
"12",17,754,NA,2001,5,25,2,9,NA,NA,"","F",101,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,21.6,28.7
"13",17,754,NA,2001,5,25,2,10,NA,NA,"","F",72,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,7.2,9.6
"14",17,754,NA,2001,5,25,2,11,NA,10,"","F",137,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,58,77.1
