"","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGE","AGEERR","SEX","LENGTH","OBSWT","STATAREA","USER","CAS","PORT","NETWT","RNDWT"
"1",NA,2002,6,10,1,1,NA,NA,"","F",105,NA,NA,"Unknown",0,"Kodiak",24.5,32.6
"2",NA,2002,6,10,1,2,NA,NA,"","M",86,NA,NA,"Unknown",0,"Kodiak",12.8,17.1
"3",NA,2002,6,10,1,3,NA,NA,"","F",84,NA,NA,"Unknown",0,"Kodiak",11.9,15.8
"4",NA,2002,6,10,1,4,NA,NA,"","F",93,NA,NA,"Unknown",0,"Kodiak",16.5,22
"5",NA,2002,6,10,1,5,NA,NA,"","F",104,NA,NA,"Unknown",0,"Kodiak",23.7,31.6
"6",NA,2002,6,10,1,6,NA,NA,"","F",102,NA,525731,"Unknown",0,"Kodiak",22.3,29.6
"7",NA,2002,6,10,1,7,NA,NA,"","M",70,NA,525731,"Private",0,"Kodiak",6.6,8.8
"8",NA,2002,6,10,1,8,NA,NA,"","F",85,NA,525731,"Private",0,"Kodiak",12.3,16.4
"9",NA,2002,6,10,1,9,NA,12,"","F",147,NA,525731,"Private",0,"Kodiak",72.8,96.9
"10",NA,2002,6,10,1,10,NA,14,"","F",116,NA,525731,"Private",0,"Kodiak",33.8,45
"11",NA,2002,6,10,1,11,NA,7,"","F",79,NA,525731,"Private",0,"Kodiak",9.7,13
"12",NA,2002,6,10,1,12,NA,8,"","F",88,NA,525731,"Private",0,"Kodiak",13.8,18.4
"13",NA,2002,6,10,1,13,NA,8,"","F",86,NA,525731,"Private",0,"Kodiak",12.8,17.1
"14",NA,2002,6,10,1,14,NA,9,"","M",73,NA,525731,"Private",0,"Kodiak",7.5,10
"15",NA,2002,6,10,1,15,NA,NA,"","F",77,NA,525731,"Private",0,"Kodiak",9,11.9
"16",NA,2002,6,10,1,16,NA,NA,"","F",77,NA,525731,"Private",0,"Kodiak",9,11.9
"17",NA,2002,6,11,2,1,NA,10,"","F",101,NA,535731,"Private",0,"Kodiak",21.6,28.7
"18",NA,2002,6,11,2,2,NA,NA,"","F",83,NA,535731,"Private",0,"Kodiak",11.4,15.2
"19",NA,2002,6,11,2,3,NA,11,"","F",135,NA,535731,"Private",0,"Kodiak",55.3,73.5
"20",NA,2002,6,11,2,4,NA,NA,"","F",137,NA,535731,"Private",0,"Kodiak",58,77.1
"21",NA,2002,6,11,2,5,NA,15,"","F",130,NA,535731,"Private",0,"Kodiak",48.9,65
"22",NA,2002,6,11,2,6,NA,NA,"","F",141,NA,535731,"Private",0,"Kodiak",63.6,84.6
"23",NA,2002,6,11,2,7,NA,NA,"","F",90,NA,535731,"Private",0,"Kodiak",14.9,19.8
"24",NA,2002,6,11,2,8,NA,8,"","F",81,NA,535731,"Private",0,"Kodiak",10.6,14
"25",NA,2002,6,11,2,9,NA,NA,"","F",93,NA,535731,"Private",0,"Kodiak",16.5,22
"26",NA,2002,6,11,2,10,NA,NA,"","F",115,NA,535731,"Private",0,"Kodiak",32.9,43.7
"27",NA,2002,6,11,2,11,NA,NA,"","F",101,NA,535731,"Private",0,"Kodiak",21.6,28.7
"28",NA,2002,6,11,2,12,NA,8,"","F",125,NA,535731,"Private",0,"Kodiak",43.1,57.3
"29",NA,2002,6,14,3,1,NA,NA,"","F",108,NA,535734,"Private",0,"Kodiak",26.8,35.7
"30",NA,2002,6,14,3,2,NA,NA,"","M",78,NA,535734,"Private",0,"Kodiak",9.3,12.4
"31",NA,2002,6,14,3,3,NA,NA,"","F",87,NA,535734,"Private",0,"Kodiak",13.3,17.7
"32",NA,2002,6,14,3,4,NA,NA,"","F",92,NA,535734,"Private",0,"Kodiak",16,21.2
"33",NA,2002,6,14,3,5,NA,11,"","F",95,NA,535734,"Private",0,"Kodiak",17.7,23.5
"34",NA,2002,6,14,3,6,NA,10,"","F",115,NA,535734,"Private",0,"Kodiak",32.9,43.7
"35",NA,2002,6,14,3,7,NA,6,"","M",87,NA,525733,"Private",0,"Kodiak",13.3,17.7
"36",NA,2002,6,14,3,8,NA,4,"","M",64,NA,525733,"Private",0,"Kodiak",4.9,6.5
"37",NA,2002,6,14,3,9,NA,NA,"","F",87,NA,525733,"Private",0,"Kodiak",13.3,17.7
"38",NA,2002,6,15,4,1,NA,8,"","M",75,NA,525731,"Private",0,"Kodiak",8.2,10.9
"39",NA,2002,6,15,4,2,NA,7,"","M",76,NA,525731,"Private",0,"Kodiak",8.6,11.4
"40",NA,2002,6,15,4,3,NA,NA,"","F",82,NA,525731,"Private",0,"Kodiak",11,14.6
"41",NA,2002,6,15,4,4,NA,NA,"","F",70,NA,525731,"Private",0,"Kodiak",6.6,8.8
"42",NA,2002,6,15,4,5,NA,15,"","F",94,NA,525731,"Private",0,"Kodiak",17.1,22.7
"43",NA,2002,6,15,4,6,NA,9,"","M",75,NA,525731,"Private",0,"Kodiak",8.2,10.9
