"","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGE","AGEERR","SEX","LENGTH","OBSWT","STATAREA","USER","PORT","CAS","NETWT","RNDWT"
"1",NA,2004,6,13,1,1,NA,NA,"","F",84,NA,525733,"Private","Kodiak",0,11.9,15.8
"2",NA,2004,6,13,1,2,NA,NA,"","F",89,NA,525733,"Private","Kodiak",0,14.3,19.1
"3",NA,2004,6,14,2,1,NA,NA,"","M",98,NA,525733,"Private","Kodiak",0,19.6,26
"4",NA,2004,6,14,2,2,NA,8,"","F",109,NA,525733,"Private","Kodiak",0,27.6,36.8
"5",NA,2004,6,14,2,3,NA,12,"","M",84,NA,525733,"Private","Kodiak",0,11.9,15.8
"6",NA,2004,6,14,2,4,NA,9,"","M",80,NA,525733,"Private","Kodiak",0,10.1,13.5
"7",NA,2004,6,14,2,5,NA,18,"","M",84,NA,525733,"Private","Kodiak",0,11.9,15.8
"8",NA,2004,6,14,2,6,NA,9,"","M",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"9",NA,2004,6,14,2,7,NA,NA,"","F",97,NA,525733,"Private","Kodiak",0,18.9,25.2
"10",NA,2004,6,14,2,8,NA,NA,"","F",78,NA,525733,"Private","Kodiak",0,9.3,12.4
"11",NA,2004,6,14,2,9,NA,13,"","F",123,NA,525733,"Private","Kodiak",0,40.9,54.4
"12",NA,2004,6,14,2,10,NA,NA,"","F",121,NA,525733,"Private","Kodiak",0,38.8,51.6
"13",NA,2004,6,14,2,11,NA,13,"","F",150,NA,525733,"Private","Kodiak",0,77.8,103.4
"14",NA,2004,6,14,2,12,NA,NA,"","F",107,NA,525733,"Private","Kodiak",0,26,34.6
"15",NA,2004,6,14,2,13,NA,7,"","F",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"16",NA,2004,6,14,2,14,NA,NA,"","F",95,NA,525733,"Private","Kodiak",0,17.7,23.5
"17",NA,2004,6,14,2,15,NA,NA,"","F",88,NA,525733,"Private","Kodiak",0,13.8,18.4
"18",NA,2004,6,14,2,16,NA,NA,"","F",85,NA,525733,"Private","Kodiak",0,12.3,16.4
"19",NA,2004,6,14,2,17,NA,NA,"","F",89,NA,525733,"Private","Kodiak",0,14.3,19.1
"20",NA,2004,6,15,3,1,NA,NA,"","F",82,NA,525733,"Charter","Kodiak",0,11,14.6
"21",NA,2004,6,15,3,2,NA,6,"","F",69,NA,525733,"Charter","Kodiak",0,6.3,8.4
"22",NA,2004,6,15,3,3,NA,6,"","F",69,NA,525733,"Charter","Kodiak",0,6.3,8.4
"23",NA,2004,6,15,3,4,NA,9,"","M",75,NA,525733,"Charter","Kodiak",0,8.2,10.9
"24",NA,2004,6,15,3,5,NA,8,"","M",70,NA,525733,"Charter","Kodiak",0,6.6,8.8
"25",NA,2004,6,15,3,6,NA,6,"","M",73,NA,525733,"Charter","Kodiak",0,7.5,10
"26",NA,2004,6,15,3,7,NA,20,"","M",81,NA,525733,"Charter","Kodiak",0,10.6,14
"27",NA,2004,6,15,3,8,NA,8,"","M",69,NA,525733,"Charter","Kodiak",0,6.3,8.4
"28",NA,2004,6,20,4,1,NA,12,"","M",88,NA,525733,"Private","Kodiak",0,13.8,18.4
"29",NA,2004,6,20,4,2,NA,12,"","M",78,NA,525733,"Private","Kodiak",0,9.3,12.4
"30",NA,2004,6,20,4,3,NA,NA,"","F",72,NA,525733,"Private","Kodiak",0,7.2,9.6
"31",NA,2004,6,20,4,4,NA,NA,"","F",90,NA,525733,"Private","Kodiak",0,14.9,19.8
"32",NA,2004,6,20,4,5,NA,9,"","F",102,NA,525732,"Private","Kodiak",0,22.3,29.6
"33",NA,2004,6,20,4,6,NA,NA,"","F",88,NA,525732,"Private","Kodiak",0,13.8,18.4
"34",NA,2004,6,20,4,7,NA,NA,"","F",88,NA,525733,"Private","Kodiak",0,13.8,18.4
"35",NA,2004,6,20,4,8,NA,NA,"","F",95,NA,525733,"Private","Kodiak",0,17.7,23.5
"36",NA,2004,6,20,4,9,NA,11,"","F",138,NA,525732,"Private","Kodiak",0,59.3,78.9
"37",NA,2004,6,20,4,10,NA,11,"","F",137,NA,525732,"Private","Kodiak",0,58,77.1
"38",NA,2004,6,20,4,11,NA,NA,"","F",72,NA,525732,"Private","Kodiak",0,7.2,9.6
"39",NA,2004,6,20,4,12,NA,14,"","M",95,NA,525733,"Charter","Kodiak",0,17.7,23.5
"40",NA,2004,6,20,4,13,NA,NA,"I","M",96,NA,525733,"Charter","Kodiak",0,18.3,24.4
"41",NA,2004,6,20,4,14,NA,5,"","F",128,NA,525733,"Charter","Kodiak",0,46.5,61.9
"42",NA,2004,6,20,4,15,NA,8,"","F",99,NA,525733,"Charter","Kodiak",0,20.2,26.9
"43",NA,2004,6,20,4,16,NA,7,"","F",95,NA,525733,"Charter","Kodiak",0,17.7,23.5
"44",NA,2004,6,20,4,17,NA,12,"","F",122,NA,525733,"Charter","Kodiak",0,39.8,52.9
"45",NA,2004,6,20,4,18,NA,13,"","F",105,NA,525733,"Charter","Kodiak",0,24.5,32.6
"46",NA,2004,6,20,4,19,NA,11,"","F",108,NA,525733,"Charter","Kodiak",0,26.8,35.7
"47",NA,2004,6,20,4,20,NA,10,"","F",133,NA,525733,"Charter","Kodiak",0,52.7,70
"48",NA,2004,6,20,4,21,NA,11,"","F",93,NA,525733,"Charter","Kodiak",0,16.5,22
"49",NA,2004,6,20,4,22,NA,17,"","F",139,NA,525733,"Charter","Kodiak",0,60.7,80.8
"50",NA,2004,6,20,4,23,NA,19,"","F",124,NA,525733,"Charter","Kodiak",0,42,55.8
"51",NA,2004,6,20,4,24,NA,7,"","F",88,NA,525733,"Charter","Kodiak",0,13.8,18.4
"52",NA,2004,6,20,4,25,NA,NA,"","M",90,NA,525733,"Private","Kodiak",0,14.9,19.8
"53",NA,2004,6,20,4,26,NA,4,"","M",68,NA,525733,"Private","Kodiak",0,6,8
"54",NA,2004,6,20,4,27,NA,NA,"","M",81,NA,525733,"Private","Kodiak",0,10.6,14
