"","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGE","AGEERR","SEX","LENGTH","OBSWT","STATAREA","LITHO","USER","PORT","CAS","NETWT","RNDWT"
"1",NA,2006,6,16,1,1,NA,NA,"","F",101,NA,525733,NA,"Private","Kodiak",0,21.6,28.7
"2",NA,2006,6,16,1,2,NA,NA,"","F",121,NA,525733,NA,"Private","Kodiak",0,38.8,51.6
"3",NA,2006,6,18,2,1,NA,7,"","F",74,NA,525732,NA,"Private","Kodiak",0,7.9,10.5
"4",NA,2006,6,18,2,2,NA,6,"","F",73,NA,525733,NA,"Private","Kodiak",0,7.5,10
"5",NA,2006,6,18,2,3,NA,8,"","F",102,NA,525733,NA,"Private","Kodiak",0,22.3,29.6
"6",NA,2006,6,18,2,4,NA,7,"","F",69,NA,525733,NA,"Private","Kodiak",0,6.3,8.4
"7",NA,2006,6,18,2,5,NA,8,"","F",92,NA,525733,NA,"Private","Kodiak",0,16,21.2
"8",NA,2006,6,18,2,6,NA,7,"","F",72,NA,525733,NA,"Private","Kodiak",0,7.2,9.6
"9",NA,2006,6,18,2,7,NA,NA,"","M",85,NA,525733,NA,"Private","Kodiak",0,12.3,16.4
"10",NA,2006,6,18,2,8,NA,12,"","M",100,NA,525733,NA,"Private","Kodiak",0,20.9,27.8
"11",NA,2006,6,18,2,9,NA,7,"","M",69,NA,525733,NA,"Private","Kodiak",0,6.3,8.4
"12",NA,2006,6,19,3,1,NA,12,"","F",150,NA,525733,NA,"Private","Kodiak",0,77.8,103.4
"13",NA,2006,6,19,3,2,NA,12,"","F",126,NA,525733,NA,"Private","Kodiak",0,44.2,58.8
"14",NA,2006,6,19,3,3,NA,NA,"","M",82,NA,525733,NA,"Private","Kodiak",0,11,14.6
"15",NA,2006,6,20,4,1,NA,7,"","F",77,NA,525733,NA,"Charter","Kodiak",0,9,11.9
"16",NA,2006,6,20,4,2,NA,10,"","F",87,NA,525733,NA,"Charter","Kodiak",0,13.3,17.7
"17",NA,2006,6,20,4,3,NA,9,"","F",81,NA,525733,NA,"Charter","Kodiak",0,10.6,14
"18",NA,2006,6,20,4,4,NA,8,"","F",89,NA,525733,NA,"Charter","Kodiak",0,14.3,19.1
"19",NA,2006,6,20,4,5,NA,NA,"","F",85,NA,525733,NA,"Charter","Kodiak",0,12.3,16.4
"20",NA,2006,6,20,4,6,NA,7,"","F",90,NA,525733,NA,"Charter","Kodiak",0,14.9,19.8
"21",NA,2006,6,20,4,7,NA,NA,"","M",82,NA,525733,NA,"Charter","Kodiak",0,11,14.6
"22",NA,2006,6,21,5,1,NA,5,"","F",57,NA,525733,NA,"Private","Kodiak",0,3.4,4.5
"23",NA,2006,6,22,6,1,NA,NA,"","F",144,NA,525733,NA,"Private","Kodiak",0,68.1,90.6
"24",NA,2006,6,22,6,2,NA,6,"","F",62,NA,525733,NA,"Private","Kodiak",0,4.4,5.9
"25",NA,2006,6,22,6,3,NA,NA,"","F",68,NA,525733,NA,"Private","Kodiak",0,6,8
"26",NA,2006,6,22,6,4,NA,NA,"","F",65,NA,525733,NA,"Private","Kodiak",0,5.2,6.9
"27",NA,2006,6,22,6,5,NA,13,"","F",143,NA,525733,NA,"Private","Kodiak",0,66.6,88.6
"28",NA,2006,6,22,6,6,NA,13,"","F",84,NA,525733,NA,"Private","Kodiak",0,11.9,15.8
"29",NA,2006,6,22,6,7,NA,14,"","F",146,NA,525733,NA,"Private","Kodiak",0,71.2,94.7
"30",NA,2006,6,22,6,8,NA,10,"","F",142,NA,525733,NA,"Private","Kodiak",0,65.1,86.6
"31",NA,2006,6,22,6,9,NA,4,"","F",61,NA,525733,NA,"Private","Kodiak",0,4.2,5.6
"32",NA,2006,6,22,6,10,NA,6,"","F",71,NA,525733,NA,"Private","Kodiak",0,6.9,9.2
"33",NA,2006,6,22,6,11,NA,5,"","F",56,NA,525733,NA,"Private","Kodiak",0,3.2,4.2
"34",NA,2006,6,22,6,12,NA,6,"","F",66,NA,525733,NA,"Private","Kodiak",0,5.4,7.2
"35",NA,2006,6,22,6,13,NA,NA,"","F",77,NA,525733,NA,"Private","Kodiak",0,9,11.9
"36",NA,2006,6,22,6,14,NA,6,"","F",75,NA,525733,NA,"Private","Kodiak",0,8.2,10.9
"37",NA,2006,6,22,6,15,NA,8,"","F",87,NA,525733,NA,"Private","Kodiak",0,13.3,17.7
"38",NA,2006,6,22,6,16,NA,7,"","F",68,NA,525733,NA,"Private","Kodiak",0,6,8
"39",NA,2006,6,22,6,17,NA,NA,"","F",91,NA,525733,NA,"Private","Kodiak",0,15.4,20.5
"40",NA,2006,6,22,6,18,NA,8,"","F",93,NA,525733,NA,"Private","Kodiak",0,16.5,22
"41",NA,2006,6,22,6,19,NA,11,"","M",86,NA,525733,NA,"Private","Kodiak",0,12.8,17.1
"42",NA,2006,6,22,6,20,NA,NA,"","M",83,NA,525733,NA,"Private","Kodiak",0,11.4,15.2
"43",NA,2006,6,22,6,21,NA,NA,"","M",76,NA,525733,NA,"Private","Kodiak",0,8.6,11.4
"44",NA,2006,6,22,6,22,NA,NA,"","M",81,NA,525733,NA,"Private","Kodiak",0,10.6,14
"45",NA,2006,6,22,6,23,NA,13,"","M",88,NA,525733,NA,"Private","Kodiak",0,13.8,18.4
"46",NA,2006,6,23,7,1,NA,12,"","F",123,NA,525733,NA,"Charter","Kodiak",0,40.9,54.4
"47",NA,2006,6,23,7,2,NA,8,"","F",88,NA,525733,NA,"Charter","Kodiak",0,13.8,18.4
"48",NA,2006,6,23,7,3,NA,8,"","F",75,NA,525733,NA,"Charter","Kodiak",0,8.2,10.9
"49",NA,2006,6,23,7,4,NA,16,"","F",128,NA,525733,NA,"Charter","Kodiak",0,46.5,61.9
"50",NA,2006,6,23,7,5,NA,NA,"","F",152,NA,525733,NA,"Charter","Kodiak",0,81.2,107.9
"51",NA,2006,6,23,7,6,NA,10,"","F",103,NA,525733,NA,"Charter","Kodiak",0,23,30.6
"52",NA,2006,6,23,7,7,NA,NA,"","F",124,NA,525733,NA,"Charter","Kodiak",0,42,55.8
"53",NA,2006,6,23,7,8,NA,11,"","F",125,NA,525733,NA,"Charter","Kodiak",0,43.1,57.3
"54",NA,2006,6,23,7,9,NA,7,"","F",94,NA,525733,NA,"Charter","Kodiak",0,17.1,22.7
"55",NA,2006,6,23,7,10,NA,NA,"","F",83,NA,525733,NA,"Charter","Kodiak",0,11.4,15.2
"56",NA,2006,6,23,7,11,NA,8,"","F",81,NA,525733,NA,"Charter","Kodiak",0,10.6,14
"57",NA,2006,6,23,7,12,NA,12,"","M",84,NA,525733,NA,"Charter","Kodiak",0,11.9,15.8
"58",NA,2006,6,23,7,13,NA,NA,"","M",80,NA,525733,NA,"Charter","Kodiak",0,10.1,13.5
"59",NA,2006,6,23,7,14,NA,NA,"","M",82,NA,525733,NA,"Charter","Kodiak",0,11,14.6
"60",NA,2006,6,23,7,15,NA,18,"","M",86,NA,525733,NA,"Charter","Kodiak",0,12.8,17.1
"61",NA,2006,6,23,7,16,NA,24,"","M",83,NA,525733,NA,"Charter","Kodiak",0,11.4,15.2
"62",NA,2006,6,23,7,17,NA,NA,"","M",88,NA,525733,NA,"Charter","Kodiak",0,13.8,18.4
"63",NA,2006,6,23,7,18,NA,20,"","M",85,NA,525733,NA,"Charter","Kodiak",0,12.3,16.4
"64",NA,2006,6,23,7,19,NA,14,"","M",84,NA,525733,NA,"Charter","Kodiak",0,11.9,15.8
"65",NA,2006,6,28,8,1,NA,7,"","F",91,NA,525733,NA,"Private","Kodiak",0,15.4,20.5
"66",NA,2006,6,28,8,2,NA,12,"","F",145,NA,525733,NA,"Private","Kodiak",0,69.7,92.7
"67",NA,2006,6,28,8,3,NA,NA,"","F",109,NA,525733,NA,"Private","Kodiak",0,27.6,36.8
"68",NA,2006,6,28,8,4,NA,13,"","F",127,NA,525733,NA,"Private","Kodiak",0,45.3,60.3
"69",NA,2006,6,28,8,5,NA,14,"","F",134,NA,525733,NA,"Private","Kodiak",0,53.9,71.8
"70",NA,2006,6,28,8,6,NA,9,"","F",124,NA,525733,NA,"Private","Kodiak",0,42,55.8
"71",NA,2006,6,28,8,7,NA,NA,"","F",147,NA,525733,NA,"Private","Kodiak",0,72.8,96.9
