"","year","page","line","port","age","AgeErr","length2","sex2","SEX","LENGTH","NETWT","RNDWT","AGE2","AGECONF","USER","BOATNAME","STATAREA","CAS","MONTH","DAY","SUB","LITHO"
"1",2007,1,1,"CCI",NA,"",NA,"","F",84,11.9,15.8,NA,NA,"Charter","ORCA",525931,NA,5,18,1,NA
"2",2007,1,2,"CCI",NA,"",NA,"","F",89,14.3,19.1,NA,NA,"Charter","ORCA",525931,NA,5,18,1,NA
"3",2007,1,3,"CCI",NA,"",NA,"","F",101,21.6,28.7,NA,NA,"Charter","ORCA",525931,NA,5,18,1,NA
"4",2007,1,4,"CCI",6,"",83,"F","F",83,11.4,15.2,NA,NA,"Charter","ORCA",525931,NA,5,18,1,NA
"5",2007,1,5,"CCI",6,"",94,"F","F",94,17.1,22.7,NA,NA,"Charter","ORCA",525931,NA,5,18,1,NA
"6",2007,1,6,"CCI",8,"",76,"F","F",76,8.6,11.4,NA,NA,"Charter","ORCA",525931,NA,5,18,1,NA
"7",2007,2,1,"CCI",7,"",84,"F","F",84,11.9,15.8,NA,NA,"Private","AK 8888",515939,NA,5,19,2,NA
"8",2007,2,2,"CCI",NA,"",NA,"","F",136,56.6,75.3,NA,NA,"Charter","LUCKY DOG",515939,NA,5,19,2,NA
"9",2007,2,3,"CCI",NA,"",NA,"","M",78,9.3,12.4,NA,NA,"Charter","LUCKY DOG",525931,NA,5,19,2,NA
"10",2007,2,4,"CCI",NA,"",NA,"","F",78,9.3,12.4,NA,NA,"Charter","LUCKY DOG",525931,NA,5,19,2,NA
"11",2007,2,5,"CCI",9,"",86,"F","F",86,12.8,17.1,NA,NA,"Charter","LUCKY DOG",525931,NA,5,19,2,NA
"12",2007,2,6,"CCI",NA,"",NA,"","F",81,10.6,14,NA,NA,"Charter","LUCKY DOG",525931,NA,5,19,2,NA
"13",2007,2,7,"CCI",11,"",81,"M","M",81,10.6,14,NA,NA,"Charter","LUCKY DOG",525931,NA,5,19,2,NA
"14",2007,2,8,"CCI",7,"",74,"F","F",74,7.9,10.5,NA,NA,"Private","AK8780",515937,NA,5,19,2,NA
"15",2007,2,9,"CCI",10,"",85,"F","F",85,12.3,16.4,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"16",2007,2,10,"CCI",NA,"",NA,"","M",84,11.9,15.8,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"17",2007,2,11,"CCI",NA,"",NA,"","M",84,11.9,15.8,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"18",2007,2,12,"CCI",NA,"",NA,"","F",94,17.1,22.7,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"19",2007,2,13,"CCI",NA,"",NA,"","M",83,11.4,15.2,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"20",2007,2,14,"CCI",NA,"",NA,"","F",104,23.7,31.6,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"21",2007,2,15,"CCI",NA,"",NA,"","M",87,13.3,17.7,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"22",2007,2,16,"CCI",15,"",88,"M","M",88,13.8,18.4,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"23",2007,2,17,"CCI",NA,"",NA,"","F",90,14.9,19.8,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"24",2007,2,18,"CCI",NA,"",NA,"","M",86,12.8,17.1,NA,NA,"Charter","DREAM CATCHER",525931,NA,5,19,2,NA
"25",2007,2,19,"CCI",NA,"",NA,"","F",90,14.9,19.8,NA,NA,"Charter","GAME FISHER",525931,NA,5,19,2,NA
"26",2007,3,1,"CCI",NA,"",NA,"","F",91,15.4,20.5,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"27",2007,3,2,"CCI",NA,"",NA,"","F",97,18.9,25.2,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"28",2007,3,3,"CCI",NA,"",NA,"","F",88,13.8,18.4,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"29",2007,3,4,"CCI",6,"",78,"F","F",78,9.3,12.4,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"30",2007,3,5,"CCI",NA,"",NA,"","F",85,12.3,16.4,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"31",2007,3,6,"CCI",NA,"",NA,"","F",91,15.4,20.5,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"32",2007,3,7,"CCI",NA,"",NA,"","F",102,22.3,29.6,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"33",2007,3,8,"CCI",NA,"",NA,"","F",80,10.1,13.5,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"34",2007,3,9,"CCI",NA,"",NA,"","F",93,16.5,22,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"35",2007,3,10,"CCI",NA,"",NA,"","F",75,8.2,10.9,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"36",2007,3,11,"CCI",7,"",74,"F","F",74,7.9,10.5,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"37",2007,3,12,"CCI",8,"",78,"M","M",78,9.3,12.4,NA,NA,"Charter","THE CHOSEN 1",525931,NA,5,24,1,NA
"38",2007,3,13,"CCI",NA,"",NA,"","F",87,13.3,17.7,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"39",2007,3,14,"CCI",NA,"",NA,"","F",93,16.5,22,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"40",2007,3,15,"CCI",9,"",89,"F","F",89,14.3,19.1,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"41",2007,3,16,"CCI",7,"",83,"F","F",83,11.4,15.2,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"42",2007,3,17,"CCI",NA,"",NA,"","F",80,10.1,13.5,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"43",2007,3,18,"CCI",NA,"",NA,"","F",75,8.2,10.9,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"44",2007,3,19,"CCI",NA,"",NA,"","F",84,11.9,15.8,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"45",2007,3,20,"CCI",7,"",86,"F","F",86,12.8,17.1,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"46",2007,3,21,"CCI",9,"",125,"F","F",125,43.1,57.3,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"47",2007,3,22,"CCI",NA,"I",112,"F","F",112,30.2,40.1,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"48",2007,3,23,"CCI",NA,"",NA,"","F",76,8.6,11.4,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"49",2007,3,24,"CCI",NA,"",NA,"","F",76,8.6,11.4,NA,NA,"Charter","HOOKSETTER",525931,NA,5,24,1,NA
"50",2007,3,25,"CCI",NA,"",NA,"","F",94,17.1,22.7,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"51",2007,3,26,"CCI",NA,"",NA,"","F",91,15.4,20.5,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"52",2007,3,27,"CCI",NA,"",NA,"","F",86,12.8,17.1,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
