"","page","line","port","year","age","AgeErr","SEX","LENGTH","NETWT","RNDWT","AGE2","AGECONF","USER","BOATNAME","STATAREA","CAS","TOSSED","MONTH","DAY","SUB","litho","boatnum"
"1",1,1,"CCI",2009,NA,"","F",88,13.8,18.4,NA,NA,"Charter","LUCKY T",525931,NA,"",5,26,2,NA,NA
"2",1,2,"CCI",2009,NA,"","M",80,10.1,13.5,NA,NA,"Charter","LUCKY T",525931,NA,"",5,26,2,NA,NA
"3",1,3,"CCI",2009,NA,"","F",82,11,14.6,NA,NA,"Charter","LUCKY T",525931,NA,"",5,26,2,NA,NA
"4",1,4,"CCI",2009,8,"","F",75,8.2,10.9,NA,NA,"Charter","LUCKY T",525931,NA,"",5,26,2,NA,NA
"5",1,5,"CCI",2009,10,"","F",90,14.9,19.8,NA,NA,"Charter","LUCKY T",525931,NA,"",5,26,2,NA,NA
"6",1,6,"CCI",2009,10,"","F",95,17.7,23.5,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,26,2,NA,NA
"7",1,7,"CCI",2009,8,"","F",101,21.6,28.7,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,26,2,NA,NA
"8",1,8,"CCI",2009,NA,"","F",97,18.9,25.2,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,26,2,NA,NA
"9",1,9,"CCI",2009,NA,"","F",80,10.1,13.5,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,26,2,NA,NA
"10",1,10,"CCI",2009,NA,"","F",124,42,55.8,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,26,2,NA,NA
"11",1,11,"CCI",2009,10,"","F",102,22.3,29.6,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,26,2,NA,NA
"12",1,12,"CCI",2009,NA,"","F",85,12.3,16.4,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,26,2,NA,NA
"13",1,13,"CCI",2009,8,"","F",88,13.8,18.4,NA,NA,"Charter","WILDA GAY",525931,NA,"",5,26,2,NA,NA
"14",1,14,"CCI",2009,NA,"","F",87,13.3,17.7,NA,NA,"Charter","WILDA GAY",525931,NA,"",5,26,2,NA,NA
"15",1,15,"CCI",2009,6,"","F",76,8.6,11.4,NA,NA,"Charter","WILDA GAY",525931,NA,"",5,26,2,NA,NA
"16",1,16,"CCI",2009,NA,"","F",65,5.2,6.9,NA,NA,"Charter","WILDA GAY",525931,NA,"",5,26,2,NA,NA
"17",1,17,"CCI",2009,NA,"","F",82,11,14.6,NA,NA,"Charter","WILDA GAY",525931,NA,"",5,26,2,NA,NA
"18",1,18,"CCI",2009,NA,"","F",91,15.4,20.5,NA,NA,"Charter","WILDA GAY",525931,NA,"",5,26,2,NA,NA
"19",1,19,"CCI",2009,NA,"","M",75,8.2,10.9,NA,NA,"Private","",525931,NA,"",5,26,2,NA,NA
"20",1,20,"CCI",2009,NA,"","F",79,9.7,13,NA,NA,"Private","",525931,NA,"",5,26,2,NA,NA
"21",1,21,"CCI",2009,NA,"","F",75,8.2,10.9,NA,NA,"Private","",525931,NA,"",5,26,2,NA,NA
"22",1,22,"CCI",2009,9,"","F",78,9.3,12.4,NA,NA,"Private","",525931,NA,"",5,26,2,NA,NA
"23",1,23,"CCI",2009,NA,"","F",82,11,14.6,NA,NA,"Private","",525931,NA,"",5,26,2,NA,NA
"24",2,1,"CCI",2009,NA,"","F",87,13.3,17.7,NA,NA,"Private","",525931,NA,"",5,28,2,NA,NA
"25",2,2,"CCI",2009,NA,"","F",86,12.8,17.1,NA,NA,"Private","",525931,NA,"",5,28,2,NA,NA
"26",2,3,"CCI",2009,NA,"","F",87,13.3,17.7,NA,NA,"Private","",525931,NA,"",5,28,2,NA,NA
"27",2,4,"CCI",2009,NA,"","M",81,10.6,14,NA,NA,"Private","",525931,NA,"",5,28,2,NA,NA
"28",2,5,"CCI",2009,NA,"","F",95,17.7,23.5,NA,NA,"Charter","GAMEFISHER",525931,NA,"",5,28,2,NA,NA
"29",2,6,"CCI",2009,9,"","F",88,13.8,18.4,NA,NA,"Charter","GAMEFISHER",525931,NA,"",5,28,2,NA,NA
"30",2,7,"CCI",2009,NA,"","F",75,8.2,10.9,NA,NA,"Charter","GAMEFISHER",525931,NA,"",5,28,2,NA,NA
"31",2,8,"CCI",2009,NA,"","F",90,14.9,19.8,NA,NA,"Charter","GAMEFISHER",525931,NA,"",5,28,2,NA,NA
"32",2,9,"CCI",2009,NA,"","F",83,11.4,15.2,NA,NA,"Charter","GAMEFISHER",525931,NA,"",5,28,2,NA,NA
"33",2,10,"CCI",2009,NA,"","F",96,18.3,24.4,NA,NA,"Charter","GAMEFISHER",525931,NA,"",5,28,2,NA,NA
"34",2,11,"CCI",2009,NA,"","F",93,16.5,22,NA,NA,"Charter","GAMEFISHER",525931,NA,"",5,28,2,NA,NA
"35",2,12,"CCI",2009,NA,"","F",77,9,11.9,NA,NA,"Charter","GAMEFISHER",525931,NA,"",5,28,2,NA,NA
"36",2,13,"CCI",2009,17,"","M",86,12.8,17.1,NA,NA,"Charter","BADGER",525931,NA,"",5,28,2,NA,NA
"37",2,14,"CCI",2009,10,"","F",93,16.5,22,NA,NA,"Charter","BADGER",525931,NA,"",5,28,2,NA,NA
"38",2,15,"CCI",2009,NA,"","F",99,20.2,26.9,NA,NA,"Charter","BADGER",525931,NA,"",5,28,2,NA,NA
"39",2,16,"CCI",2009,NA,"","F",107,26,34.6,NA,NA,"Charter","BADGER",525931,NA,"",5,28,2,NA,NA
"40",2,17,"CCI",2009,9,"","F",92,16,21.2,NA,NA,"Charter","BADGER",525931,NA,"",5,28,2,NA,NA
"41",2,18,"CCI",2009,9,"","F",83,11.4,15.2,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"42",2,19,"CCI",2009,NA,"","F",88,13.8,18.4,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"43",2,20,"CCI",2009,NA,"","F",79,9.7,13,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"44",2,21,"CCI",2009,NA,"","F",87,13.3,17.7,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"45",2,22,"CCI",2009,10,"","F",87,13.3,17.7,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"46",2,23,"CCI",2009,10,"","F",84,11.9,15.8,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"47",2,24,"CCI",2009,9,"","F",91,15.4,20.5,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"48",2,25,"CCI",2009,NA,"","F",87,13.3,17.7,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"49",2,26,"CCI",2009,NA,"","F",87,13.3,17.7,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"50",2,27,"CCI",2009,NA,"","F",106,25.2,33.6,NA,NA,"Charter","CATCHER II",525931,NA,"",5,28,2,NA,NA
"51",2,28,"CCI",2009,NA,"","F",96,18.3,24.4,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,28,2,NA,NA
"52",2,29,"CCI",2009,NA,"","F",90,14.9,19.8,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,28,2,NA,NA
"53",2,30,"CCI",2009,9,"","F",92,16,21.2,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,28,2,NA,NA
"54",2,31,"CCI",2009,NA,"","F",90,14.9,19.8,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,28,2,NA,NA
"55",2,32,"CCI",2009,NA,"","F",76,8.6,11.4,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,28,2,NA,NA
"56",2,33,"CCI",2009,11,"","F",84,11.9,15.8,NA,NA,"Charter","SPARE CHANGE",525931,NA,"",5,28,2,NA,NA
"57",3,1,"CCI",2009,NA,"","F",107,26,34.6,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
"58",3,2,"CCI",2009,NA,"","F",87,13.3,17.7,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
"59",3,3,"CCI",2009,NA,"","F",80,10.1,13.5,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
"60",3,4,"CCI",2009,NA,"","F",99,20.2,26.9,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
"61",3,5,"CCI",2009,NA,"","F",110,28.5,37.9,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
"62",3,6,"CCI",2009,NA,"","F",80,10.1,13.5,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
"63",3,7,"CCI",2009,6,"","F",83,11.4,15.2,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
"64",3,8,"CCI",2009,7,"","F",75,8.2,10.9,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
"65",3,9,"CCI",2009,13,"","M",84,11.9,15.8,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
"66",3,10,"CCI",2009,NA,"","F",93,16.5,22,NA,NA,"Charter","MISS SHIRLEY",525931,NA,"",6,1,1,NA,NA
