"","PORT","PAGE","LINE","SEX","LENGTH","NETWT","RNDWT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","CAS","GAF","TOSSED","YEAR","MONTH","DAY","SUB"
"1","Kodiak",1,1,"F",90,14.8564340647168,19.7592075662069,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,8,NA
"2","Kodiak",1,2,"F",86,12.8216474535934,17.0529207932853,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,8,NA
"3","Kodiak",1,3,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,8,NA
"4","Kodiak",1,4,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,8,NA
"5","Kodiak",1,5,"F",86,12.8216474535934,17.0529207932853,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,8,NA
"6","Kodiak",1,6,"U",67,5.71019855759206,7.59462183537565,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"7","Kodiak",1,7,"U",NA,NA,NA,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"8","Kodiak",1,8,"U",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"9","Kodiak",1,9,"U",86,12.8216474535934,17.0529207932853,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"10","Kodiak",1,10,"U",90,14.8564340647168,19.7592075662069,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"11","Kodiak",1,11,"U",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"12","Kodiak",1,12,"U",89,14.3282275744224,19.0566875917582,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"13","Kodiak",1,13,"U",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"14","Kodiak",1,14,"U",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"15","Kodiak",1,15,"U",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","FISH HAWK",525731,NA,0,"",2014,6,8,NA
"16","Kodiak",2,1,"F",62,4.44137990441386,5.90708019363236,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,9,NA
"17","Kodiak",2,2,"M",66,5.43865111903038,7.23346099561835,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,9,NA
"18","Kodiak",2,3,"U",56,3.19372896254249,4.24769182202046,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,9,NA
"19","Kodiak",2,4,"F",88,13.8131493343522,18.3716283228886,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,9,NA
"20","Kodiak",3,1,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,10,NA
"21","Kodiak",3,2,"F",75,8.22938427965115,10.9451643251248,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,10,NA
"22","Kodiak",3,3,"M",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,10,NA
"23","Kodiak",3,4,"F",114,31.9551284463005,42.5006440323936,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,10,NA
"24","Kodiak",3,5,"F",67,5.71019855759206,7.59462183537565,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,10,NA
"25","Kodiak",3,6,"U",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,10,NA
"26","Kodiak",3,7,"U",66,5.43865111903038,7.23346099561835,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,10,NA
"27","Kodiak",3,8,"U",NA,NA,NA,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,10,NA
"28","Kodiak",3,9,"U",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,10,NA
"29","Kodiak",3,10,"U",NA,NA,NA,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,10,NA
"30","Kodiak",4,1,"F",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"31","Kodiak",4,2,"F",145,69.6628401239782,92.6522819449818,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"32","Kodiak",4,3,"F",88,13.8131493343522,18.3716283228886,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"33","Kodiak",4,4,"F",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"34","Kodiak",4,5,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"35","Kodiak",4,6,"F",78,9.34448480063655,12.4282592963242,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"36","Kodiak",4,7,"F",78,9.34448480063655,12.4282592963242,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"37","Kodiak",4,8,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"38","Kodiak",4,9,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"39","Kodiak",4,10,"F",65,5.17616515408831,6.8843520074242,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"40","Kodiak",4,11,"F",94,17.1042129489918,22.7487762166551,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"41","Kodiak",4,12,"F",79,9.7382433958611,12.9519622105045,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,11,NA
"42","Kodiak",4,13,"F",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,11,NA
"43","Kodiak",4,14,"F",91,15.3979519606891,20.4794318448409,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,11,NA
"44","Kodiak",4,15,"U",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
"45","Kodiak",4,16,"U",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
"46","Kodiak",4,17,"U",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
"47","Kodiak",4,18,"U",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
"48","Kodiak",4,19,"U",61,4.21344679894347,5.60392685800819,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
"49","Kodiak",4,20,"U",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
"50","Kodiak",4,21,"U",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
"51","Kodiak",4,22,"U",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
"52","Kodiak",4,23,"U",NA,NA,NA,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
