"","page","line","port","year","age","AgeErr","SEX","LENGTH","NETWT","RNDWT","AGE2","AGECONF","USER","BOATNAME","STATAREA","CAS","GAF","MONTH","DAY","SUB"
"1",1,1,"CCI",2016,NA,"","F",64,4.92257072920152,6.54706885743389,NA,NA,"Charter","ELBY III",515938,NA,0,5,21,1
"2",1,2,"CCI",2016,NA,"","F",62,4.44137990441386,5.90708019363236,NA,NA,"Charter","ELBY III",515938,NA,0,5,21,1
"3",1,3,"CCI",2016,NA,"","F",71,6.89042324147201,9.16433260189999,NA,NA,"Charter","ELBY III",515938,NA,0,5,21,1
"4",1,4,"CCI",2016,NA,"","F",124,41.9618965898669,55.8097468732444,NA,NA,"Charter","ELBY III",515938,NA,0,5,21,1
"5",1,5,"CCI",2016,11,"","M",65,5.17616515408831,6.8843520074242,NA,NA,"Charter","ELBY III",515938,NA,0,5,21,1
"6",1,6,"CCI",2016,11,"","M",70,6.58091829516383,8.7526878929321,NA,NA,"Charter","ELBY III",515938,NA,0,5,21,1
"7",1,7,"CCI",2016,8,"","M",67,5.71019855759206,7.59462183537565,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"8",1,8,"CCI",2016,10,"","M",67,5.71019855759206,7.59462183537565,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"9",1,9,"CCI",2016,NA,"","F",63,4.67769853713618,6.22138636531405,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"10",1,10,"CCI",2016,NA,"","F",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"11",1,11,"CCI",2016,7,"","F",83,11.4283062149386,15.1997628534186,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"12",1,12,"CCI",2016,NA,"","F",82,10.9881791366113,14.614389387734,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"13",1,13,"CCI",2016,6,"","F",83,11.4283062149386,15.1997628534186,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"14",1,14,"CCI",2016,NA,"","F",89,14.3282275744224,19.0566875917582,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"15",1,15,"CCI",2016,8,"","F",64,4.92257072920152,6.54706885743389,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"16",1,16,"CCI",2016,NA,"","F",65,5.17616515408831,6.8843520074242,NA,NA,"Charter","AUTUMN SEA",515938,NA,0,5,21,1
"17",2,1,"CCI",2016,NA,"","F",109,27.633169602028,36.7523950565912,NA,NA,"Charter","MISS RENE",525931,NA,0,5,28,2
"18",2,2,"CCI",2016,NA,"","F",116,33.8074749051989,44.9642835576298,NA,NA,"Charter","MISS RENE",525931,NA,0,5,28,2
"19",2,3,"CCI",2016,NA,"","F",102,22.2860656615977,29.6406927344324,NA,NA,"Charter","MISS RENE",525931,NA,0,5,28,2
"20",2,4,"CCI",2016,NA,"","F",92,15.9529649068762,21.2176046767513,NA,NA,"Charter","MISS RENE",525931,NA,0,5,28,2
"21",2,5,"CCI",2016,NA,"","F",95,17.7008177429845,23.542266626813,NA,NA,"Charter","MISS RENE",525931,NA,0,5,28,2
"22",2,6,"CCI",2016,5,"","F",62,4.44137990441386,5.90708019363236,NA,NA,"Charter","MISS RENE",525931,NA,0,5,28,2
"23",2,7,"CCI",2016,NA,"","F",61,4.21344679894347,5.60392685800819,NA,NA,"Charter","MISS RENE",525931,NA,0,5,28,2
"24",2,8,"CCI",2016,NA,"","M",61,4.21344679894347,5.60392685800819,NA,NA,"Charter","MISS RENE",525931,NA,0,5,28,2
"25",2,9,"CCI",2016,NA,"","M",65,5.17616515408831,6.8843520074242,NA,NA,"Charter","MISS RENE",525931,NA,0,5,28,2
"26",3,1,"CCI",2016,NA,"","F",137,57.962016586709,77.0900682965838,NA,NA,"Private","P1",525931,NA,0,5,29,1
"27",3,2,"CCI",2016,NA,"","F",101,21.5858969931053,28.7094613237299,NA,NA,"Private","P1",525931,NA,0,5,29,1
"28",3,3,"CCI",2016,NA,"","F",89,14.3282275744224,19.0566875917582,NA,NA,"Private","P1",525931,NA,0,5,29,1
"29",3,4,"CCI",2016,8,"","F",92,15.9529649068762,21.2176046767513,NA,NA,"Private","P1",525931,NA,0,5,29,1
"30",3,5,"CCI",2016,NA,"","F",77,8.96187328124,11.9193821057382,NA,NA,"Private","P1",525931,NA,0,5,29,1
