"","PORT","PAGE","LINE","YEAR","AGE","AGE2","AGEERR","SEX","LENGTH","NETWT","RNDWT","AGECONF","USER","BOATNAME","STATAREA","CAS","GAF","MONTH","DAY","SUB"
"1","CCI",1,1,2017,5,"NA","NA","F",58,3.57829011234887,4.75916204077032,"NA","Private","P1",515939,0,0,5,15,2
"2","CCI",1,2,2017,9,"NA","NA","F",95,17.7008177429845,23.542266626813,"NA","Private","P1",515939,0,0,5,15,2
"3","CCI",1,3,2017,NA,"NA","NA","M",61,4.21344679894347,5.60392685800819,"NA","Private","P1",515939,0,0,5,15,2
"4","CCI",1,4,2017,NA,"NA","NA","M",83,11.4283062149386,15.1997628534186,"NA","Private","P2",525931,0,0,5,15,2
"5","CCI",1,5,2017,NA,"NA","NA","M",75,8.22938427965115,10.9451643251248,"NA","Private","P2",525931,0,0,5,15,2
"6","CCI",1,6,2017,13,"NA","NA","M",70,6.58091829516383,8.7526878929321,"NA","Private","P2",525931,0,0,5,15,2
"7","CCI",1,7,2017,11,"NA","NA","M",72,7.20984847775072,9.58917139686394,"NA","Private","P2",525931,0,0,5,15,2
"8","CCI",1,8,2017,10,"NA","NA","M",67,5.71019855759206,7.59462183537565,"NA","Private","P2",525931,0,0,5,15,2
"9","CCI",1,9,2017,6,"NA","NA","F",79,9.7382433958611,12.9519622105045,"NA","Private","P2",525931,0,0,5,15,2
"10","CCI",1,10,2017,NA,"NA","NA","F",76,8.5902319024382,11.4250953130969,"NA","Private","P2",525931,0,0,5,15,2
"11","CCI",1,11,2017,NA,"NA","NA","F",70,6.58091829516383,8.7526878929321,"NA","Private","P2",525931,0,0,5,15,2
"12","CCI",1,12,2017,NA,"NA","NA","F",74,7.87915458445051,10.4793552882339,"NA","Private","P2",525931,0,0,5,15,2
"13","CCI",1,13,2017,NA,"NA","NA","F",62,4.44137990441386,5.90708019363236,"NA","Private","P2",525931,0,0,5,15,2
"14","CCI",1,14,2017,NA,"NA","NA","F",74,7.87915458445051,10.4793552882339,"NA","Private","P2",525931,0,0,5,15,2
"15","CCI",1,15,2017,NA,"NA","NA","F",68,5.99097802244174,7.96806136347005,"NA","Private","P2",525931,0,0,5,15,2
"16","CCI",1,16,2017,6,"NA","NA","F",78,9.34448480063655,12.4282592963242,"NA","Private","P2",525931,0,0,5,15,2
"17","CCI",2,1,2017,NA,"NA","NA","F",91,15.3979519606891,20.4794318448409,"NA","Private","P1",515938,0,0,5,17,1
"18","CCI",2,2,2017,NA,"NA","NA","F",85,12.344859985371,16.4187886382518,"NA","Private","P1",515938,0,0,5,17,1
"19","CCI",2,3,2017,NA,"NA","NA","F",83,11.4283062149386,15.1997628534186,"NA","Private","P1",515938,0,0,5,17,1
"20","CCI",2,4,2017,NA,"NA","NA","F",120,37.7325439379309,50.1846650698821,"NA","Private","P1",515938,0,0,5,17,1
"21","CCI",2,5,2017,10,"NA","NA","F",105,24.4806067874466,32.5594546277194,"NA","Private","P2",525931,0,0,5,17,1
"22","CCI",2,6,2017,11,"NA","NA","F",104,23.7332311227181,31.5654374345644,"NA","Private","P2",525931,0,0,5,17,1
"23","CCI",2,7,2017,10,"10","NA","F",96,18.3116569755219,24.3546889842045,"NA","Private","P2",525931,0,0,5,17,1
"24","CCI",2,8,2017,9,"NA","NA","F",90,14.8564340647168,19.7592075662069,"NA","Private","P2",525931,0,0,5,17,1
"25","CCI",2,9,2017,NA,"NA","NA","F",88,13.8131493343522,18.3716283228886,"NA","Private","P2",525931,0,0,5,17,1
"26","CCI",2,10,2017,NA,"NA","NA","F",73,7.53936755018688,10.0274350960078,"NA","Private","P2",525931,0,0,5,17,1
"27","CCI",2,11,2017,NA,"NA","NA","M",86,12.8216474535934,17.0529207932853,"NA","Private","P2",525931,0,0,5,17,1
"28","CCI",2,12,2017,9,"NA","NA","M",76,8.5902319024382,11.4250953130969,"NA","Private","P2",525931,0,0,5,17,1
"29","CCI",2,13,2017,NA,"NA","NA","F",78,9.34448480063655,12.4282592963242,"NA","Private","P3",525931,0,0,5,17,1
"30","CCI",2,14,2017,NA,"NA","NA","F",83,11.4283062149386,15.1997628534186,"NA","Private","P3",525931,0,0,5,17,1
"31","CCI",2,15,2017,9,"NA","NA","F",94,17.1042129489918,22.7487762166551,"NA","Private","P3",525931,0,0,5,17,1
"32","CCI",2,16,2017,NA,"NA","NA","F",85,12.344859985371,16.4187886382518,"NA","Private","P3",525931,0,0,5,17,1
"33","CCI",3,1,2017,NA,"NA","NA","F",88,13.8131493343522,18.3716283228886,"NA","Private","P1",525931,0,0,5,20,1
"34","CCI",3,2,2017,9,"NA","NA","F",78,9.34448480063655,12.4282592963242,"NA","Private","P1",525931,0,0,5,20,1
"35","CCI",3,3,2017,NA,"NA","NA","F",83,11.4283062149386,15.1997628534186,"NA","Private","P1",525931,0,0,5,20,1
"36","CCI",3,4,2017,NA,"NA","NA","F",104,23.7332311227181,31.5654374345644,"NA","Private","P1",525931,0,0,5,20,1
"37","CCI",3,5,2017,NA,"NA","NA","F",91,15.3979519606891,20.4794318448409,"NA","Private","P1",525931,0,0,5,20,1
"38","CCI",3,6,2017,NA,"NA","NA","F",93,16.5216570328072,21.9739709560743,"NA","Private","P1",525931,0,0,5,20,1
"39","CCI",3,7,2017,NA,"NA","NA","F",113,31.0558203756211,41.3045552026575,"NA","Private","P1",525931,0,0,5,20,1
"40","CCI",3,8,2017,NA,"NA","NA","F",95,17.7008177429845,23.542266626813,"NA","Private","P1",525931,0,0,5,20,1
"41","CCI",3,9,2017,NA,"NA","NA","F",100,20.9010858569024,27.7986555863006,"NA","Private","P1",525931,0,0,5,20,1
"42","CCI",3,10,2017,NA,"NA","NA","F",103,23.0017806330211,30.5926008852709,"NA","Private","P1",525931,0,0,5,20,1
"43","CCI",3,11,2017,11,"NA","NA","M",78,9.34448480063655,12.4282592963242,"NA","Private","P1",525931,0,0,5,20,1
"44","CCI",3,12,2017,12,"NA","NA","M",69,6.2811606783156,8.35400723073185,"NA","Private","P1",525931,0,0,5,20,1
"45","CCI",3,13,2017,8,"NA","NA","M",63,4.67769853713618,6.22138636531405,"NA","Private","P1",525931,0,0,5,20,1
"46","CCI",3,14,2017,NA,"NA","NA","M",66,5.43865111903038,7.23346099561835,"NA","Private","P1",525931,0,0,5,20,1
"47","CCI",3,15,2017,NA,"NA","NA","F",86,12.8216474535934,17.0529207932853,"NA","Private","P2",525931,0,0,5,20,1
"48","CCI",3,16,2017,NA,"NA","NA","F",72,7.20984847775072,9.58917139686394,"NA","Private","P2",525931,0,0,5,20,1
"49","CCI",3,17,2017,NA,"NA","NA","F",64,4.92257072920152,6.54706885743389,"NA","Private","P2",525931,0,0,5,20,1
"50","CCI",3,18,2017,4,"NA","NA","F",57,3.38223190223092,4.49840263835221,"NA","Private","P2",525931,0,0,5,20,1
"51","CCI",3,19,2017,NA,"NA","NA","F",72,7.20984847775072,9.58917139686394,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"52","CCI",3,20,2017,NA,"NA","NA","F",86,12.8216474535934,17.0529207932853,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"53","CCI",3,21,2017,NA,"NA","NA","F",66,5.43865111903038,7.23346099561835,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"54","CCI",3,22,2017,6,"NA","NA","F",77,8.96187328124,11.9193821057382,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"55","CCI",3,23,2017,NA,"NA","NA","F",89,14.3282275744224,19.0566875917582,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"56","CCI",3,24,2017,NA,"NA","NA","F",94,17.1042129489918,22.7487762166551,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"57","CCI",3,25,2017,10,"10","NA","F",84,11.8804731210747,15.8011494118613,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"58","CCI",3,26,2017,NA,"NA","NA","F",61,4.21344679894347,5.60392685800819,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"59","CCI",3,27,2017,8,"NA","NA","M",64,4.92257072920152,6.54706885743389,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"60","CCI",3,28,2017,12,"NA","NA","M",69,6.2811606783156,8.35400723073185,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"61","CCI",3,29,2017,NA,"NA","NA","M",64,4.92257072920152,6.54706885743389,"NA","Charter","DISCOVER II",525931,0,0,5,20,1
"62","CCI",4,1,2017,NA,"NA","NA","M",72,7.20984847775072,9.58917139686394,"NA","Charter","ARCTIC ENDURANCE",525931,0,0,5,22,1
"63","CCI",4,2,2017,8,"NA","NA","F",89,14.3282275744224,19.0566875917582,"NA","Charter","ARCTIC ENDURANCE",525931,0,0,5,22,1
"64","CCI",4,3,2017,NA,"NA","NA","F",64,4.92257072920152,6.54706885743389,"NA","Charter","ARCTIC ENDURANCE",525931,0,0,5,22,1
"65","CCI",4,4,2017,NA,"NA","NA","F",97,18.9369166767327,25.1862907107824,"NA","Charter","ARCTIC ENDURANCE",525931,0,0,5,22,1
