"","PORT","PAGE","LINE","SEX","LENGTH","NETWT","RNDWT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","CAS","GAF","YEAR","MONTH","DAY","SUB"
"1","CCI",1,1,"F",97,18.9369166767327,25.1862907107824,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,13,1
"2","CCI",1,2,"F",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,13,1
"3","CCI",1,3,"F",75,8.22938427965115,10.9451643251248,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,13,1
"4","CCI",1,4,"F",60,3.99373183786951,5.31170373755076,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,13,1
"5","CCI",1,5,"F",65,5.17616515408831,6.8843520074242,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,13,1
"6","CCI",1,6,"F",112,30.174163738861,40.1319429585631,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,13,1
"7","CCI",1,7,"F",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Charter","TRUE GRIT",525931,0,0,2018,5,13,1
"8","CCI",1,8,"F",81,10.5599122758681,14.0447901313923,NA,NA,NA,"","Charter","TRUE GRIT",525931,0,0,2018,5,13,1
"9","CCI",1,9,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Charter","TRUE GRIT",525931,0,0,2018,5,13,1
"10","CCI",1,10,"F",94,17.1042129489918,22.7487762166551,NA,NA,NA,"","Charter","TRUE GRIT",525931,0,0,2018,5,13,1
"11","CCI",1,11,"M",67,5.71019855759206,7.59462183537565,NA,NA,NA,"","Charter","TRUE GRIT",525931,0,0,2018,5,13,1
"12","CCI",1,12,"M",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Charter","TRUE GRIT",525931,0,0,2018,5,13,1
"13","CCI",1,13,"F",65,5.17616515408831,6.8843520074242,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"14","CCI",1,14,"F",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"15","CCI",1,15,"F",91,15.3979519606891,20.4794318448409,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"16","CCI",1,16,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"17","CCI",1,17,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"18","CCI",1,18,"F",78,9.34448480063655,12.4282592963242,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"19","CCI",1,19,"F",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"20","CCI",1,20,"F",91,15.3979519606891,20.4794318448409,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"21","CCI",1,21,"M",69,6.2811606783156,8.35400723073185,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"22","CCI",1,22,"M",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"23","CCI",1,23,"M",67,5.71019855759206,7.59462183537565,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"24","CCI",1,24,"M",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Charter","SHANTILLY MARIE",525931,0,0,2018,5,13,1
"25","CCI",2,1,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"26","CCI",2,2,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"27","CCI",2,3,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"28","CCI",2,4,"F",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"29","CCI",2,5,"F",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"30","CCI",2,6,"F",88,13.8131493343522,18.3716283228886,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"31","CCI",2,7,"M",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"32","CCI",2,8,"M",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"33","CCI",2,9,"M",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"34","CCI",2,10,"M",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"35","CCI",2,11,"M",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"36","CCI",2,12,"M",75,8.22938427965115,10.9451643251248,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"37","CCI",2,13,"M",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"38","CCI",2,14,"M",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,14,2
"39","CCI",2,15,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","EASY GET",515938,0,0,2018,5,14,2
"40","CCI",2,16,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","EASY GET",515938,0,0,2018,5,14,2
"41","CCI",2,17,"F",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Charter","EASY GET",515938,0,0,2018,5,14,2
"42","CCI",2,18,"F",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Charter","EASY GET",515938,0,0,2018,5,14,2
"43","CCI",3,1,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,16,1
"44","CCI",3,2,"F",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,16,1
"45","CCI",3,3,"F",75,8.22938427965115,10.9451643251248,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,16,1
"46","CCI",3,4,"F",91,15.3979519606891,20.4794318448409,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,16,1
"47","CCI",3,5,"F",75,8.22938427965115,10.9451643251248,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,16,1
"48","CCI",3,6,"F",93,16.5216570328072,21.9739709560743,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,16,1
"49","CCI",3,7,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,16,1
"50","CCI",3,8,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,16,1
"51","CCI",3,9,"F",81,10.5599122758681,14.0447901313923,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,16,1
"52","CCI",3,10,"M",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,16,1
"53","CCI",4,1,"F",32,0.521020461215546,0.692962483093354,NA,NA,NA,"","Private","P1",515938,0,0,2018,5,19,1
"54","CCI",4,2,"F",55,3.01261728261902,4.00681145593239,NA,NA,NA,"","Private","P1",515938,0,0,2018,5,19,1
"55","CCI",4,3,"F",62,4.44137990441386,5.90708019363236,NA,NA,NA,"","Private","P1",515938,0,0,2018,5,19,1
"56","CCI",4,4,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Private","P1",515938,0,0,2018,5,19,1
"57","CCI",4,5,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Private","P1",515938,0,0,2018,5,19,1
"58","CCI",4,6,"F",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Private","P1",515938,0,0,2018,5,19,1
"59","CCI",4,7,"F",107,26.0238944567846,34.6120428369748,NA,NA,NA,"","Private","P1",515938,0,0,2018,5,19,1
"60","CCI",4,8,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"61","CCI",4,9,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"62","CCI",4,10,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"63","CCI",4,11,"F",87,13.3110166823064,17.703786817025,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"64","CCI",4,12,"F",90,14.8564340647168,19.7592075662069,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"65","CCI",4,13,"F",90,14.8564340647168,19.7592075662069,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"66","CCI",4,14,"F",94,17.1042129489918,22.7487762166551,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"67","CCI",4,15,"F",96,18.3116569755219,24.3546889842045,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"68","CCI",4,16,"F",107,26.0238944567846,34.6120428369748,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"69","CCI",4,17,"M",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Private","P2",525931,0,0,2018,5,19,1
"70","CCI",4,18,"F",63,4.67769853713618,6.22138636531405,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"71","CCI",4,19,"F",67,5.71019855759206,7.59462183537565,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"72","CCI",4,20,"F",69,6.2811606783156,8.35400723073185,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"73","CCI",4,21,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"74","CCI",4,22,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"75","CCI",4,23,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"76","CCI",4,24,"F",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"77","CCI",4,25,"F",86,12.8216474535934,17.0529207932853,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"78","CCI",4,26,"F",86,12.8216474535934,17.0529207932853,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"79","CCI",4,27,"F",87,13.3110166823064,17.703786817025,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"80","CCI",4,28,"F",102,22.2860656615977,29.6406927344324,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"81","CCI",4,29,"M",57,3.38223190223092,4.49840263835221,NA,NA,NA,"","Charter","ALASKA SPIRIT",515938,0,0,2018,5,19,1
"82","CCI",5,1,"F",88,13.8131493343522,18.3716283228886,NA,NA,NA,"","Charter","TILT II",525931,0,0,2018,5,21,1
"83","CCI",5,2,"F",99,20.2314439303907,26.9080250511842,NA,NA,NA,"","Charter","TILT II",525931,0,0,2018,5,21,1
"84","CCI",5,3,"F",113,31.0558203756211,41.3045552026575,NA,NA,NA,"","Charter","TILT II",525931,0,0,2018,5,21,1
"85","CCI",5,4,"F",139,60.7486739038316,80.796350713014,NA,NA,NA,"","Charter","TILT II",525931,0,0,2018,5,21,1
"86","CCI",5,5,"M",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","TILT II",525931,0,0,2018,5,21,1
"87","CCI",5,6,"F",61,4.21344679894347,5.60392685800819,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"88","CCI",5,7,"F",66,5.43865111903038,7.23346099561835,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"89","CCI",5,8,"F",66,5.43865111903038,7.23346099561835,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"90","CCI",5,9,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"91","CCI",5,10,"F",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"92","CCI",5,11,"F",75,8.22938427965115,10.9451643251248,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"93","CCI",5,12,"F",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"94","CCI",5,13,"F",91,15.3979519606891,20.4794318448409,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"95","CCI",5,14,"F",92,15.9529649068762,21.2176046767513,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"96","CCI",5,15,"M",58,3.57829011234887,4.75916204077032,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"97","CCI",5,16,"M",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,21,1
"98","CCI",6,1,"F",79,9.7382433958611,12.9519622105045,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,26,2
"99","CCI",6,2,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,26,2
"100","CCI",6,3,"F",81,10.5599122758681,14.0447901313923,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,26,2
"101","CCI",6,4,"F",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,26,2
"102","CCI",6,5,"F",89,14.3282275744224,19.0566875917582,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,26,2
"103","CCI",6,6,"F",114,31.9551284463005,42.5006440323936,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,26,2
"104","CCI",6,7,"M",81,10.5599122758681,14.0447901313923,NA,NA,NA,"","Private","P1",525931,0,0,2018,5,26,2
"105","CCI",6,8,"F",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,26,2
"106","CCI",6,9,"F",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,26,2
"107","CCI",6,10,"F",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,26,2
"108","CCI",6,11,"F",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,26,2
"109","CCI",6,12,"F",88,13.8131493343522,18.3716283228886,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,26,2
"110","CCI",6,13,"F",94,17.1042129489918,22.7487762166551,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,26,2
"111","CCI",6,14,"M",69,6.2811606783156,8.35400723073185,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,26,2
"112","CCI",6,15,"M",79,9.7382433958611,12.9519622105045,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,26,2
"113","CCI",6,16,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"114","CCI",6,17,"F",69,6.2811606783156,8.35400723073185,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"115","CCI",6,18,"M",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"116","CCI",6,19,"F",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"117","CCI",6,20,"F",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"118","CCI",6,21,"F",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"119","CCI",6,22,"M",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"120","CCI",6,23,"M",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"121","CCI",6,24,"M",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"122","CCI",6,25,"M",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Private","P3",525931,0,0,2018,5,26,2
"123","CCI",7,1,"F",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Charter","ARCTIC ENDURANCE",525931,0,0,2018,5,27,1
"124","CCI",7,2,"M",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","ARCTIC ENDURANCE",525931,0,0,2018,5,27,1
"125","CCI",7,3,"M",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Charter","ARCTIC ENDURANCE",525931,0,0,2018,5,27,1
"126","CCI",7,4,"M",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Charter","ARCTIC ENDURANCE",525931,0,0,2018,5,27,1
"127","CCI",7,5,"M",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Charter","ARCTIC ENDURANCE",525931,0,0,2018,5,27,1
"128","CCI",7,6,"M",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","ARCTIC ENDURANCE",525931,0,0,2018,5,27,1
"129","CCI",7,7,"F",60,3.99373183786951,5.31170373755076,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"130","CCI",7,8,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"131","CCI",7,9,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"132","CCI",7,10,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"133","CCI",7,11,"F",90,14.8564340647168,19.7592075662069,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"134","CCI",7,12,"M",61,4.21344679894347,5.60392685800819,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"135","CCI",7,13,"M",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"136","CCI",7,14,"M",69,6.2811606783156,8.35400723073185,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"137","CCI",7,15,"M",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"138","CCI",7,16,"M",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"139","CCI",7,17,"M",78,9.34448480063655,12.4282592963242,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"140","CCI",7,18,"M",87,13.3110166823064,17.703786817025,NA,NA,NA,"","Charter","ARCTIC EXPEDITION",525931,0,0,2018,5,27,1
"141","CCI",7,19,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Charter","INTIMIDATOR TOO",525931,0,0,2018,5,27,1
"142","CCI",7,20,"F",75,8.22938427965115,10.9451643251248,NA,NA,NA,"","Charter","INTIMIDATOR TOO",525931,0,0,2018,5,27,1
"143","CCI",7,21,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Charter","INTIMIDATOR TOO",525931,0,0,2018,5,27,1
"144","CCI",7,22,"F",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Charter","INTIMIDATOR TOO",525931,0,0,2018,5,27,1
"145","CCI",7,23,"F",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Charter","INTIMIDATOR TOO",525931,0,0,2018,5,27,1
"146","CCI",7,24,"F",86,12.8216474535934,17.0529207932853,NA,NA,NA,"","Charter","INTIMIDATOR TOO",525931,0,0,2018,5,27,1
"147","CCI",7,25,"M",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Charter","INTIMIDATOR TOO",525931,0,0,2018,5,27,1
"148","CCI",7,26,"F",109,27.633169602028,36.7523950565912,NA,NA,NA,"","Charter","LILLY",525931,0,0,2018,5,27,1
"149","CCI",7,27,"F",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Charter","LILLY",525931,0,0,2018,5,27,1
"150","CCI",7,28,"F",86,12.8216474535934,17.0529207932853,NA,NA,NA,"","Charter","LILLY",525931,0,0,2018,5,27,1
"151","CCI",7,29,"F",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Charter","LILLY",525931,0,0,2018,5,27,1
"152","CCI",7,30,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","LILLY",525931,0,0,2018,5,27,1
"153","CCI",7,31,"M",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Charter","LILLY",525931,0,0,2018,5,27,1
"154","CCI",7,32,"M",65,5.17616515408831,6.8843520074242,NA,NA,NA,"","Charter","LILLY",525931,0,0,2018,5,27,1
"155","CCI",7,33,"F",94,17.1042129489918,22.7487762166551,NA,NA,NA,"","Charter","LILLY",525931,0,0,2018,5,27,1
"156","CCI",7,34,"U",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"157","CCI",7,35,"F",62,4.44137990441386,5.90708019363236,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"158","CCI",7,36,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"159","CCI",7,37,"M",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"160","CCI",7,38,"F",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"161","CCI",7,39,"F",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"162","CCI",7,40,"F",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"163","CCI",7,41,"M",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"164","CCI",7,42,"M",65,5.17616515408831,6.8843520074242,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"165","CCI",7,43,"M",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","VOYAGEUR",525931,0,0,2018,5,27,1
"166","CCI",7,44,"F",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"167","CCI",7,45,"F",81,10.5599122758681,14.0447901313923,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"168","CCI",7,46,"F",97,18.9369166767327,25.1862907107824,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"169","CCI",7,47,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"170","CCI",7,48,"F",121,38.7608639935307,51.5523411444084,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"171","CCI",7,49,"F",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"172","CCI",7,50,"F",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"173","CCI",7,51,"F",99,20.2314439303907,26.9080250511842,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"174","CCI",7,52,"M",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"175","CCI",7,53,"M",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"176","CCI",7,54,"M",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Private","P1",515939,0,0,2018,5,27,1
"177","CCI",8,1,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P1",515937,0,0,2018,5,29,2
"178","CCI",8,2,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P1",515937,0,0,2018,5,29,2
"179","CCI",8,3,"F",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Private","P1",515937,0,0,2018,5,29,2
"180","CCI",8,4,"F",86,12.8216474535934,17.0529207932853,NA,NA,NA,"","Private","P1",515937,0,0,2018,5,29,2
"181","CCI",8,5,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,29,2
"182","CCI",8,6,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,29,2
"183","CCI",8,7,"F",81,10.5599122758681,14.0447901313923,NA,NA,NA,"","Private","P2",515939,0,0,2018,5,29,2
