"","port","page","line","YEAR","age","age2","AgeErr","SEX","LENGTH","NETWT","RNDWT","AGECONF","USER","BOATNAME","STATAREA","CAS","GAF","MONTH","DAY","SUB"
"1","CCI",1,1,2020,12,NA,"","F",127,45.3411890544574,60.3042400298049,NA,"Private","P1",525931,0,0,5,15,1
"2","CCI",1,2,2020,11,NA,"","F",99,20.2314439303907,26.9080250511842,NA,"Private","P1",525931,0,0,5,15,1
"3","CCI",1,3,2020,NA,NA,"","F",93,16.5216570328072,21.9739709560743,NA,"Private","P1",525931,0,0,5,15,1
"4","CCI",1,4,2020,9,NA,"","F",95,17.7008177429845,23.542266626813,NA,"Private","P1",525931,0,0,5,15,1
"5","CCI",1,5,2020,NA,NA,"","F",106,25.2440977221506,33.574905292934,NA,"Private","P1",525931,0,0,5,15,1
"6","CCI",1,6,2020,7,NA,"","F",83,11.4283062149386,15.1997628534186,NA,"Private","P1",525931,0,0,5,15,1
"7","CCI",1,7,2020,6,NA,"","F",75,8.22938427965115,10.9451643251248,NA,"Private","P1",525931,0,0,5,15,1
"8","CCI",1,8,2020,7,NA,"","F",90,14.8564340647168,19.7592075662069,NA,"Private","P1",525931,0,0,5,15,1
"9","CCI",1,9,2020,13,NA,"","F",97,18.9369166767327,25.1862907107824,NA,"Private","P1",525931,0,0,5,15,1
"10","CCI",1,10,2020,7,NA,"","F",87,13.3110166823063,17.703786817025,NA,"Private","P1",525931,0,0,5,15,1
"11","CCI",1,11,2020,9,NA,"","F",101,21.5858969931053,28.7094613237299,NA,"Private","P1",525931,0,0,5,15,1
"12","CCI",1,12,2020,6,NA,"","F",81,10.5599122758681,14.0447901313923,NA,"Private","P1",525931,0,0,5,15,1
"13","CCI",1,13,2020,8,NA,"","F",93,16.5216570328072,21.9739709560743,NA,"Private","P1",525931,0,0,5,15,1
"14","CCI",1,14,2020,10,NA,"","M",76,8.5902319024382,11.4250953130969,NA,"Private","P1",525931,0,0,5,15,1
"15","CCI",1,15,2020,12,NA,"","F",99,20.2314439303907,26.9080250511842,NA,"Private","P2",525931,0,0,5,15,1
"16","CCI",1,16,2020,5,NA,"","F",65,5.17616515408831,6.8843520074242,NA,"Private","P2",525931,0,0,5,15,1
"17","CCI",1,17,2020,7,NA,"","F",73,7.53936755018688,10.0274350960078,NA,"Private","P2",525931,0,0,5,15,1
"18","CCI",1,18,2020,NA,NA,"","F",72,7.20984847775071,9.58917139686394,NA,"Private","P2",525931,0,0,5,15,1
"19","CCI",1,19,2020,11,NA,"","M",79,9.7382433958611,12.9519622105045,NA,"Private","P2",525931,0,0,5,15,1
"20","CCI",1,20,2020,NA,NA,"","F",78,9.34448480063656,12.4282592963242,NA,"Charter","VOYAGEUR",525931,0,0,5,15,1
"21","CCI",1,21,2020,6,NA,"","F",66,5.43865111903037,7.23346099561835,NA,"Charter","VOYAGEUR",525931,0,0,5,15,1
"22","CCI",1,22,2020,9,NA,"","F",92,15.9529649068762,21.2176046767513,NA,"Charter","VOYAGEUR",525931,0,0,5,15,1
"23","CCI",1,23,2020,NA,NA,"","M",84,11.8804731210747,15.8011494118613,NA,"Charter","VOYAGEUR",525931,0,0,5,15,1
"24","CCI",1,24,2020,7,NA,"","M",79,9.7382433958611,12.9519622105045,NA,"Charter","VOYAGEUR",525931,0,0,5,15,1
"25","CCI",1,25,2020,NA,NA,"","M",66,5.43865111903037,7.23346099561835,NA,"Charter","VOYAGEUR",525931,0,0,5,15,1
"26","CCI",1,26,2020,NA,NA,"","M",64,4.92257072920152,6.54706885743389,NA,"Charter","VOYAGEUR",525931,0,0,5,15,1
"27","CCI",1,27,2020,NA,NA,"","M",68,5.99097802244173,7.96806136347004,NA,"Charter","VOYAGEUR",525931,0,0,5,15,1
"28","CCI",2,1,2020,8,NA,"","F",96,18.3116569755219,24.3546889842045,NA,"Private","P1",515938,0,0,5,18,1
"29","CCI",2,2,2020,5,NA,"","F",70,6.58091829516383,8.7526878929321,NA,"Private","P1",515938,0,0,5,18,1
"30","CCI",2,3,2020,9,NA,"","M",67,5.71019855759205,7.59462183537564,NA,"Private","P1",515938,0,0,5,18,1
"31","CCI",2,4,2020,9,NA,"","M",80,10.1433265474259,13.4907268991556,NA,"Private","P1",515938,0,0,5,18,1
"32","CCI",2,5,2020,16,NA,"","M",77,8.96187328123999,11.9193821057382,NA,"Private","P2",525931,0,0,5,18,1
"33","CCI",2,6,2020,15,NA,"","M",78,9.34448480063656,12.4282592963242,NA,"Private","P2",525931,0,0,5,18,1
"34","CCI",2,7,2020,15,NA,"","M",76,8.5902319024382,11.4250953130969,NA,"Private","P2",525931,0,0,5,18,1
"35","CCI",2,8,2020,8,NA,"","M",69,6.2811606783156,8.35400723073185,NA,"Private","P2",525931,0,0,5,18,1
"36","CCI",2,9,2020,NA,NA,"","M",72,7.20984847775071,9.58917139686394,NA,"Private","P2",525931,0,0,5,18,1
"37","CCI",2,10,2020,NA,NA,"","M",69,6.2811606783156,8.35400723073185,NA,"Private","P2",525931,0,0,5,18,1
"38","CCI",2,11,2020,16,NA,"","M",69,6.2811606783156,8.35400723073185,NA,"Private","P2",525931,0,0,5,18,1
"39","CCI",2,12,2020,5,NA,"","F",68,5.99097802244173,7.96806136347004,NA,"Private","P2",525931,0,0,5,18,1
"40","CCI",2,13,2020,NA,NA,"","F",68,5.99097802244173,7.96806136347004,NA,"Charter","VOYAGEUR",525931,0,0,5,18,1
"41","CCI",2,14,2020,NA,NA,"","F",80,10.1433265474259,13.4907268991556,NA,"Charter","VOYAGEUR",525931,0,0,5,18,1
"42","CCI",2,15,2020,NA,NA,"","F",68,5.99097802244173,7.96806136347004,NA,"Charter","VOYAGEUR",525931,0,0,5,18,1
"43","CCI",2,16,2020,5,NA,"","F",61,4.21344679894348,5.6039268580082,NA,"Charter","VOYAGEUR",525931,0,0,5,18,1
"44","CCI",2,17,2020,5,NA,"","F",60,3.99373183786951,5.31170373755076,NA,"Charter","VOYAGEUR",525931,0,0,5,18,1
"45","CCI",2,18,2020,8,NA,"","F",78,9.34448480063656,12.4282592963242,NA,"Charter","VOYAGEUR",525931,0,0,5,18,1
"46","CCI",2,19,2020,NA,NA,"","F",80,10.1433265474259,13.4907268991556,NA,"Charter","VOYAGEUR",525931,0,0,5,18,1
"47","CCI",2,20,2020,NA,NA,"","F",NA,NA,NA,NA,"Charter","VOYAGEUR",525931,0,0,5,18,1
"48","CCI",2,21,2020,NA,NA,"","F",64,4.92257072920152,6.54706885743389,NA,"Charter","VOYAGEUR",525931,0,0,5,18,1
