SortNum,PORT,PAGE,LINE,SAMPLEID,SEX,LENGTH,NETWT,RNDWT,AGE,AGE2,AGECONF,AGEERR,USER,BOATNAME,STATAREA,CAS,GAF,REMARKS,YEAR,MONTH,DAY,SUB
1,CCI,1,1,105172211,F,63,4.554798661,6.071636597,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
2,CCI,1,2,105172212,M,59,3.709369195,4.944662417,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
3,CCI,1,3,105172213,M,57,3.329826174,4.438724072,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
4,CCI,1,4,105172214,F,66,5.268728051,7.023318578,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
5,CCI,1,5,105172215,M,65,5.022871535,6.695586986,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
6,CCI,1,6,105172216,F,69,6.055233829,8.071746318,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
7,CCI,1,7,105172217,F,78,8.887699676,11.84747925,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
8,CCI,1,8,105172218,F,87,12.50917088,16.67497191,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
9,CCI,1,9,105172219,F,85,11.63093161,15.50426161,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
10,CCI,1,10,1051722110,F,87,12.50917088,16.67497191,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
11,CCI,1,11,1051722111,F,81,10.00210418,13.33300246,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
12,CCI,1,12,1051722112,F,115,29.95832341,39.93503695,,,,,Charter,HOOKSETTER,525931,0,0,,2022,5,17,1
13,CCI,2,1,105242211,F,81,10.00210418,13.33300246,,,,,Private,P1,525931,0,0,,2022,5,24,1
14,CCI,2,2,105242212,F,77,8.535898344,11.37852112,,,,,Private,P1,525931,0,0,,2022,5,24,1
15,CCI,2,3,105242213,F,97,17.58445015,23.44041943,,,,,Private,P1,525931,0,0,,2022,5,24,1
16,CCI,2,4,105242214,M,77,8.535898344,11.37852112,,,,,Private,P1,525931,0,0,,2022,5,24,1
17,CCI,2,5,105242215,F,91,14.39901627,19.19417315,,,,,Private,P1,525931,0,0,,2022,5,24,1
18,CCI,2,6,105242216,M,79,9.249240246,12.32941997,,,,,Private,P1,525931,0,0,,2022,5,24,1
19,CCI,2,7,105242217,F,72,6.918054489,9.221903303,,,,,Private,P1,525931,0,0,,2022,5,24,1
20,CCI,2,8,105242218,F,77,8.535898344,11.37852112,,,,,Private,P1,525931,0,0,,2022,5,24,1
21,CCI,2,9,105242219,F,92,14.90009935,19.86212679,,,,,Private,P1,525931,0,0,,2022,5,24,1
22,CCI,2,10,1052422110,F,78,8.887699676,11.84747925,,,,,Private,P1,525931,0,0,,2022,5,24,1
23,CCI,2,11,1052422111,F,76,8.193695274,10.92235767,,,,,Private,P1,525931,0,0,,2022,5,24,1
24,CCI,2,12,1052422112,F,71,6.621736519,8.826905594,,,,,Private,P1,525931,0,0,,2022,5,24,1
25,CCI,2,13,1052422113,F,94,15.93761921,21.24516126,,,,,Private,P1,525931,0,0,,2022,5,24,1
26,CCI,2,14,1052422114,M,79,9.249240246,12.32941997,,,,,Private,P1,525931,0,0,,2022,5,24,1
27,CCI,2,15,105242221,F,68,5.784770866,7.711213845,,,,,Charter,EXPEDITION,525931,0,0,,2022,5,24,1
