PORT,PAGE,LINE,YEAR,AGE,AGE2,AGEERR,SEX,LENGTH,NETWT,RNDWT,AGECONF,USER,BOATNAME,STATAREA,CAS,GAF,MONTH,DAY,SUB
CCI,1,1,2022,,,,F,63,4.554798661,6.071636597,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,2,2022,,,,M,59,3.709369195,4.944662417,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,3,2022,,,,M,57,3.329826174,4.438724072,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,4,2022,,,,F,66,5.268728051,7.023318578,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,5,2022,,,,M,65,5.022871535,6.695586986,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,6,2022,,,,F,69,6.055233829,8.071746318,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,7,2022,,,,F,78,8.887699676,11.84747925,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,8,2022,,,,F,87,12.50917088,16.67497191,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,9,2022,,,,F,85,11.63093161,15.50426161,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,10,2022,,,,F,87,12.50917088,16.67497191,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,11,2022,,,,F,81,10.00210418,13.33300246,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,1,12,2022,,,,F,115,29.95832341,39.93503695,,Charter,HOOKSETTER,525931,0,0,5,17,1
CCI,2,1,2022,,,,F,81,10.00210418,13.33300246,,Private,P1,525931,0,0,5,24,1
CCI,2,2,2022,,,,F,77,8.535898344,11.37852112,,Private,P1,525931,0,0,5,24,1
CCI,2,3,2022,,,,F,97,17.58445015,23.44041943,,Private,P1,525931,0,0,5,24,1
CCI,2,4,2022,,,,M,77,8.535898344,11.37852112,,Private,P1,525931,0,0,5,24,1
CCI,2,5,2022,,,,F,91,14.39901627,19.19417315,,Private,P1,525931,0,0,5,24,1
CCI,2,6,2022,,,,M,79,9.249240246,12.32941997,,Private,P1,525931,0,0,5,24,1
CCI,2,7,2022,,,,F,72,6.918054489,9.221903303,,Private,P1,525931,0,0,5,24,1
CCI,2,8,2022,,,,F,77,8.535898344,11.37852112,,Private,P1,525931,0,0,5,24,1
CCI,2,9,2022,,,,F,92,14.90009935,19.86212679,,Private,P1,525931,0,0,5,24,1
CCI,2,10,2022,,,,F,78,8.887699676,11.84747925,,Private,P1,525931,0,0,5,24,1
CCI,2,11,2022,,,,F,76,8.193695274,10.92235767,,Private,P1,525931,0,0,5,24,1
CCI,2,12,2022,,,,F,71,6.621736519,8.826905594,,Private,P1,525931,0,0,5,24,1
CCI,2,13,2022,,,,F,94,15.93761921,21.24516126,,Private,P1,525931,0,0,5,24,1
CCI,2,14,2022,,,,M,79,9.249240246,12.32941997,,Private,P1,525931,0,0,5,24,1
CCI,2,15,2022,,,,F,68,5.784770866,7.711213845,,Charter,EXPEDITION,525931,0,0,5,24,1
CCI,2,16,2022,,,,F,74,7.537521211,10.04766468,,Charter,EXPEDITION,525931,0,0,5,24,1
CCI,2,17,2022,,,,M,67,5.522648429,7.361799458,,Charter,EXPEDITION,525931,0,0,5,24,1
CCI,2,18,2022,,,,F,74,7.537521211,10.04766468,,Charter,EXPEDITION,525931,0,0,5,24,1
CCI,2,19,2022,,,,F,67,5.522648429,7.361799458,,Charter,EXPEDITION,525931,0,0,5,24,1
CCI,2,20,2022,,,,F,87,12.50917088,16.67497191,,Charter,EXPEDITION,525931,0,0,5,24,1
CCI,2,21,2022,,,,F,71,6.621736519,8.826905594,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,22,2022,,,,F,86,12.0646136,16.08236826,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,23,2022,,,,M,56,3.150371639,4.199507631,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,24,2022,,,,F,91,14.39901627,19.19417315,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,25,2022,,,,F,62,4.332307282,5.775051193,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,26,2022,,,,F,83,10.7956226,14.39077819,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,27,2022,,,,F,93,15.41291891,20.54572539,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,28,2022,,,,F,65,5.022871535,6.695586986,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,29,2022,,,,F,60,3.909729203,5.211746266,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,30,2022,,,,M,87,12.50917088,16.67497191,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,31,2022,,,,F,71,6.621736519,8.826905594,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,2,32,2022,,,,M,84,11.20798213,14.9404616,,Charter,AFISHUNT II,525931,0,0,5,24,1
CCI,3,1,2022,,,,F,83,10.7956226,14.39077819,,Charter,HARD EIGHT,525931,0,0,5,27,1
CCI,3,2,2022,,,,F,70,6.334176049,8.443581807,,Charter,HARD EIGHT,525931,0,0,5,27,1
CCI,3,3,2022,,,,F,72,6.918054489,9.221903303,,Charter,HARD EIGHT,525931,0,0,5,27,1
CCI,3,4,2022,,,,F,83,10.7956226,14.39077819,,Charter,HARD EIGHT,525931,0,0,5,27,1
CCI,3,5,2022,,,,F,66,5.268728051,7.023318578,,Charter,HARD EIGHT,525931,0,0,5,27,1
