PORT,PAGE,LINE,SAMPLEID,SEX,LENGTH,NETWT,RNDWT,AGE,AGE2,AGECONF,AGEERR,USER,BOATNAME,STATAREA,CAS,GAF,REMARKS,YEAR,MONTH,DAY,SUB
CCI,1,1,1 051423 1 1,F,78,8.887699676,11.84747925,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,2,1 051423 1 2,M,67,5.522648429,7.361799458,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,3,1 051423 1 3,F,69,6.055233829,8.071746318,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,4,1 051423 1 4,F,68,5.784770866,7.711213845,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,5,1 051423 1 5,F,79,9.249240246,12.32941997,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,6,1 051423 1 6,F,60,3.909729203,5.211746266,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,7,1 051423 1 7,F,89,13.43148357,17.90443295,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,8,1 051423 1 8,F,82,10.39371065,13.85502163,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,9,1 051423 1 9,M,68,5.784770866,7.711213845,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,10,1 051423 1 10,F,78,8.887699676,11.84747925,,,,,Charter,SOLO,525931,0,0,,2023,5,14,1
CCI,1,11,1 051423 2 1,F,58,3.51611349,4.687048744,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,12,1 051423 2 2,F,67,5.522648429,7.361799458,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,13,1 051423 2 3,F,75,7.860949729,10.47880128,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,14,1 051423 2 4,M,75,7.860949729,10.47880128,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,15,1 051423 2 5,M,69,6.055233829,8.071746318,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,16,1 051423 2 6,F,70,6.334176049,8.443581807,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,17,1 051423 2 7,F,84,11.20798213,14.9404616,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,18,1 051423 2 8,F,68,5.784770866,7.711213845,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,19,1 051423 2 9,M,85,11.63093161,15.50426161,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,20,1 051423 2 10,F,76,8.193695274,10.92235767,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,21,1 051423 2 11,F,66,5.268728051,7.023318578,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,22,1 051423 2 12,M,86,12.0646136,16.08236826,,,,,Charter,REEL SALTY,525931,0,0,,2023,5,14,1
CCI,1,23,1 051423 3 1,M,65,5.022871535,6.695586986,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,24,1 051423 3 2,F,67,5.522648429,7.361799458,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,25,1 051423 3 3,M,84,11.20798213,14.9404616,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,26,1 051423 3 4,M,81,10.00210418,13.33300246,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,27,1 051423 3 5,F,66,5.268728051,7.023318578,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,28,1 051423 3 6,M,63,4.554798661,6.071636597,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,29,1 051423 3 7,M,71,6.621736519,8.826905594,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,30,1 051423 3 8,F,86,12.0646136,16.08236826,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,31,1 051423 3 9,M,69,6.055233829,8.071746318,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,32,1 051423 3 10,F,77,8.535898344,11.37852112,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,33,1 051423 3 11,F,88,12.96474647,17.28226317,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,34,1 051423 3 12,M,71,6.621736519,8.826905594,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,35,1 051423 3 13,M,63,4.554798661,6.071636597,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,36,1 051423 3 14,F,69,6.055233829,8.071746318,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,37,1 051423 3 15,M,78,8.887699676,11.84747925,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,1,38,1 051423 3 16,F,84,11.20798213,14.9404616,,,,,Charter,EXCITER,525931,0,0,,2023,5,14,1
CCI,2,1,1 051523 1 1,F,59,3.709369195,4.944662417,,,,,Private,P1,525931,0,0,,2023,5,15,1
CCI,2,2,1 051523 1 2,F,57,3.329826174,4.438724072,,,,,Private,P1,525931,0,0,,2023,5,15,1
CCI,2,3,1 051523 1 3,F,83,10.7956226,14.39077819,,,,,Private,P1,525931,0,0,,2023,5,15,1
CCI,2,4,1 051523 1 4,F,77,8.535898344,11.37852112,,,,,Private,P1,525931,0,0,,2023,5,15,1
CCI,2,5,1 051523 1 5,F,93,15.41291891,20.54572539,,,,,Private,P1,525931,0,0,,2023,5,15,1
CCI,2,6,1 051523 1 6,F,67,5.522648429,7.361799458,,,,,Private,P1,525931,0,0,,2023,5,15,1
CCI,2,7,1 051523 1 7,F,90,13.90952563,18.54167245,,,,,Private,P1,525931,0,0,,2023,5,15,1
CCI,2,8,1 051523 1 8,F,77,8.535898344,11.37852112,,,,,Private,P1,525931,0,0,,2023,5,15,1
CCI,2,9,1 051523 1 9,F,79,9.249240246,12.32941997,,,,,Private,P1,525931,0,0,,2023,5,15,1
CCI,2,10,1 051523 2 1,F,80,9.620661265,12.82453153,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,11,1 051523 2 2,F,80,9.620661265,12.82453153,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,12,1 051523 2 3,F,80,9.620661265,12.82453153,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,13,1 051523 2 4,F,70,6.334176049,8.443581807,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,14,1 051523 2 5,F,73,7.223269467,9.628760898,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,15,1 051523 2 6,F,76,8.193695274,10.92235767,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,16,1 051523 2 7,F,84,11.20798213,14.9404616,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,17,1 051523 2 8,F,71,6.621736519,8.826905594,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,18,1 051523 2 9,F,73,7.223269467,9.628760898,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,19,1 051523 2 10,F,91,14.39901627,19.19417315,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,20,1 051523 2 11,F,102,20.58030478,27.43395285,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,2,21,1 051523 2 12,F,94,15.93761921,21.24516126,,,,,Private,P2,515939,0,0,,2023,5,15,1
CCI,3,1,106032311,U,63,4.554798661,6.071636597,,,,,Charter,HARD EIGHT,525931,0,0,,2023,6,3,1
CCI,3,2,106032312,F,74,7.537521211,10.04766468,,,,,Charter,HARD EIGHT,525931,0,0,,2023,6,3,1
CCI,3,3,106032313,M,78,8.887699676,11.84747925,,,,,Charter,HARD EIGHT,525931,0,0,,2023,6,3,1
