"PORT","PAGE","LINE","SAMPLEID","SEX","LENGTH","NETWT","RNDWT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","CAS","GAF","REMARKS","YEAR","MONTH","DAY","SUB"
"CCI",1,1,"1 051825 1 1","F",94,15.9376192125641,21.2451612645375,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,2,"1 051825 1 2","F",69,6.05523382908109,8.07174631778731,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,3,"1 051825 1 3","F",86,12.0646135954387,16.0823682640984,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,4,"1 051825 1 4","F",69,6.05523382908109,8.07174631778731,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,5,"1 051825 1 5","F",82,10.3937106531577,13.8550216326664,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,6,"1 051825 1 6","M",67,5.52264842896343,7.36179945798794,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,7,"1 051825 1 7","F",66,5.26872805129869,7.02331857825987,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,8,"1 051825 1 8","F",84,11.2079821314859,14.9404615995443,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,9,"1 051825 1 9","F",89,13.4314835747255,17.9044329495635,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,10,"1 051825 1 10","F",69,6.05523382908109,8.07174631778731,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,11,"1 051825 1 11","F",83,10.7956225961117,14.3907781925591,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,12,"1 051825 1 12","F",86,12.0646135954387,16.0823682640984,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,13,"1 051825 1 13","F",64,4.78494095538039,6.37842082198872,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,14,"1 051825 1 14","F",64,4.78494095538039,6.37842082198872,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,15,"1 051825 1 15","F",66,5.26872805129869,7.02331857825987,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,16,"1 051825 1 16","F",92,14.900099347596,19.8621267879055,,,,,"Charter","VOYAGEUR",525931,0,0,,2025,5,18,1
"CCI",1,17,"1 051825 2 1","M",69,6.05523382908109,8.07174631778731,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,18,"1 051825 2 2","F",75,7.86094972864608,10.478801284564,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,19,"1 051825 2 3","M",72,6.91805448911422,9.22190330298669,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,20,"1 051825 2 4","F",80,9.62066126536669,12.8245315268341,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,21,"1 051825 2 5","F",65,5.02287153537897,6.6955869855428,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,22,"1 051825 2 6","M",79,9.24924024625809,12.3294199707881,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,23,"1 051825 2 7","F",69,6.05523382908109,8.07174631778731,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,24,"1 051825 2 8","F",80,9.62066126536669,12.8245315268341,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,25,"1 051825 2 9","F",79,9.24924024625809,12.3294199707881,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,26,"1 051825 2 10","F",69,6.05523382908109,8.07174631778731,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,27,"1 051825 2 11","F",73,7.22326946709743,9.6287608982851,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,28,"1 051825 2 12","M",67,5.52264842896343,7.36179945798794,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,29,"1 051825 2 13","M",63,4.55479866107468,6.07163659712401,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,30,"1 051825 2 14","F",80,9.62066126536669,12.8245315268341,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,31,"1 051825 2 15","F",69,6.05523382908109,8.07174631778731,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,32,"1 051825 2 16","F",78,8.88769967591599,11.8474792481401,,,,,"Charter","HARD EIGHT",525931,0,0,,2025,5,18,1
"CCI",1,33,"1 051825 3 1","F",67,5.52264842896343,7.36179945798794,,,,,"Private","P1",525931,0,0,"""Just Fish"" vessel charter priv group",2025,5,18,1
"CCI",1,34,"1 051825 3 2","F",66,5.26872805129869,7.02331857825987,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,35,"1 051825 3 3","F",67,5.52264842896343,7.36179945798794,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,36,"1 051825 3 4","F",69,6.05523382908109,8.07174631778731,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,37,"1 051825 3 5","M",65,5.02287153537897,6.6955869855428,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,38,"1 051825 3 6","F",80,9.62066126536669,12.8245315268341,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,39,"1 051825 3 7","F",81,10.0021041765496,13.3330024630017,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,40,"1 051825 3 8","M",65,5.02287153537897,6.6955869855428,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,41,"1 051825 3 9","F",89,13.4314835747255,17.9044329495635,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,42,"1 051825 3 10","F",100,19.3434201270241,25.7851611665035,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,43,"1 051825 3 11","F",101,19.9553415048506,26.6008644519034,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",1,44,"1 051825 3 12","F",85,11.6309316081458,15.5042616074719,,,,,"Private","P1",525931,0,0,,2025,5,18,1
"CCI",2,1,"1 052225 1 1","F",80,9.62066126536669,12.8245315268341,,,,,"Charter","ALASKA SPIRIT",525931,0,0,,2025,5,22,1
"CCI",2,2,"1 052225 1 2","F",65,5.02287153537897,6.6955869855428,,,,,"Charter","ALASKA SPIRIT",525931,0,0,,2025,5,22,1
"CCI",2,3,"1 052225 1 3","F",79,9.24924024625809,12.3294199707881,,,,,"Charter","ALASKA SPIRIT",525931,0,0,,2025,5,22,1
"CCI",2,4,"1 052225 1 4","F",62,4.33230728157231,5.7750511928391,,,,,"Charter","ALASKA SPIRIT",525931,0,0,,2025,5,22,1
"CCI",2,5,"1 052225 1 5","M",68,5.78477086615565,7.71121384510118,,,,,"Charter","ALASKA SPIRIT",525931,0,0,,2025,5,22,1
"CCI",2,6,"1 052225 1 6","M",68,5.78477086615565,7.71121384510118,,,,,"Charter","ALASKA SPIRIT",525931,0,0,,2025,5,22,1
"CCI",2,7,"1 052225 1 7","F",69,6.05523382908109,8.07174631778731,,,,,"Charter","ALASKA SPIRIT",525931,0,0,,2025,5,22,1
"CCI",2,8,"1 052225 1 8","F",70,6.33417604893076,8.44358180746462,,,,,"Charter","ALASKA SPIRIT",525931,0,0,,2025,5,22,1
