"","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGEERR","SEX","LENGTH","OBSWT","AGE","STATAREA","CAS","PORT","USER","RNDLEN","NETWT","RNDWT"
"1",NA,1994,5,26,1,1,3,"","F",107,NA,10,475933,0,"Seward","Charter",107,26.0238944567846,34.6120428369748
"2",NA,1994,5,26,1,2,2,"","F",128.5,NA,13,475933,0,"Seward","Charter",129,47.6957311427726,63.4358048214451
"3",NA,1994,5,26,1,3,3,"","F",120,NA,11,495938,0,"Seward","Charter",120,37.7325439379309,50.1846650698821
"4",NA,1994,5,26,1,4,2,"","F",131,NA,NA,475933,0,"Seward","Charter",131,50.1334794330865,66.6780347033032
"5",NA,1994,5,26,1,5,2,"","F",105,NA,9,475933,0,"Seward","Charter",105,24.4806067874466,32.5594546277194
"6",NA,1994,5,26,1,6,2,"","F",71.5,NA,7,475933,0,"Seward","Charter",72,7.20984847775072,9.58917139686394
"7",NA,1994,5,26,1,7,2,"","F",97,NA,11,475933,0,"Seward","Charter",97,18.9369166767327,25.1862907107824
"8",NA,1994,5,26,1,8,2,"","F",100.5,NA,10,475933,0,"Seward","Charter",101,21.5858969931053,28.7094613237299
"9",NA,1994,5,26,1,9,2,"","M",82,NA,12,NA,0,"Seward","Charter",82,10.9881791366113,14.614389387734
"10",NA,1994,5,26,1,10,2,"","F",67.5,NA,7,495938,0,"Seward","Private",68,5.99097802244174,7.96806136347005
"11",NA,1994,5,26,1,11,2,"","F",112.5,NA,11,475933,0,"Seward","Charter",113,31.0558203756211,41.3045552026575
"12",NA,1994,5,26,1,12,NA,"I","F",128,NA,NA,475934,0,"Seward","Charter",128,46.5081592524384,61.856322196026
"13",NA,1994,5,26,1,13,2,"","M",85,NA,13,475934,0,"Seward","Charter",85,12.344859985371,16.4187886382518
"14",NA,1994,5,26,1,14,2,"","M",85.5,NA,13,475934,0,"Seward","Charter",86,12.8216474535934,17.0529207932853
"15",NA,1994,5,26,1,15,3,"","M",83.5,NA,13,NA,0,"Seward","Charter",84,11.8804731210747,15.8011494118613
"16",NA,1994,5,27,2,1,2,"","F",72,NA,7,495939,0,"Seward","Private",72,7.20984847775072,9.58917139686394
