"","Area_name","DATE","WK","WD","Site","snum","Area","SPECIES","ID","day_type","LITHCODE","LINE","LENGTH","CATAREA","CHAR_NON","CAS"
"1","Elfin Cove",2006-05-09,19,2,"G",82,"G 82",200,1,"A",8260,1,930,54,1,0
"2","Elfin Cove",2006-05-09,19,2,"G",82,"G 82",200,1,"A",8260,2,825,54,1,0
"3","Elfin Cove",2006-05-09,19,2,"G",82,"G 82",200,1,"A",8260,3,710,54,1,0
"4","Elfin Cove",2006-05-13,20,1,"G",82,"G 82",200,1,"A",8265,1,870,55,1,0
"5","Elfin Cove",2006-05-13,20,1,"G",82,"G 82",200,1,"A",8265,2,960,46,2,0
"6","Elfin Cove",2006-05-13,20,1,"G",82,"G 82",200,1,"A",8265,3,1040,46,2,0
"7","Elfin Cove",2006-05-14,20,1,"G",82,"G 82",200,1,"A",8266,1,1175,53,2,0
"8","Elfin Cove",2006-05-18,20,2,"G",82,"G 82",200,1,"A",8272,1,825,55,1,NA
"9","Elfin Cove",2006-05-18,20,2,"G",82,"G 82",200,1,"A",8272,2,910,53,1,NA
"10","Elfin Cove",2006-05-18,20,2,"G",82,"G 82",200,1,"A",8272,3,1040,53,1,NA
"11","Elfin Cove",2006-05-18,20,2,"G",82,"G 82",200,1,"A",8272,4,1090,53,1,NA
"12","Elfin Cove",2006-05-18,20,2,"G",82,"G 82",200,1,"A",8272,5,1280,53,2,NA
"13","Elfin Cove",2006-05-19,20,2,"G",82,"G 82",200,1,"C",8274,1,810,55,2,0
"14","Elfin Cove",2006-05-19,20,2,"G",82,"G 82",200,1,"C",8274,2,880,55,2,0
"15","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,1,690,55,2,0
"16","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,2,790,55,2,0
"17","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,3,830,55,2,0
"18","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,4,705,55,2,0
