"","Index","Area_name","Year","DATE","WK","WD","Site","snum","AREA","SPECIES","ID","day_type","LITHCODE","LINE","LENGTH","CATAREA","CHAR_NON","CAS"
"1",1,"Sitka",2007,2007-05-08,19,2,"D",81,"D 81",200,10,"C",2620,1,763,3,1,0
"2",2,"Sitka",2007,2007-05-11,19,2,"D",81,"D 81",200,10,"C",2622,1,813,4,1,0
"3",3,"Sitka",2007,2007-05-12,20,1,"D",81,"D 81",200,9,"A",2536,1,895,14,1,0
"4",4,"Sitka",2007,2007-05-12,20,1,"D",81,"D 81",200,9,"A",2536,2,1110,14,1,0
"5",5,"Sitka",2007,2007-05-12,20,1,"D",81,"D 81",200,9,"A",2536,3,980,14,1,0
"6",6,"Sitka",2007,2007-05-14,20,2,"D",81,"D 81",200,9,"A",2525,1,1200,9,2,0
"7",7,"Sitka",2007,2007-05-14,20,2,"D",81,"D 81",200,9,"A",2525,2,975,9,2,0
"8",8,"Sitka",2007,2007-05-14,20,2,"D",81,"D 81",200,9,"A",2525,3,990,9,2,0
"9",9,"Sitka",2007,2007-05-14,20,2,"D",81,"D 81",200,9,"A",2525,4,870,9,2,0
"10",10,"Sitka",2007,2007-05-14,20,2,"D",81,"D 81",200,13,"D",1106,1,603.28894,13,2,0
"11",11,"Sitka",2007,2007-05-14,20,2,"D",81,"D 81",200,13,"D",1106,2,743.70894,13,2,0
"12",12,"Sitka",2007,2007-05-14,20,2,"D",81,"D 81",200,13,"D",1106,3,763.76894,13,2,0
"13",13,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,1,1285.32894,9,2,0
"14",14,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,2,1255.23894,9,2,0
"15",15,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,3,1255.23894,9,2,0
"16",16,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,4,1084.72894,9,2,0
"17",17,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,5,1626.34894,14,2,0
"18",18,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,6,954.33894,14,2,0
"19",19,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,7,1185.02894,14,2,0
"20",20,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,8,1084.72894,14,2,0
"21",21,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,9,838.99394,14,2,0
"22",22,"Sitka",2007,2007-05-15,20,2,"D",81,"D 81",200,13,"D",1102,10,1174.99894,14,2,0
"23",23,"Sitka",2007,2007-05-23,21,2,"D",81,"D 81",200,13,"C",1095,1,1307.39494,13,2,0
"24",24,"Sitka",2007,2007-05-23,21,2,"D",81,"D 81",200,13,"C",1095,2,1174.99894,13,2,0
"25",25,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,1,780,10,2,0
"26",26,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,2,700,10,2,0
"27",27,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,3,710,10,2,0
"28",28,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,4,730,10,2,0
