"","Index","Area_name","Year","DATE","WK","WD","Site","snum","SPECIES","Dock","ID","day_type","LITHCODE","LINE","LENGTH","CATAREA","CHAR_NON"
"1",1,"Elfin Cove",2008,2008-05-15,20,2,"G",82,200,13,1,"C",14797,1,1360,53,1
"2",2,"Elfin Cove",2008,2008-05-15,20,2,"G",82,200,13,1,"C",14797,2,675,53,1
"3",3,"Elfin Cove",2008,2008-05-15,20,2,"G",82,200,13,1,"C",14797,3,680,53,1
"4",4,"Elfin Cove",2008,2008-05-15,20,2,"G",82,200,13,1,"C",14797,4,550,53,1
"5",5,"Elfin Cove",2008,2008-05-17,21,1,"G",82,200,19,1,"A",14800,1,725,55,2
"6",6,"Elfin Cove",2008,2008-05-17,21,1,"G",82,200,19,1,"A",14800,2,835,55,2
"7",7,"Elfin Cove",2008,2008-05-17,21,1,"G",82,200,19,1,"A",14800,3,715,55,2
"8",8,"Elfin Cove",2008,2008-05-17,21,1,"G",82,200,19,1,"A",14800,4,780,55,2
"9",9,"Elfin Cove",2008,2008-05-17,21,1,"G",82,200,19,1,"A",14800,5,790,55,2
"10",10,"Elfin Cove",2008,2008-05-17,21,1,"G",82,200,19,1,"A",14800,6,840,55,2
"11",11,"Elfin Cove",2008,2008-05-17,21,1,"G",82,200,19,1,"A",14800,7,900,55,2
"12",12,"Elfin Cove",2008,2008-05-17,21,1,"G",82,200,19,1,"A",14800,8,830,55,2
"13",13,"Elfin Cove",2008,2008-05-18,21,1,"G",82,200,19,1,"C",14802,1,1195,46,2
"14",14,"Elfin Cove",2008,2008-05-18,21,1,"G",82,200,19,1,"C",14802,2,770,46,2
"15",15,"Elfin Cove",2008,2008-05-18,21,1,"G",82,200,19,1,"C",14802,3,975,46,2
"16",16,"Elfin Cove",2008,2008-05-18,21,1,"G",82,200,19,1,"C",14802,4,500,53,1
"17",17,"Elfin Cove",2008,2008-05-18,21,1,"G",82,200,19,1,"C",14802,5,820,53,1
"18",18,"Elfin Cove",2008,2008-05-18,21,1,"G",82,200,19,1,"C",14802,6,810,53,1
"19",19,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,1,1865,55,2
"20",20,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,2,1570,55,2
"21",21,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,3,1450,46,2
"22",22,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,4,1205,46,2
"23",23,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,5,1340,46,2
"24",24,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,6,1070,46,2
"25",25,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,7,870,46,2
"26",26,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,8,1360,46,2
"27",27,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,9,1355,46,2
"28",28,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,10,935,46,2
"29",29,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,11,990,46,2
"30",30,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,12,1335,46,2
"31",31,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,13,855,47,2
