"","SITE","SPECCODE","SURVAREA","SHSITE","YEAR","DATE","SHIFT","BIWEEK","WEEK","STATWEEK","HARBOR","SUBHARBOR","HEADVAR2","SAMPTYPE","LITHCODE","LINENO","LENGTH","AREA","SUBAREA","CLASS","CLASSN","INTVNUMB","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","MONTH","LENCM","GROSSWT","NETWT_B","NETWT","ROUNDWT"
"1","CRAIG","200","B",760,2011,2011-05-20,NA,10,6,21,1,1,11,"D","00113829","01",610,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",5,61,4.88539689627812,4.21344679894347,4.21344679894347,5.60388424259482
"2","CRAIG","200","B",760,2011,2011-05-21,NA,10,6,21,1,1,9,"C","00115582","01",720,3,NA,1,"Private",2,"2C",103700,"10370","103","70","103-70",5,72,8.35965732014726,7.20984847775072,7.20984847775072,9.58909847540845
"3","CRAIG","200","B",760,2011,2011-05-21,NA,10,6,21,1,1,9,"C","00115582","02",610,6,NA,1,"Private",3,"2C",104350,"10435","104","35","104-35",5,61,4.88539689627812,4.21344679894347,4.21344679894347,5.60388424259482
"4","CRAIG","200","B",760,2011,2011-05-22,NA,10,6,22,1,1,10,"A","00114142","01",920,1,NA,1,"Private",1,"2C",103600,"10360","103","60","103-60",5,92,18.497104380677,15.9529649068762,15.9529649068762,21.2174433261454
"5","CRAIG","200","B",760,2011,2011-05-22,NA,10,6,22,1,1,10,"A","00114142","02",1140,5,NA,1,"Private",4,"2C",104400,"10440","104","40","104-40",5,114,37.0512534704059,31.9551284463005,31.9551284463005,42.5003208335797
"6","CRAIG","200","B",760,2011,2011-05-23,NA,11,7,22,1,3,10,"A","00114139","01",1160,1,NA,1,"Private",1,"2C",103600,"10360","103","60","103-60",5,116,39.1990075712535,33.8074749051989,33.8074749051989,44.9639416239146
"7","CRAIG","200","B",760,2011,2011-05-23,NA,11,7,22,1,3,10,"A","00114139","02",750,1,NA,1,"Private",1,"2C",103600,"10360","103","60","103-60",5,75,9.54178617567186,8.22938427965115,8.22938427965115,10.945081091936
"8","CRAIG","200","B",760,2011,2011-05-23,NA,11,7,22,1,3,10,"A","00114139","03",810,1,NA,1,"Private",1,"2C",103600,"10360","103","60","103-60",5,81,12.2439810253286,10.5599122758681,10.5599122758681,14.0446833269046
"9","CRAIG","200","B",760,2011,2011-05-26,NA,11,7,22,1,3,9,"A","00115602","01",720,5,NA,1,"Private",2,"2C",104400,"10440","104","40","104-40",5,72,8.35965732014726,7.20984847775072,7.20984847775072,9.58909847540845
"10","CRAIG","200","B",760,2011,2011-05-26,NA,11,7,22,1,3,9,"A","00115602","02",730,5,NA,1,"Private",2,"2C",104400,"10440","104","40","104-40",5,73,8.74172728105141,7.53936755018688,7.53936755018688,10.0273588417485
