"","MB_MR","SITE","SPECCODE","SURVAREA","SHSITE","YEAR","DATE","SHIFT","BIWEEK","WEEK","HARBOR","SUB_HBR","HEADVAR2","SAMPTYPE","PAGE","LITHCODE","LINENO","LENGTH","AREA","SUBAREA","CLASSN","DE_DT","INTVNUMB","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","NOTES","CLASS"
"1","Marine Boat","CRAIG","200","B",760,2012,2012-05-13,NA,10,4,1,1,12,"D","01","00111797","01",1000,6,NA,"Private","",2,"2C",104350,"10435","104","35","104-35","",1
"2","Marine Boat","CRAIG","200","B",760,2012,2012-05-18,NA,10,5,1,1,9,"A","01","00112269","01",990,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"3","Marine Boat","CRAIG","200","B",760,2012,2012-05-18,NA,10,5,1,1,9,"A","01","00112269","02",610,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"4","Marine Boat","CRAIG","200","B",760,2012,2012-05-18,NA,10,5,1,1,9,"A","01","00112269","03",610,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"5","Marine Boat","CRAIG","200","B",760,2012,2012-05-18,NA,10,5,1,1,9,"A","01","00112269","04",640,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"6","Marine Boat","CRAIG","200","B",760,2012,2012-05-18,NA,10,5,1,1,9,"A","01","00112269","05",680,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"7","Marine Boat","CRAIG","200","B",760,2012,2012-05-18,NA,10,5,1,1,9,"A","01","00112269","06",740,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"8","Marine Boat","CRAIG","200","B",760,2012,2012-05-23,NA,11,6,1,1,12,"D","01","00111793","01",1350,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"9","Marine Boat","CRAIG","200","B",760,2012,2012-05-23,NA,11,6,1,1,12,"D","01","00111793","02",1400,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"10","Marine Boat","CRAIG","200","B",760,2012,2012-05-23,NA,11,6,1,1,12,"D","01","00111793","03",800,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"11","Marine Boat","CRAIG","200","B",760,2012,2012-05-23,NA,11,6,1,1,12,"D","01","00111793","04",750,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"12","Marine Boat","CRAIG","200","B",760,2012,2012-05-24,NA,11,6,1,1,12,"D","01","00111791","01",1600,1,NA,"Private","",2,"2C",103600,"10360","103","60","103-60","",1
"13","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,6,11,"D","01","00111568","01",735,3,NA,"Private","",1,"2C",103700,"10370","103","70","103-70","",1
"14","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,6,11,"D","01","00111568","02",750,3,NA,"Private","",1,"2C",103700,"10370","103","70","103-70","",1
"15","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,1,9,"C","01","00112264","01",760,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"16","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,1,9,"C","01","00112264","02",680,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"17","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,1,9,"C","01","00112264","03",810,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"18","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,1,9,"C","01","00112264","04",780,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"19","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,1,9,"C","01","00112264","05",800,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"20","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,1,9,"C","01","00112264","06",790,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"21","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,6,11,"D","01","00111568","03",510,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"22","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,6,11,"D","01","00111568","04",715,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"23","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,6,11,"D","01","00111568","05",745,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"24","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,6,11,"D","01","00111568","06",650,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"25","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,6,11,"D","01","00111568","07",595,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"26","Marine Boat","CRAIG","200","B",760,2012,2012-05-25,NA,11,6,1,6,11,"D","01","00111568","08",530,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"27","Marine Boat","CRAIG","200","B",760,2012,2012-05-28,NA,11,7,1,6,11,"D","01","00111563","01",920,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"28","Marine Boat","CRAIG","200","B",760,2012,2012-05-28,NA,11,7,1,6,11,"D","01","00111563","02",740,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"29","Marine Boat","CRAIG","200","B",760,2012,2012-06-02,NA,11,7,1,1,11,"D","01","00111753","01",630,6,NA,"Private","",2,"2C",104350,"10435","104","35","104-35","",1
"30","Marine Boat","CRAIG","200","B",760,2012,2012-06-02,NA,11,7,1,1,11,"D","01","00111753","02",1520,6,NA,"Private","",2,"2C",104350,"10435","104","35","104-35","",1
"31","Marine Boat","CRAIG","200","B",760,2012,2012-06-02,NA,11,7,1,1,11,"D","01","00111753","03",645,6,NA,"Private","",2,"2C",104350,"10435","104","35","104-35","",1
"32","Marine Boat","CRAIG","200","B",760,2012,2012-06-03,NA,11,7,1,1,10,"C","01","00004595","01",1680,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"33","Marine Boat","CRAIG","200","B",760,2012,2012-06-03,NA,11,7,1,1,10,"C","01","00004595","02",800,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"34","Marine Boat","CRAIG","200","B",760,2012,2012-06-03,NA,11,7,1,1,10,"C","01","00004595","03",780,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"35","Marine Boat","CRAIG","200","B",760,2012,2012-06-03,NA,11,7,1,1,10,"C","01","00004595","04",730,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"36","Marine Boat","CRAIG","200","B",760,2012,2012-06-03,NA,11,7,1,11,10,"C","01","00004595","05",880,5,NA,"Private","",4,"2C",104400,"10440","104","40","104-40","",1
"37","Marine Boat","CRAIG","200","B",760,2012,2012-06-04,NA,12,8,1,6,9,"C","01","00112256","01",600,5,NA,"Private","",4,"2C",104400,"10440","104","40","104-40","",1
"38","Marine Boat","CRAIG","200","B",760,2012,2012-06-04,NA,12,8,1,6,9,"C","01","00112256","02",610,5,NA,"Private","",4,"2C",104400,"10440","104","40","104-40","",1
"39","Marine Boat","CRAIG","200","B",760,2012,2012-06-04,NA,12,8,1,6,9,"C","01","00112256","03",620,5,NA,"Private","",4,"2C",104400,"10440","104","40","104-40","",1
"40","Marine Boat","CRAIG","200","B",760,2012,2012-06-05,NA,12,8,1,3,9,"A","01","00112254","01",900,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
"41","Marine Boat","CRAIG","200","B",760,2012,2012-06-05,NA,12,8,1,3,9,"A","01","00112254","02",860,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
"42","Marine Boat","CRAIG","200","B",760,2012,2012-06-06,NA,12,8,1,5,12,"D","01","00111784","01",860,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"43","Marine Boat","CRAIG","200","B",760,2012,2012-06-06,NA,12,8,1,5,12,"D","01","00111784","02",1020,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"44","Marine Boat","CRAIG","200","B",760,2012,2012-06-06,NA,12,8,1,5,12,"D","01","00111784","03",920,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"45","Marine Boat","CRAIG","200","B",760,2012,2012-06-06,NA,12,8,1,5,12,"D","01","00111784","04",770,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"46","Marine Boat","CRAIG","200","B",760,2012,2012-06-06,NA,12,8,1,13,12,"D","01","00111784","05",1290,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"47","Marine Boat","CRAIG","200","B",760,2012,2012-06-06,NA,12,8,1,13,12,"D","01","00111784","06",710,6,NA,"Private","",3,"2C",104350,"10435","104","35","104-35","",1
"48","Marine Boat","CRAIG","200","B",760,2012,2012-06-06,NA,12,8,1,13,12,"D","01","00111784","07",860,6,NA,"Private","",3,"2C",104350,"10435","104","35","104-35","",1
"49","Marine Boat","CRAIG","200","B",760,2012,2012-06-06,NA,12,8,1,13,12,"D","01","00111784","08",670,6,NA,"Private","",3,"2C",104350,"10435","104","35","104-35","",1
"50","Marine Boat","CRAIG","200","B",760,2012,2012-06-06,NA,12,8,1,13,12,"D","01","00111784","09",1270,6,NA,"Private","",3,"2C",104350,"10435","104","35","104-35","",1
"51","Marine Boat","CRAIG","200","B",760,2012,2012-06-07,NA,12,8,1,5,10,"C","01","00004591","01",630,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"52","Marine Boat","CRAIG","200","B",760,2012,2012-06-07,NA,12,8,1,5,10,"C","01","00004591","02",730,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"53","Marine Boat","CRAIG","200","B",760,2012,2012-06-07,NA,12,8,1,5,10,"C","01","00004591","03",660,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"54","Marine Boat","CRAIG","200","B",760,2012,2012-06-07,NA,12,8,1,5,10,"C","01","00004591","04",680,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"55","Marine Boat","CRAIG","200","B",760,2012,2012-06-07,NA,12,8,1,1,10,"C","01","00004591","05",720,5,NA,"Charter","",5,"2C",104400,"10440","104","40","104-40","",2
"56","Marine Boat","CRAIG","200","B",760,2012,2012-06-08,NA,12,8,1,13,12,"D","01","00111776","01",940,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"57","Marine Boat","CRAIG","200","B",760,2012,2012-06-08,NA,12,8,1,13,12,"D","01","00111776","02",760,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"58","Marine Boat","CRAIG","200","B",760,2012,2012-06-08,NA,12,8,1,13,12,"D","01","00111776","03",850,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"59","Marine Boat","CRAIG","200","B",760,2012,2012-06-08,NA,12,8,1,13,12,"D","01","00111776","04",710,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"60","Marine Boat","CRAIG","200","B",760,2012,2012-06-08,NA,12,8,1,13,12,"D","01","00111776","05",650,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"61","Marine Boat","CRAIG","200","B",760,2012,2012-06-08,NA,12,8,1,13,12,"D","01","00111776","06",630,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"62","Marine Boat","CRAIG","200","B",760,2012,2012-06-08,NA,12,8,1,13,12,"D","01","00111776","07",600,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"63","Marine Boat","CRAIG","200","B",760,2012,2012-06-09,NA,12,8,1,6,11,"D","01","00111551","01",690,3,NA,"Private","",1,"2C",103700,"10370","103","70","103-70","",1
"64","Marine Boat","CRAIG","200","B",760,2012,2012-06-09,NA,12,8,1,1,9,"C","01","00112251","01",900,5,NA,"Charter","",1,"2C",104400,"10440","104","40","104-40","",2
"65","Marine Boat","CRAIG","200","B",760,2012,2012-06-09,NA,12,8,1,1,9,"C","01","00112251","02",650,5,NA,"Charter","",1,"2C",104400,"10440","104","40","104-40","",2
"66","Marine Boat","CRAIG","200","B",760,2012,2012-06-09,NA,12,8,1,6,11,"D","01","00111551","02",630,6,NA,"Private","",3,"2C",104350,"10435","104","35","104-35","",1
"67","Marine Boat","CRAIG","200","B",760,2012,2012-06-09,NA,12,8,1,6,11,"D","01","00111551","03",750,6,NA,"Private","",3,"2C",104350,"10435","104","35","104-35","",1
"68","Marine Boat","CRAIG","200","B",760,2012,2012-06-09,NA,12,8,1,6,11,"D","01","00111551","04",760,6,NA,"Private","",3,"2C",104350,"10435","104","35","104-35","",1
"69","Marine Boat","CRAIG","200","B",760,2012,2012-06-13,NA,12,9,1,1,10,"C","01","00112064","01",690,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
"70","Marine Boat","CRAIG","200","B",760,2012,2012-06-13,NA,12,9,1,1,10,"C","01","00112064","02",690,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
"71","Marine Boat","CRAIG","200","B",760,2012,2012-06-13,NA,12,9,1,1,10,"C","01","00112064","03",700,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
"72","Marine Boat","CRAIG","200","B",760,2012,2012-06-13,NA,12,9,1,1,10,"C","01","00112064","04",800,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
"73","Marine Boat","CRAIG","200","B",760,2012,2012-06-13,NA,12,9,1,5,10,"C","01","00112064","05",580,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"74","Marine Boat","CRAIG","200","B",760,2012,2012-06-13,NA,12,9,1,5,10,"C","01","00112064","06",690,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"75","Marine Boat","CRAIG","200","B",760,2012,2012-06-13,NA,12,9,1,5,10,"C","01","00112064","07",890,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"76","Marine Boat","CRAIG","200","B",760,2012,2012-06-13,NA,12,9,1,5,10,"C","01","00112064","08",710,5,NA,"Private","",3,"2C",104400,"10440","104","40","104-40","",1
"77","Marine Boat","CRAIG","200","B",760,2012,2012-06-14,NA,12,9,1,5,9,"A","01","00112492","01",660,5,NA,"Charter","",3,"2C",104400,"10440","104","40","104-40","",2
"78","Marine Boat","CRAIG","200","B",760,2012,2012-06-14,NA,12,9,1,5,9,"A","01","00112492","02",610,5,NA,"Charter","",3,"2C",104400,"10440","104","40","104-40","",2
"79","Marine Boat","CRAIG","200","B",760,2012,2012-06-14,NA,12,9,1,5,9,"A","01","00112492","03",650,5,NA,"Charter","",3,"2C",104400,"10440","104","40","104-40","",2
"80","Marine Boat","CRAIG","200","B",760,2012,2012-06-14,NA,12,9,1,5,9,"A","01","00112492","04",670,5,NA,"Charter","",3,"2C",104400,"10440","104","40","104-40","",2
"81","Marine Boat","CRAIG","200","B",760,2012,2012-06-14,NA,12,9,1,5,9,"A","01","00112492","05",640,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"82","Marine Boat","CRAIG","200","B",760,2012,2012-06-14,NA,12,9,1,5,9,"A","01","00112492","06",690,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"83","Marine Boat","CRAIG","200","B",760,2012,2012-06-14,NA,12,9,1,5,9,"A","01","00112492","07",720,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"84","Marine Boat","CRAIG","200","B",760,2012,2012-06-14,NA,12,9,1,5,9,"A","01","00112492","08",730,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"85","Marine Boat","CRAIG","200","B",760,2012,2012-06-15,NA,12,9,1,5,11,"D","01","00111575","01",950,1,NA,"Charter","",1,"2C",103600,"10360","103","60","103-60","",2
"86","Marine Boat","CRAIG","200","B",760,2012,2012-06-15,NA,12,9,1,5,11,"D","01","00111575","02",755,5,NA,"Charter","",1,"2C",104400,"10440","104","40","104-40","",2
"87","Marine Boat","CRAIG","200","B",760,2012,2012-06-17,NA,12,9,1,2,11,"D","01","00111556","02",710,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
"88","Marine Boat","CRAIG","200","B",760,2012,2012-06-17,NA,12,9,1,2,11,"D","01","00111556","03",655,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
