"","MB_MR","SITE","SPECCODE","SURVAREA","SHSITE","YEAR","DATE","DAY_TYPE","SHIFT","BIWEEK","WEEK","STATWEEK","HARBOR","SUBHARBOR","HEADVAR2","SAMPTYPE","LITHCODE","LINENO","LENGTH","AREA","SUBAREA","CLASS","CLASSN","INTVNUMB","PHOTO_NUM","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","NOTES2","SAMP_TYPE","R_SLOT","MONTH","LENCM","GROSSWT","NETWT","ROUNDWT","TAGNO","GF_area","LC_area"
"1","Marine Boat","CRAIG","200","B",760,2013,2013-05-12,1,NA,9,4,20,1,6,10,"A","00111264","01",1240,1,NA,1,"Private",2,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,124,48.6538763022908,41.9618965898669,55.809322464523,"","SSEI","SSEOC"
"2","Marine Boat","CRAIG","200","B",760,2013,2013-05-25,1,NA,10,6,21,1,1,9,"C","00111907","01",710,1,NA,1,"Private",4,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,71,7.98929093548086,6.89042324147201,9.16426291115777,"","SSEI","SSEOC"
"3","Marine Boat","CRAIG","200","B",760,2013,2013-05-25,1,NA,10,6,21,1,1,9,"C","00111907","01",920,2,NA,1,"Private",1,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,92,18.497104380677,15.9529649068762,21.2174433261454,"","SSEI","SSEOC"
"4","Marine Boat","CRAIG","200","B",760,2013,2013-06-01,1,NA,11,7,22,1,1,9,"C","00111947","01",730,1,NA,1,"Private",4,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",6,73,8.74172728105141,7.53936755018688,10.0273588417485,"","SSEI","SSEOC"
"5","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,5,9,"A","00111945","01",630,5,NA,1,"Private",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,63,5.42368635597346,4.67769853713618,6.22133905439112,"","SSEO","SSEOC"
"6","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,5,9,"A","00111945","02",610,5,NA,1,"Private",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,61,4.88539689627812,4.21344679894347,5.60388424259482,"","SSEO","SSEOC"
"7","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,5,9,"A","00111945","03",620,5,NA,1,"Private",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,62,5.14968021090387,4.44137990441386,5.90703527287044,"","SSEO","SSEOC"
"8","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,5,9,"A","00111945","04",640,5,NA,1,"Private",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,64,5.70761016092118,4.92257072920152,6.54701906983802,"","SSEO","SSEOC"
"9","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,5,9,"A","00111945","05",810,5,NA,1,"Private",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,81,12.2439810253286,10.5599122758681,14.0446833269046,"","SSEO","SSEOC"
"10","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,5,9,"A","00111945","06",610,5,NA,1,"Private",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,61,4.88539689627812,4.21344679894347,5.60388424259482,"","SSEO","SSEOC"
"11","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,6,9,"A","00111945","07",590,5,NA,1,"Private",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,59,4.3852232138532,3.78206829564632,5.03015083320961,"","SSEO","SSEOC"
"12","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,6,9,"A","00111945","08",640,5,NA,1,"Private",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,64,5.70761016092118,4.92257072920152,6.54701906983802,"","SSEO","SSEOC"
"13","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,6,9,"A","00111945","09",610,5,NA,1,"Private",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,61,4.88539689627812,4.21344679894347,5.60388424259482,"","SSEO","SSEOC"
"14","Marine Boat","CRAIG","200","B",760,2013,2013-06-02,1,NA,11,7,23,1,6,9,"A","00111945","10",720,5,NA,1,"Private",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,72,8.35965732014726,7.20984847775072,9.58909847540845,"","SSEO","SSEOC"
"15","Marine Boat","CRAIG","200","B",760,2013,2013-06-06,1,NA,11,8,23,1,1,9,"C","00111904","01",610,5,NA,2,"Charter",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,61,4.88539689627812,4.21344679894347,5.60388424259482,"","SSEO","SSEOC"
"16","Marine Boat","CRAIG","200","B",760,2013,2013-06-06,1,NA,11,8,23,1,1,9,"C","00111904","02",690,5,NA,2,"Charter",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,69,7.28286468232178,6.2811606783156,8.35394370215975,"","SSEO","SSEOC"
"17","Marine Boat","CRAIG","200","B",760,2013,2013-06-06,1,NA,11,8,23,1,3,9,"C","00111904","03",980,5,NA,1,"Private",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,98,22.6988404372717,19.5767833424166,26.037121845414,"","SSEO","SSEOC"
"18","Marine Boat","CRAIG","200","B",760,2013,2013-06-08,1,NA,11,8,23,1,1,9,"A","00111940","01",700,3,NA,2,"Charter",1,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","LEGAL",6,70,7.6304269041477,6.58091829516383,8.7526213325679,"","SSEI","SSEOC"
"19","Marine Boat","CRAIG","200","B",760,2013,2013-06-08,1,NA,11,8,23,1,1,9,"C","00111940","02",740,3,NA,2,"Charter",1,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","LEGAL",6,74,9.13570271299549,7.87915458445051,10.4792755973192,"","SSEI","SSEOC"
"20","Marine Boat","CRAIG","200","B",760,2013,2013-06-08,1,NA,11,8,23,1,1,9,"C","00111940","03",680,3,NA,2,"Charter",1,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","LEGAL",6,68,6.94640441261685,5.99097802244174,7.96800076984751,"","SSEI","SSEOC"
"21","Marine Boat","CRAIG","200","B",760,2013,2013-06-08,1,NA,11,8,23,1,6,9,"C","00111940","04",910,2,NA,1,"Private",2,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",6,91,17.8535793395215,15.3979519606891,20.4792761077166,"","SSEI","SSEOC"
"22","Marine Boat","CRAIG","200","B",760,2013,2013-06-11,1,NA,12,9,24,1,5,10,"A","00111281","01",920,5,NA,1,"Private",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,92,18.497104380677,15.9529649068762,21.2174433261454,"","SSEO","SSEOC"
"23","Marine Boat","CRAIG","200","B",760,2013,2013-06-11,1,NA,12,9,24,1,5,10,"A","00111281","02",1030,5,NA,1,"Private",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,103,26.6700478433973,23.0017806330211,30.5923682419181,"","SSEO","SSEOC"
"24","Marine Boat","CRAIG","200","B",760,2013,2013-06-14,1,NA,12,9,24,1,3,9,"A","00111934","01",870,5,NA,2,"Charter",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,87,15.4338247731885,13.3110166823064,17.7036521874675,"","SSEO","SSEOC"
"25","Marine Boat","CRAIG","200","B",760,2013,2013-06-14,1,NA,12,9,24,1,3,9,"A","00111934","02",730,5,NA,2,"Charter",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,73,8.74172728105141,7.53936755018688,10.0273588417485,"","SSEO","SSEOC"
"26","Marine Boat","CRAIG","200","B",760,2013,2013-06-14,1,NA,12,9,24,1,3,9,"A","00111934","03",840,5,NA,2,"Charter",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,84,13.7751416551806,11.8804731210747,15.8010292510293,"","SSEO","SSEOC"
"27","Marine Boat","CRAIG","200","B",760,2013,2013-06-14,1,NA,12,9,24,1,3,9,"A","00111934","04",800,5,NA,2,"Charter",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,80,11.7609592329861,10.1433265474259,13.4906243080765,"","SSEO","SSEOC"
"28","Marine Boat","CRAIG","200","B",760,2013,2013-06-14,1,NA,12,9,24,1,1,9,"A","00111934","05",830,5,NA,2,"Charter",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,83,13.2508642867348,11.4283062149386,15.1996472658684,"","SSEO","SSEOC"
"29","Marine Boat","CRAIG","200","B",760,2013,2013-06-14,1,NA,12,9,24,1,1,9,"A","00111934","06",730,5,NA,2,"Charter",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,73,8.74172728105141,7.53936755018688,10.0273588417485,"","SSEO","SSEOC"
"30","Marine Boat","CRAIG","200","B",760,2013,2013-06-15,1,NA,12,9,24,1,5,10,"C","00111286","01",1020,5,NA,1,"Private",8,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,102,25.8401924146095,22.2860656615977,29.6404673299249,"","SSEO","SSEOC"
"31","Marine Boat","CRAIG","200","B",760,2013,2013-06-15,1,NA,12,9,24,1,5,10,"C","00111286","02",1150,5,NA,1,"Private",8,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,115,38.114672238638,32.8722818526814,43.7201348640662,"","SSEO","SSEOC"
"32","Marine Boat","CRAIG","200","B",760,2013,2013-06-15,1,NA,12,9,24,1,5,10,"C","00111286","03",920,5,NA,1,"Private",8,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,92,18.497104380677,15.9529649068762,21.2174433261454,"","SSEO","SSEOC"
"33","Marine Boat","CRAIG","200","B",760,2013,2013-06-15,1,NA,12,9,24,1,5,10,"C","00111286","04",980,5,NA,1,"Private",8,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,98,22.6988404372717,19.5767833424166,26.037121845414,"","SSEO","SSEOC"
"34","Marine Boat","CRAIG","200","B",760,2013,2013-06-15,1,NA,12,9,24,1,5,10,"C","00111286","05",1010,5,NA,1,"Private",8,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,101,25.0283625747782,21.5858969931053,28.7092430008301,"","SSEO","SSEOC"
"35","Marine Boat","CRAIG","200","B",760,2013,2013-06-16,1,NA,12,9,25,1,3,10,"C","00111287","01",1090,5,NA,1,"Private",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,109,32.0400392956013,27.633169602028,36.7521155706973,"","SSEO","SSEOC"
"36","Marine Boat","CRAIG","200","B",760,2013,2013-06-16,1,NA,12,9,25,1,3,10,"C","00111287","02",1060,5,NA,1,"Private",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,106,29.2699641281956,25.2440977221506,33.5746499704604,"","SSEO","SSEOC"
"37","Marine Boat","CRAIG","200","B",760,2013,2013-06-16,1,NA,12,9,25,1,2,10,"C","00111287","03",1020,6,NA,2,"Charter",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","LEGAL",6,102,25.8401924146095,22.2860656615977,29.6404673299249,"","SSEO","SSEOC"
"38","Marine Boat","CRAIG","200","B",760,2013,2013-06-16,1,NA,12,9,25,1,2,10,"C","00111287","04",1010,6,NA,2,"Charter",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","LEGAL",6,101,25.0283625747782,21.5858969931053,28.7092430008301,"","SSEO","SSEOC"
"39","Marine Boat","CRAIG","200","B",760,2013,2013-06-16,1,NA,12,9,25,1,2,10,"C","00111287","05",1110,6,NA,2,"Charter",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","LEGAL",6,111,33.9842459384742,29.3099650456363,38.9822535106963,"","SSEO","SSEOC"
"40","Marine Boat","CRAIG","200","B",760,2013,2013-06-16,1,NA,12,9,25,1,2,10,"C","00111287","06",820,6,NA,2,"Charter",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","LEGAL",6,82,12.7405468281241,10.9881791366113,14.614278251693,"","SSEO","SSEOC"
"41","Marine Boat","CRAIG","200","B",760,2013,2013-06-20,1,NA,12,10,25,1,2,9,"A","00111926","01",820,6,NA,2,"Charter",2,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","LEGAL",6,82,12.7405468281241,10.9881791366113,14.614278251693,"","SSEO","SSEOC"
"42","Marine Boat","CRAIG","200","B",760,2013,2013-06-20,1,NA,12,10,25,1,2,9,"A","00111926","02",710,6,NA,2,"Charter",2,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","LEGAL",6,71,7.98929093548086,6.89042324147201,9.16426291115777,"","SSEO","SSEOC"
"43","Marine Boat","CRAIG","200","B",760,2013,2013-06-20,1,NA,12,10,25,1,2,9,"A","00111926","03",790,6,NA,2,"Charter",2,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","LEGAL",6,79,11.2912744200948,9.7382433958611,12.9518637164953,"","SSEO","SSEOC"
"44","Marine Boat","CRAIG","200","B",760,2013,2013-06-20,1,NA,12,10,25,1,2,9,"A","00111926","04",1030,5,NA,2,"Charter",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,103,26.6700478433973,23.0017806330211,30.5923682419181,"","SSEO","SSEOC"
"45","Marine Boat","CRAIG","200","B",760,2013,2013-06-20,1,NA,12,10,25,1,2,9,"A","00111926","05",790,5,NA,2,"Charter",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,79,11.2912744200948,9.7382433958611,12.9518637164953,"","SSEO","SSEOC"
"46","Marine Boat","CRAIG","200","B",760,2013,2013-06-20,1,NA,12,10,25,1,2,9,"A","00111926","06",700,5,NA,2,"Charter",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,70,7.6304269041477,6.58091829516383,8.7526213325679,"","SSEO","SSEOC"
"47","Marine Boat","CRAIG","200","B",760,2013,2013-06-20,1,NA,12,10,25,1,1,9,"A","00111926","07",720,5,NA,2,"Charter",5,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,72,8.35965732014726,7.20984847775072,9.58909847540845,"","SSEO","SSEOC"
"48","Marine Boat","CRAIG","200","B",760,2013,2013-06-25,1,NA,13,11,26,1,2,10,"C","00111304","01",750,5,NA,2,"Charter",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,75,9.54178617567186,8.22938427965115,10.945081091936,"","SSEO","SSEOC"
"49","Marine Boat","CRAIG","200","B",760,2013,2013-06-25,1,NA,13,11,26,1,2,10,"C","00111304","02",740,5,NA,2,"Charter",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,74,9.13570271299549,7.87915458445051,10.4792755973192,"","SSEO","SSEOC"
"50","Marine Boat","CRAIG","200","B",760,2013,2013-06-25,1,NA,13,11,26,1,2,10,"C","00111304","03",880,5,NA,2,"Charter",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,88,16.0160363013939,13.8131493343522,18.3714886146885,"","SSEO","SSEOC"
"51","Marine Boat","CRAIG","200","B",760,2013,2013-06-25,1,NA,13,11,26,1,2,10,"C","00111304","04",770,5,NA,2,"Charter",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,77,10.39109071556,8.96187328124,11.9192914640492,"","SSEO","SSEOC"
"52","Marine Boat","CRAIG","200","B",760,2013,2013-06-25,1,NA,13,11,26,1,2,10,"C","00111304","05",780,5,NA,2,"Charter",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,78,10.8347201758416,9.34448480063655,12.4281647848466,"","SSEO","SSEOC"
"53","Marine Boat","CRAIG","200","B",760,2013,2013-06-25,1,NA,13,11,26,1,2,10,"C","00111304","06",790,5,NA,2,"Charter",10,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,79,11.2912744200948,9.7382433958611,12.9518637164953,"","SSEO","SSEOC"
"54","Marine Boat","CRAIG","200","B",760,2013,2013-06-25,1,NA,13,11,26,1,2,10,"C","00111304","07",780,5,NA,2,"Charter",10,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,78,10.8347201758416,9.34448480063655,12.4281647848466,"","SSEO","SSEOC"
"55","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,3,10,"A","00111306","01",830,5,NA,2,"Charter",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,83,13.2508642867348,11.4283062149386,15.1996472658684,"","SSEO","SSEOC"
"56","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,3,10,"A","00111306","02",700,5,NA,2,"Charter",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,70,7.6304269041477,6.58091829516383,8.7526213325679,"","SSEO","SSEOC"
"57","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,3,10,"A","00111306","03",790,5,NA,2,"Charter",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,79,11.2912744200948,9.7382433958611,12.9518637164953,"","SSEO","SSEOC"
"58","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","04",650,5,NA,2,"Charter",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,65,6.00164719885555,5.17616515408831,6.88429965493745,"","SSEO","SSEOC"
"59","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","05",670,5,NA,2,"Charter",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,67,6.62084693163495,5.71019855759206,7.59456408159744,"","SSEO","SSEOC"
"60","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","06",830,5,NA,2,"Charter",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,83,13.2508642867348,11.4283062149386,15.1996472658684,"","SSEO","SSEOC"
"61","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","07",1090,5,NA,2,"Charter",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,109,32.0400392956013,27.633169602028,36.7521155706973,"","SSEO","SSEOC"
"62","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","08",730,5,NA,2,"Charter",7,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,73,8.74172728105141,7.53936755018688,10.0273588417485,"","SSEO","SSEOC"
"63","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","09",800,5,NA,2,"Charter",7,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,80,11.7609592329861,10.1433265474259,13.4906243080765,"","SSEO","SSEOC"
"64","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","10",860,5,NA,2,"Charter",7,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,86,14.8664121475711,12.8216474535934,17.0527911132793,"","SSEO","SSEOC"
"65","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","11",800,5,NA,2,"Charter",8,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,80,11.7609592329861,10.1433265474259,13.4906243080765,"","SSEO","SSEOC"
"66","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","12",730,5,NA,2,"Charter",8,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,73,8.74172728105141,7.53936755018688,10.0273588417485,"","SSEO","SSEOC"
"67","Marine Boat","CRAIG","200","B",760,2013,2013-06-26,1,NA,13,11,26,1,2,10,"A","00111306","13",680,5,NA,2,"Charter",8,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",6,68,6.94640441261685,5.99097802244174,7.96800076984751,"","SSEO","SSEOC"
"68","Marine Boat","CRAIG","200","B",760,2013,2013-07-02,1,NA,13,12,27,1,3,10,"A","00111320","01",900,5,NA,2,"Charter",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",7,90,17.2257015058852,14.8564340647168,19.7590573060733,"","SSEO","SSEOC"
"69","Marine Boat","CRAIG","200","B",760,2013,2013-07-02,1,NA,13,12,27,1,3,10,"A","00111320","02",850,5,NA,2,"Charter",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",7,85,14.3135877905572,12.344859985371,16.4186637805435,"","SSEO","SSEOC"
"70","Marine Boat","CRAIG","200","B",760,2013,2013-07-02,1,NA,13,12,27,1,3,10,"A","00111320","03",830,5,NA,2,"Charter",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",7,83,13.2508642867348,11.4283062149386,15.1996472658684,"","SSEO","SSEOC"
"71","Marine Boat","CRAIG","200","B",760,2013,2013-07-02,1,NA,13,12,27,1,5,10,"A","00111320","04",1020,5,NA,1,"Private",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",7,102,25.8401924146095,22.2860656615977,29.6404673299249,"","SSEO","SSEOC"
"72","Marine Boat","CRAIG","200","B",760,2013,2013-07-02,1,NA,13,12,27,1,5,10,"A","00111320","05",930,5,NA,1,"Private",2,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",7,93,19.1564901234037,16.5216570328072,21.9738038536336,"","SSEO","SSEOC"
