"","MB_MR","SITE","SPECCODE","SURVAREA","SHSITE","YEAR","DATE","DAY_TYPE","SHIFT","BIWEEK","WEEK","STATWEEK","HARBOR","SUBHARBOR","HEADVAR2","SAMPTYPE","LITHCODE","LINENO","LENGTH","LENGTH_TYPE","LEN_VER","AREA","SUBAREA","CLASS","CLASSN","GAF","INTVNUMB","PHOTO_NUM","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","NOTES2","SAMP_TYPE","R_SLOT","MONTH","LENCM","GROSSWT","NETWT","ROUNDWT","TAGNUM","GF_area","LC_area"
"1","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-10,1,NA,9,4,19,1,1,9,"C","00117782","01",930,"STF","",2,NA,1,"Private","SF",4,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,93,19.1564901234037,16.5216570328072,21.9738038536336,NA,"SSEI","SSEOC"
"2","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-10,1,NA,9,4,19,1,1,9,"C","00117782","02",890,"STF","",2,NA,1,"Private","SF",4,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,89,16.6132579480539,14.3282275744224,19.0565426739818,NA,"SSEI","SSEOC"
"3","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-10,1,NA,9,4,19,1,1,9,"C","00117782","03",720,"STF","",2,NA,1,"Private","SF",4,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,72,8.35965732014726,7.20984847775072,9.58909847540845,NA,"SSEI","SSEOC"
"4","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-10,1,NA,9,4,19,1,1,9,"C","00117782","04",700,"STF","",2,NA,1,"Private","SF",4,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,70,7.6304269041477,6.58091829516383,8.7526213325679,NA,"SSEI","SSEOC"
"5","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-11,1,NA,9,4,20,1,1,9,"C","00117780","01",1160,"STF","",2,NA,1,"Private","SF",1,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,116,39.1990075712535,33.8074749051989,44.9639416239146,NA,"SSEI","SSEOC"
"6","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-15,1,NA,10,5,20,2,7,9,"A","00117779","01",700,"STF","",82,NA,1,"Private","SF",1,"","2C",345537,"34553","345","53","345-53","","Creel Sampler","N_A",5,70,7.6304269041477,6.58091829516383,8.7526213325679,NA,"SSEO","SSEOC"
"7","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-15,1,NA,10,5,20,2,7,9,"A","00117779","02",710,"STF","",82,NA,1,"Private","SF",1,"","2C",345537,"34553","345","53","345-53","","Creel Sampler","N_A",5,71,7.98929093548086,6.89042324147201,9.16426291115777,NA,"SSEO","SSEOC"
"8","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-15,1,NA,10,5,20,2,7,9,"A","00117779","03",860,"STF","",82,NA,1,"Private","SF",1,"","2C",345537,"34553","345","53","345-53","","Creel Sampler","N_A",5,86,14.8664121475711,12.8216474535934,17.0527911132793,NA,"SSEO","SSEOC"
"9","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-17,1,NA,10,5,20,1,1,9,"C","00117776","01",910,"STF","",6,NA,1,"Private","SF",2,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,91,17.8535793395215,15.3979519606891,20.4792761077166,NA,"SSEO","SSEOC"
"10","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-17,1,NA,10,5,20,2,7,11,"C","00118135","01",680,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,68,6.94640441261685,5.99097802244174,7.96800076984751,NA,"SSEO","SSEOC"
"11","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-18,1,NA,10,5,21,1,6,9,"A","00117774","01",760,"STF","",6,NA,1,"Private","SF",3,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,76,9.96018088682265,8.5902319024382,11.4250084302428,NA,"SSEO","SSEOC"
"12","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-21,1,NA,10,6,21,2,10,10,"A","00118197","01",920,"STF","",2,NA,1,"Private","SF",2,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,92,18.497104380677,15.9529649068762,21.2174433261454,NA,"SSEI","SSEOC"
"13","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-24,1,NA,10,6,21,1,1,9,"A","00117772","01",660,"STF","",6,NA,1,"Private","SF",3,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,66,6.3059937777102,5.43865111903038,7.2334059883104,NA,"SSEO","SSEOC"
"14","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-24,1,NA,10,6,21,2,8,11,"A","00118133","01",920,"STF","",1,NA,1,"Private","SF",1,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,92,18.497104380677,15.9529649068762,21.2174433261454,NA,"SSEI","SSEOC"
"15","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-24,1,NA,10,6,21,2,8,11,"A","00118133","02",870,"STF","",1,NA,1,"Private","SF",3,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,87,15.4338247731885,13.3110166823064,17.7036521874675,NA,"SSEI","SSEOC"
"16","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-24,1,NA,10,6,21,2,8,11,"A","00118133","03",680,"STF","",1,NA,1,"Private","SF",3,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,68,6.94640441261685,5.99097802244174,7.96800076984751,NA,"SSEI","SSEOC"
"17","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-24,1,NA,10,6,21,2,7,11,"A","00118133","04",650,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,65,6.00164719885555,5.17616515408831,6.88429965493745,NA,"SSEO","SSEOC"
"18","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-25,1,NA,10,6,22,1,1,12,"D","00111463","01",1700,"STF","",5,NA,1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Catch Sampler","N_A",5,170,135.233937115003,116.633512392786,155.122571482405,NA,"SSEO","SSEOC"
"19","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-25,1,NA,10,6,22,1,1,12,"D","00111463","02",640,"STF","",5,NA,1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Catch Sampler","N_A",5,64,5.70761016092118,4.92257072920152,6.54701906983802,NA,"SSEO","SSEOC"
"20","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-25,1,NA,10,6,22,1,1,12,"D","00111463","03",750,"STF","",5,NA,1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Catch Sampler","N_A",5,75,9.54178617567186,8.22938427965115,10.945081091936,NA,"SSEO","SSEOC"
"21","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-26,1,NA,11,7,22,2,8,10,"C","00118195","01",1290,"STF","",1,NA,1,"Private","SF",7,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,129,55.3021286394419,47.6957311427726,63.4353224198875,NA,"SSEI","SSEOC"
"22","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-26,1,NA,11,7,22,1,6,12,"D","00111446","01",790,"STF","",1,NA,1,"Private","SF",2,"","2C",103600,"10360","103","60","103-60","","Catch Sampler","N_A",5,79,11.2912744200948,9.7382433958611,12.9518637164953,NA,"SSEI","SSEOC"
"23","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-26,1,NA,11,7,22,1,6,12,"D","00111446","02",740,"STF","",1,NA,1,"Private","SF",2,"","2C",103600,"10360","103","60","103-60","","Catch Sampler","N_A",5,74,9.13570271299549,7.87915458445051,10.4792755973192,NA,"SSEI","SSEOC"
"24","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-26,1,NA,11,7,22,1,6,12,"D","00111446","03",530,"STF","",1,NA,1,"Private","SF",2,"","2C",103600,"10360","103","60","103-60","","Catch Sampler","N_A",5,53,3.09802561482112,2.67191517638158,3.5536471845875,NA,"SSEI","SSEOC"
"25","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-26,1,NA,11,7,22,1,6,12,"D","00111446","04",660,"STF","",1,NA,1,"Private","SF",2,"","2C",103600,"10360","103","60","103-60","","Catch Sampler","N_A",5,66,6.3059937777102,5.43865111903038,7.2334059883104,NA,"SSEI","SSEOC"
