"","MB_MR","SITE","SURVAREA","SHSITE","YEAR","DATE","DAY_TYPE","SHIFT","BIWEEK","WEEK","STATWEEK","HARBOR","SUBHARBOR","HEADVAR2","techid","SAMPTYPE","SPECCODE","SPECIESCODE","SPEC_GROUP","LITHCODE","LINENO","LENGTH","lEGAL_LENGTH","LENGTH_TYPE","AREA","SUBAREA","THA","CLASS","CLASSN","GAF","INTVNUMB","PHOTO_NUM","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","NOTES2","SAMP_TYPE","R_SLOT","MONTH","LENCM","GROSSWT","NETWT","ROUNDWT","ORIGIN","GF_area","LC_area","ATARGET","BIOSAMPLEID","N_AWL_SAMP"
"1","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-08,1,NA,9,4,20,1,6,9,"AH","C","200","HA","Halibut","00101583","01",1370,NA,"STF",2,NA,"",1,"Private","SF",2,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,137,67.2056559503097,57.962016586709,77.089482060323,"dta","SSEI","SSEOC","",NA,NA
"2","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-08,1,NA,9,4,20,1,6,9,"AH","C","200","HA","Halibut","00101583","02",730,NA,"STF",2,NA,"",1,"Private","SF",3,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,73,8.74172728105141,7.53936755018688,10.0273588417485,"dta","SSEI","SSEOC","",NA,NA
"3","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-12,1,NA,10,5,20,2,8,9,"AH","C","200","HA","Halibut","00110502","01",720,NA,"STF",3,NA,"",1,"Private","SF",1,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,72,8.35965732014726,7.20984847775072,9.58909847540845,"dta","SSEI","SSEOC","",NA,NA
"4","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-14,1,NA,10,5,20,1,6,9,"AH","C","200","HA","Halibut","00110504","01",970,NA,"STF",6,NA,"",1,"Private","SF",4,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,97,21.9569294148405,18.9369166767327,25.1860991800545,"dta","SSEO","SSEOC","",NA,NA
"5","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-14,1,NA,10,5,20,1,6,9,"AH","C","200","HA","Halibut","00110504","02",780,NA,"STF",2,NA,"",1,"Private","SF",7,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,78,10.8347201758416,9.34448480063655,12.4281647848466,"dta","SSEI","SSEOC","",NA,NA
"6","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-14,1,NA,10,5,20,2,8,12,"MW","C","200","HA","Halibut","00126846","01",1800,NA,"STF",3,NA,"",1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,180,162.747416531409,140.362716843538,186.682413401905,"dta","SSEI","SSEOC","",NA,NA
"7","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-14,1,NA,10,5,20,2,8,12,"MW","C","200","HA","Halibut","00126846","02",990,NA,"STF",3,NA,"",1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,99,23.4579046802108,20.2314439303907,26.9078204274196,"dta","SSEI","SSEOC","",NA,NA
"8","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-14,1,NA,10,5,20,2,8,12,"MW","C","200","HA","Halibut","00126846","03",1245,NA,"STF",3,NA,"",1,"Private","SF",3,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,124.5,49.2923910688513,42.5125883875572,56.5417425554511,"dta","SSEI","SSEOC","",NA,NA
"9","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-14,1,NA,10,5,20,2,7,12,"MW","C","200","HA","Halibut","00126846","04",650,NA,"STF",6,NA,"",1,"Private","SF",4,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,65,6.00164719885555,5.17616515408831,6.88429965493745,"dta","SSEO","SSEOC","",NA,NA
"10","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-14,1,NA,10,5,20,2,7,12,"MW","C","200","HA","Halibut","00126846","05",690,NA,"STF",6,NA,"",1,"Private","SF",4,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,69,7.28286468232178,6.2811606783156,8.35394370215975,"dta","SSEO","SSEOC","",NA,NA
