"","MB_MR","shiftId","InterviewId","TArgetId","TargetSpeciesID","BioSampleId","SITE","SURVAREA","SHSITE","YEAR","DATE","DAY_TYPE","HARVEST_CODE","BIWEEK","WEEK","STATWEEK","HARBOR","SUBHARBOR","SUBHARBOR_NAME","HEADVAR2","techid","SAMPTYPE","SPECCODE","SPECIESCODE","SPEC_GROUP","LENGTH","LENGTH_TYPE","AREA","CLASS","CLASSN","GAF","INTVNUMB","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","GF_area","LC_area","SAMP_TYPE","R_SLOT","MONTH","LENCM","GROSSWT","NETWT","ROUNDWT","Bio_Comment","Kept","N_AWL_SAMP","DELTINTV","MISS_NC","SAMPLER","ATARGET","BoatId","CFECNUM"
"1","Marine Boat",1051,8142,10381,20041,10221,"CRAIG_KLAWOCK","B",760,2017,2017-05-13,1,"MB",10,4,19,2,8,"Boat Ramp",30,"MW","C","200","HA","Halibut",1420,"STF",3,1,"Private","SF",4,"2C",103700,"10370","103","70","103-70","SSEI","SSEOC","Creel Sampler","N_A",5,142,75.482351718627,65.1003142585754,86.5834179639053,"",1,1,"","N",30,"BF","",NA
"2","Marine Boat",1081,8237,10493,20236,10321,"CRAIG_KLAWOCK","B",760,2017,2017-05-14,1,"MB",10,4,20,1,6,"False Island",24,"AH","C","200","HA","Halibut",890,"STF",4,1,"Private","SF",1,"2C",103800,"10380","103","80","103-80","SSEI","SSEOC","Creel Sampler","N_A",5,89,16.6132579480539,14.3282275744224,19.0565426739818,"incidental catch",2,2,"","N",24,"BF","",NA
"3","Marine Boat",1081,8237,10493,20236,10320,"CRAIG_KLAWOCK","B",760,2017,2017-05-14,1,"MB",10,4,20,1,6,"False Island",24,"AH","C","200","HA","Halibut",760,"STF",4,1,"Private","SF",1,"2C",103800,"10380","103","80","103-80","SSEI","SSEOC","Creel Sampler","N_A",5,76,9.96018088682264,8.5902319024382,11.4250084302428,"incidental catch",2,2,"","N",24,"BF","",NA
"4","Marine Boat",1081,8238,10494,20237,10322,"CRAIG_KLAWOCK","B",760,2017,2017-05-14,1,"MB",10,4,20,1,6,"False Island",24,"AH","C","200","HA","Halibut",670,"STF",3,1,"Private","SF",2,"2C",103700,"10370","103","70","103-70","SSEI","SSEOC","Creel Sampler","N_A",5,67,6.62084693163495,5.71019855759205,7.59456408159743,"",1,1,"","N",24,"BF","",NA
"5","Marine Boat",1102,8294,10556,20336,10390,"CRAIG_KLAWOCK","B",760,2017,2017-05-15,1,"MB",10,5,20,1,3,"Catch A King",25,"JK","C","200","HA","Halibut",820,"STF",7,1,"Private","SF",2,"2C",104300,"10430","104","30","104-30","SSEO","SSEOC","Creel Sampler","N_A",5,82,12.7405468281241,10.9881791366113,14.614278251693,"",1,1,"","N",25,"SA","",NA
"6","Marine Boat",1114,8351,10623,20428,10445,"CRAIG_KLAWOCK","B",760,2017,2017-05-16,1,"MB",10,5,20,1,3,"Catch A King",25,"JK","C","200","HA","Halibut",720,"STF",7,1,"Private","SF",5,"2C",104300,"10430","104","30","104-30","SSEO","SSEOC","Creel Sampler","N_A",5,72,8.35965732014726,7.20984847775071,9.58909847540845,"",2,2,"","N",25,"BF","",NA
"7","Marine Boat",1114,8351,10623,20428,10444,"CRAIG_KLAWOCK","B",760,2017,2017-05-16,1,"MB",10,5,20,1,3,"Catch A King",25,"JK","C","200","HA","Halibut",680,"STF",7,1,"Private","SF",5,"2C",104300,"10430","104","30","104-30","SSEO","SSEOC","Creel Sampler","N_A",5,68,6.94640441261684,5.99097802244173,7.96800076984751,"",2,2,"","N",25,"BF","",NA
"8","Marine Boat",1124,8375,10652,20478,10485,"CRAIG_KLAWOCK","B",760,2017,2017-05-18,1,"MB",10,5,20,1,6,"False Island",25,"JK","C","200","HA","Halibut",1170,"STF",5,1,"Private","SF",4,"2C",104400,"10440","104","40","104-40","SSEO","SSEOC","Creel Sampler","N_A",5,117,40.3044852375254,34.7609023202377,46.2320000859161,"",1,1,"","N",25,"SA","",NA
"9","Marine Boat",1129,8392,10676,20519,10502,"CRAIG_KLAWOCK","B",760,2017,2017-05-18,1,"MB",10,5,20,2,7,"City Dock",24,"AH","C","200","HA","Halibut",830,"STF",2,1,"Private","SF",2,"2C",103500,"10350","103","50","103-50","SSEI","SSEOC","Creel Sampler","N_A",5,83,13.2508642867348,11.4283062149386,15.1996472658684,"",1,1,"","N",24,"BF","",NA
"10","Marine Boat",1220,8704,11037,21122,10764,"CRAIG_KLAWOCK","B",760,2017,2017-05-23,1,"MB",11,6,21,1,1,"Public Harbors",25,"JK","C","200","HA","Halibut",720,"STF",6,2,"Charter","SF",4,"2C",104350,"10435","104","35","104-35","SSEO","SSEOC","Creel Sampler","LEGAL",5,72,8.35965732014726,7.20984847775071,9.58909847540845,"",2,2,"","N",25,"BF","AK5021AD / WAVE DANCER",171384
