"","YEAR","LENGTH","user","swhs","U45","O68","O45U68","Rinches","netwt"
"1",2014,122.5,"Charter","D",NA,NA,1,48,40.3394317957418
"2",2014,116,"Charter","D",NA,NA,1,46,33.8074749051989
"3",2014,139,"Charter","D",NA,NA,1,55,60.7486739038316
"4",2014,166.5,"Charter","D",NA,NA,1,66,109.031247168548
"5",2014,127.5,"Charter","D",NA,NA,1,50,45.9221114126336
"6",2014,133,"Charter","D",NA,NA,1,52,52.6560364976213
"7",2014,130.5,"Charter","D",NA,NA,1,51,49.5161542394703
"8",2014,152,"Charter","D",NA,NA,1,60,81.1600066940588
"9",2014,123.5,"Charter","D",NA,NA,1,49,41.4161563853004
"10",2014,129.5,"Charter","D",NA,NA,1,51,48.2973051346225
"11",2014,147.5,"Charter","D",NA,NA,1,58,73.630032989312
"12",2014,135,"Charter","D",NA,NA,1,53,55.2650107917659
"13",2014,157,"Charter","D",NA,NA,1,62,90.1329785442892
"14",2014,127.5,"Charter","D",NA,NA,1,50,45.9221114126336
"15",2014,143.5,"Charter","D",NA,NA,1,56,67.35487100128
"16",2014,151,"Charter","D",NA,NA,1,59,79.4427297196038
"17",2014,130.5,"Charter","D",NA,NA,1,51,49.5161542394703
"18",2014,120.5,"Charter","D",NA,NA,1,47,38.2443145263649
"19",2014,123,"Charter","D",NA,NA,1,48,40.8753430279002
"20",2014,115,"Charter","D",NA,NA,1,45,32.8722818526814
"21",2014,142,"Charter","D",NA,NA,1,56,65.1003142585754
"22",2014,128.5,"Charter","D",NA,NA,1,51,47.0993575094845
"23",2014,137,"Charter","D",NA,NA,1,54,57.962016586709
"24",2014,127,"Charter","D",NA,NA,1,50,45.3411890544574
"25",2014,123,"Charter","D",NA,NA,1,48,40.8753430279002
"26",2014,147,"Charter","D",NA,NA,1,58,72.8244165439534
"27",2014,141,"Charter","D",NA,NA,1,56,63.6266084507889
"28",2014,122,"Charter","D",NA,NA,1,48,39.8083979910079
"29",2014,115.5,"Charter","D",NA,NA,1,45,33.3376112628821
"30",2014,154,"Charter","D",NA,NA,1,61,84.6712526224466
"31",2014,134.5,"Charter","D",NA,NA,1,53,54.6045774212666
"32",2014,158,"Charter","D",NA,NA,1,62,92.0063518858124
"33",2014,122,"Charter","D",NA,NA,1,48,39.8083979910079
"34",2014,119,"Charter","D",NA,NA,1,47,36.7232411172277
"35",2014,129,"Charter","D",NA,NA,1,51,47.6957311427726
"36",2014,155,"Charter","D",NA,NA,1,61,86.4656381949801
"37",2014,115,"Charter","D",NA,NA,1,45,32.8722818526814
"38",2014,127,"Charter","D",NA,NA,1,50,45.3411890544574
"39",2014,124,"Charter","D",NA,NA,1,49,41.9618965898669
"40",2014,130,"Charter","D",NA,NA,1,51,48.9041044906044
"41",2014,135,"Charter","D",NA,NA,1,53,55.2650107917659
"42",2014,117.5,"Charter","D",NA,NA,1,46,35.2445148729183
"43",2014,145,"Charter","D",NA,NA,1,57,69.6628401239782
"44",2014,121,"Charter","D",NA,NA,1,48,38.7608639935307
"45",2014,143,"Charter","D",NA,NA,1,56,66.5974515592137
"46",2014,118,"Charter","D",NA,NA,1,46,35.7327592174688
"47",2014,130,"Charter","D",NA,NA,1,51,48.9041044906044
"48",2014,163,"Charter","D",NA,NA,1,64,101.778650339857
"49",2014,144,"Charter","D",NA,NA,1,57,68.1182251379398
"50",2014,116,"Charter","D",NA,NA,1,46,33.8074749051989
"51",2014,115,"Charter","D",NA,NA,1,45,32.8722818526814
"52",2014,132,"Charter","D",NA,NA,1,52,51.384056477203
"53",2014,119,"Charter","D",NA,NA,1,47,36.7232411172277
"54",2014,118,"Charter","D",NA,NA,1,46,35.7327592174688
"55",2014,130,"Charter","D",NA,NA,1,51,48.9041044906044
"56",2014,116,"Charter","D",NA,NA,1,46,33.8074749051989
"57",2014,129,"Charter","D",NA,NA,1,51,47.6957311427726
