"","species","PORT","YEAR","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"1","Black","CI",1996,0.35,0.00385593220338983,0.2,0.0114285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"2","Copper","CI",1996,0.0333333333333333,0.000546139359698682,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3","DrkDsky","CI",1996,0.216666666666667,0.00287664783427495,0.733333333333333,0.013968253968254,NA,NA,NA,NA,NA,NA,NA,NA
"4","Yelloweye","CI",1996,0.4,0.00406779661016949,0.0666666666666667,0.00444444444444444,NA,NA,NA,NA,NA,NA,NA,NA
"5","Black","CI",1997,0.33879781420765,0.00123084535876796,0.472222222222222,0.00712081128747795,NA,NA,NA,NA,NA,NA,NA,NA
"6","China","CI",1997,0.0163934426229508,8.8597239900653e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"7","DrkDsky","CI",1997,0.0382513661202186,0.000202132962143712,0.444444444444444,0.00705467372134039,NA,NA,NA,NA,NA,NA,NA,NA
"8","Quillback","CI",1997,0.0218579234972678,0.000117473377349755,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"9","Yelloweye","CI",1997,0.584699453551913,0.00133420880531872,0.0833333333333333,0.00218253968253968,NA,NA,NA,NA,NA,NA,NA,NA
"10","Black","CI",1998,0.555555555555556,0.00251952632905014,0.666666666666667,0.00694444444444444,NA,NA,NA,NA,NA,NA,NA,NA
"11","China","CI",1998,0.0202020202020202,0.000201978556956912,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"12","DrkDsky","CI",1998,0.0707070707070707,0.000670485518970367,0.333333333333333,0.00694444444444444,NA,NA,NA,NA,NA,NA,NA,NA
"13","Quillback","CI",1998,0.0101010101010101,0.000102030405060708,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"14","Shortraker","CI",1998,0.0404040404040404,0.000395628101255807,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"15","Yelloweye","CI",1998,0.303030303030303,0.0021551320252619,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"16","Black","CI",1999,0.51528384279476,0.0010954666848659,0.606060606060606,0.00367309458218549,NA,NA,NA,NA,NA,NA,NA,NA
"17","China","CI",1999,0,0,0.0151515151515152,0.000229568411386593,NA,NA,NA,NA,NA,NA,NA,NA
"18","DrkDsky","CI",1999,0.205240174672489,0.000715423883214453,0.303030303030303,0.0032492759765487,NA,NA,NA,NA,NA,NA,NA,NA
"19","Quillback","CI",1999,0.00873362445414847,3.79708256931683e-05,0.0151515151515152,0.000229568411386593,NA,NA,NA,NA,NA,NA,NA,NA
"20","Tiger","CI",1999,0.00436681222707424,1.9069049026525e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"21","Yelloweye","CI",1999,0.266375545851528,0.000857103572034336,0.0606060606060606,0.000875891784982694,NA,NA,NA,NA,NA,NA,NA,NA
"22","Black","CI",2000,0.223809523809524,0.000831190530438651,0.658536585365854,0.00562165377751339,NA,NA,NA,NA,NA,NA,NA,NA
"23","China","CI",2000,0.00952380952380952,4.51344812247068e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"24","DrkDsky","CI",2000,0.157142857142857,0.000633727175080559,0.341463414634146,0.00562165377751338,NA,NA,NA,NA,NA,NA,NA,NA
"25","Quillback","CI",2000,0.0428571428571429,0.000196269895518016,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"26","Tiger","CI",2000,0.0142857142857143,6.73762327897666e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"27","Yelloweye","CI",2000,0.552380952380952,0.00118304419056299,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"28","Black","CI",2001,0.259541984732824,0.00147830725302901,0.476190476190476,0.00402311462219296,NA,NA,NA,NA,NA,NA,NA,NA
"29","China","CI",2001,0.0229007633587786,0.000172125526125876,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"30","DrkDsky","CI",2001,0.183206106870229,0.00115108945596679,0.507936507936508,0.00403124212648022,NA,NA,NA,NA,NA,NA,NA,NA
"31","Quillback","CI",2001,0.0152671755725191,0.000115646837865823,0.0158730158730159,0.000251952632905014,NA,NA,NA,NA,NA,NA,NA,NA
"32","Tiger","CI",2001,0.00763358778625954,5.82716624905309e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33","Yelloweye","CI",2001,0.511450381679389,0.00192206837507228,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"34","Black","CI",2002,0.534883720930233,0.00145487208195358,0.369565217391304,0.00517748372190716,NA,NA,NA,NA,NA,NA,NA,NA
"35","China","CI",2002,0.00581395348837209,3.3802055164954e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"36","DrkDsky","CI",2002,0.162790697674419,0.000797016879678916,0.58695652173913,0.0053875236294896,NA,NA,NA,NA,NA,NA,NA,NA
"37","Quillback","CI",2002,0.0232558139534884,0.000132836146613153,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"38","Tiger","CI",2002,0.00581395348837209,3.3802055164954e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"39","Yelloweye","CI",2002,0.267441860465116,0.00114571176453844,0.0434782608695652,0.000924175593362739,NA,NA,NA,NA,NA,NA,NA,NA
"40","Black","CI",2003,0.4025,0.000602741228070175,0.615384615384615,0.00262984878369494,NA,NA,NA,NA,NA,NA,NA,NA
"41","China","CI",2003,0.0025,6.25e-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"42","DrkDsky","CI",2003,0.285,0.000510714285714286,0.252747252747253,0.00209851198862188,NA,NA,NA,NA,NA,NA,NA,NA
"43","Quillback","CI",2003,0.0175,4.30921052631579e-05,0.021978021978022,0.000238833205866173,NA,NA,NA,NA,NA,NA,NA,NA
"44","Silvergray","CI",2003,0.0025,6.25e-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"45","Tiger","CI",2003,0.0025,6.25e-06,0.010989010989011,0.000120758362516604,NA,NA,NA,NA,NA,NA,NA,NA
"46","Yelloweye","CI",2003,0.2875,0.000513392857142857,0.0989010989010989,0.000990218572636155,NA,NA,NA,NA,NA,NA,NA,NA
"47","Black","CI",2004,0.515695067264574,0.00112501650839442,0.21875,0.00551285282258065,NA,NA,NA,NA,NA,NA,NA,NA
"48","China","CI",2004,0.00448430493273543,2.01089907297553e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"49","Copper","CI",2004,0.00896860986547085,4.00368193808641e-05,0.0625,0.00189012096774194,NA,NA,NA,NA,NA,NA,NA,NA
"50","Dark","CI",2004,0.125560538116592,0.000494572474704792,0.28125,0.00652091733870968,NA,NA,NA,NA,NA,NA,NA,NA
"51","DrkDsky","CI",2004,0.00448430493273543,2.01089907297553e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"52","Dusky","CI",2004,0.0403587443946188,0.000174459081736525,0.40625,0.00778099798387097,NA,NA,NA,NA,NA,NA,NA,NA
"53","Quillback","CI",2004,0.00448430493273543,2.01089907297553e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"54","Tiger","CI",2004,0.0179372197309417,7.93489904471424e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"55","Yelloweye","CI",2004,0.278026905829596,0.000904179934524402,0.03125,0.0009765625,NA,NA,NA,NA,NA,NA,NA,NA
"56","Black","CI",2005,0.415789473684211,0.00128523062041068,0.720930232558139,0.00479023410337634,NA,NA,NA,NA,NA,NA,NA,NA
"57","Copper","CI",2005,0.0105263157894737,5.51085315628252e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"58","Dark","CI",2005,0.131578947368421,0.000604581629512377,0.13953488372093,0.0028586880939504,NA,NA,NA,NA,NA,NA,NA,NA
"59","DrkDsky","CI",2005,0.00526315789473684,2.77008310249307e-05,0.0232558139534884,0.000540832882639264,NA,NA,NA,NA,NA,NA,NA,NA
"60","Dusky","CI",2005,0.1,0.000476190476190476,0.0930232558139535,0.00200880784980298,NA,NA,NA,NA,NA,NA,NA,NA
"61","Quillback","CI",2005,0.0315789473684211,0.00016180802884404,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"62","Tiger","CI",2005,0.00526315789473684,2.77008310249307e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"63","Yelloweye","CI",2005,0.3,0.00111111111111111,0.0232558139534884,0.000540832882639264,NA,NA,NA,NA,NA,NA,NA,NA
"64","Black","CI",2006,0.456852791878173,0.00126601182873108,0.25,0.00694444444444444,NA,NA,NA,NA,NA,NA,NA,NA
"65","China","CI",2006,0.0050761421319797,2.57672189440594e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"66","Copper","CI",2006,0.0101522842639594,5.12715070825671e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"67","Dark","CI",2006,0.131979695431472,0.000584495180741265,0.285714285714286,0.00755857898715042,NA,NA,NA,NA,NA,NA,NA,NA
"68","Dusky","CI",2006,0.065989847715736,0.000314465243439745,0.214285714285714,0.00623582766439909,NA,NA,NA,NA,NA,NA,NA,NA
"69","Quillback","CI",2006,0.0050761421319797,2.57672189440594e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"70","Tiger","CI",2006,0.0050761421319797,2.57672189440594e-05,0.0714285714285714,0.00245653817082389,NA,NA,NA,NA,NA,NA,NA,NA
"71","Yelloweye","CI",2006,0.319796954314721,0.00110983093023341,0.178571428571429,0.00543272864701436,NA,NA,NA,NA,NA,NA,NA,NA
"72","Black","CI",2007,0.716363636363636,0.000741557579779212,0.578947368421053,0.00435298773248912,NA,NA,NA,NA,NA,NA,NA,NA
"73","Copper","CI",2007,0.0218181818181818,7.78910538698196e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"74","Dark","CI",2007,0.112727272727273,0.000365035893104904,0.087719298245614,0.00142901112430198,NA,NA,NA,NA,NA,NA,NA,NA
"75","Dusky","CI",2007,0.0254545454545455,9.05350787235326e-05,0.157894736842105,0.00237435694499406,NA,NA,NA,NA,NA,NA,NA,NA
