"","YEAR","SPECIES","Abbrev","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"1",1996,"Black","BLK",0.71264367816092,0.000471849461147915,0.603864734299517,0.00116122386878102,11998.0689655172,605.083135203316,13402.7777777778,932.514820372591,26555.3378995434,1037.99154852791,0.680365296803653,0.0157650013713535
"2",1996,"China","CHI",0.0206896551724138,4.66856989429963e-05,0,0,348.331034482759,115.791924869974,0,0,401.003424657534,133.587453460645,0.0102739726027397,0.00340896600824488
"3",1996,"Copper","COP",0.00459770114942529,1.05450744091379e-05,0.0821256038647343,0.000365927131332947,77.4068965517241,54.7162009059678,1822.77777777778,430.678208700865,1247.56621004566,235.289163298069,0.0319634703196347,0.00594660113099533
"4",1996,"DuskyDrk","DUSDRK",0.0390804597701149,8.65280586043119e-05,0.14975845410628,0.000618110968592123,657.958620689655,158.701945805305,3323.88888888889,567.754567980086,2940.69178082192,360.202316884666,0.0753424657534247,0.00892290654808454
"5",1996,"Northern","NOR",0.00229885057471264,5.28471396485665e-06,0.00483091787439614,2.33377675091601e-05,38.7034482758621,38.7034482758621,107.222222222222,107.222222222222,89.1118721461187,63.0068753745999,0.00228310502283105,0.00161347626633951
"6",1996,"Quill","QUI",0.0275862068965517,6.1809235220305e-05,0.0869565217391304,0.00038541303430176,464.441379310345,133.566857159057,1930,442.42005359777,2049.57305936073,301.169774860292,0.0525114155251142,0.00754066816021445
"7",1996,"Shortrkr","SRAK",0,0,0.00483091787439614,2.33377675091601e-05,0,0,107.222222222222,107.222222222222,44.5559360730594,44.5559360730594,0.00114155251141553,0.00114155251141553
"8",1996,"Silvergr","SGRY",0,0,0.00966183574879227,4.64489547512409e-05,0,0,214.444444444444,151.393477856764,89.1118721461187,63.0068753745999,0.00228310502283105,0.00161347626633951
"9",1996,"Tiger","TIG",0.00229885057471264,5.28471396485665e-06,0,0,38.7034482758621,38.7034482758621,0,0,89.1118721461187,63.0068753745999,0.00228310502283105,0.00161347626633951
"10",1996,"Yelleye","YEYE",0.190804597701149,0.000355756228565097,0.0531400966183575,0.000244253527911403,3212.38620689655,342.564262360453,1179.44444444444,349.907550186144,5480.3801369863,489.599500373887,0.14041095890411,0.0117446995472724
"11",1996,"Yelltail","YTAL",0,0,0.00483091787439614,2.33377675091601e-05,0,0,107.222222222222,107.222222222222,44.5559360730594,44.5559360730594,0.00114155251141553,0.00114155251141553
"12",1997,"Black","BLK",0.492254733218589,0.000430931053176698,0.57556270096463,0.000788033155557838,6970.32702237522,439.100108447281,15033.1221864952,920.472555988918,21771.3946615825,906.645658655759,0.540514775977121,0.0153942636079184
"13",1997,"Canary","CAN",0.00172117039586919,2.96242753161651e-06,0,0,24.3717728055077,24.3717728055077,0,0,76.7950428979981,54.3014944524757,0.00190657769304099,0.00134751065884743
"14",1997,"China","CHI",0.0206540447504303,3.48749227342716e-05,0,0,292.461273666093,84.645926063008,0,0,537.565300285987,143.642812224105,0.0133460438512869,0.00354468839337297
"15",1997,"Copper","COP",0.00344234079173838,5.91463979588261e-06,0.0610932475884244,0.000185035040927496,48.7435456110155,34.4750524558589,1595.69453376206,359.937851214141,844.745471877979,180.044532657339,0.0209723546234509,0.00442629579131931
"16",1997,"DuskyDrk","DUSDRK",0.0550774526678141,8.9730908405929e-05,0.0996784565916399,0.000289492457687576,779.896729776248,138.875939794547,2603.50160771704,454.457035315686,2879.81410867493,332.169052379618,0.0714966634890372,0.00795891709082094
"17",1997,"Quill","QUI",0.0154905335628227,2.62940981599341e-05,0.0353697749196141,0.00011006049658629,219.34595524957,73.2536974901944,923.823151125402,275.957634367867,1075.13060057197,203.099634710488,0.0266920877025739,0.00497892698178384
"18",1997,"Silvergr","SGRY",0.00688468158347676,1.17884185223636e-05,0.00643086816720257,2.06113293607053e-05,97.487091222031,48.7781608257121,167.967845659164,118.661416418663,230.385128693994,94.0473966378206,0.00571973307912297,0.00232949428803817
"19",1997,"Tiger","TIG",0.00344234079173838,5.91463979588261e-06,0,0,48.7435456110155,34.4750524558589,0,0,115.192564346997,66.5044956302785,0.00285986653956149,0.00164956844429723
"20",1997,"Yelleye","YEYE",0.401032702237522,0.000414147368919988,0.221864951768489,0.000556906112726629,5678.62306368331,391.924318219469,5794.89067524116,652.322651610059,12747.9771210677,696.211199203273,0.316491897044805,0.0143672116687718
"21",1998,"Black","BLK",0.565610859728507,0.000371140808286535,0.662011173184358,0.000626757366284112,7345.02262443439,394.563929374509,16779.3351955307,896.935822834653,24229.2567164179,904.760633287788,0.632089552238806,0.0131786243231624
"22",1998,"Canary","CAN",0.00904977375565611,1.35466395024585e-05,0,0,117.52036199095,48.0038194147158,0,0,171.635820895522,70.1075104627379,0.00447761194029851,0.00182456127530886
"23",1998,"China","CHI",0.00603318250377074,9.05858491336395e-06,0,0,78.3469079939668,39.1863556685458,0,0,257.453731343284,85.8913441721982,0.00671641791044776,0.00223210795672398
"24",1998,"Copper","COP",0.00150829562594268,2.27495569523784e-06,0.0139664804469274,3.85754001984677e-05,19.5867269984917,19.5867269984917,353.994413407821,157.877455337056,257.453731343284,85.8913441721982,0.00671641791044776,0.00223210795672398
"25",1998,"DuskyDrk","DUSDRK",0.0588235294117647,8.36303954672326e-05,0.111731843575419,0.000278005150438815,763.882352941176,122.828377068295,2831.95530726257,435.665082779959,2688.96119402985,280.091622087587,0.0701492537313433,0.00697955704389334
"26",1998,"Quill","QUI",0.0346907993966818,5.05851175738685e-05,0.0195530726256983,5.36995797663655e-05,450.494720965309,94.1612789601236,495.59217877095,186.546038919153,1144.23880597015,181.673502596699,0.0298507462686567,0.00465057427499818
"27",1998,"Shortrkr","SRAK",0.00603318250377074,9.05858491336395e-06,0,0,78.3469079939668,39.1863556685458,0,0,114.423880597015,57.2303036371568,0.00298507462686567,0.00149086437737924
"28",1998,"Silvergr","SGRY",0.00452488687782805,6.80424815191981e-06,0.0195530726256983,5.36995797663655e-05,58.7601809954751,33.9326555077012,495.59217877095,186.546038919153,486.301492537313,118.147200236964,0.0126865671641791,0.00305850571198866
"29",1998,"Tiger","TIG",0,0,0,0,0,0,0,0,57.2119402985075,40.4592796933763,0.00149253731343284,0.00105498908807287
