"","species","SFmgmtarea","YEAR","n","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"1","Black","CI",1996,75,0.35,0.00385593220338983,0.2,0.0114285714285714,775.6,219.6390428693,595.8,333.567101837953,1371.4,399.384927834181,0.263984600577478,0.067673067320964
"2","Copper","CI",1996,75,0.0333333333333333,0.000546139359698682,0,0,73.8666666666667,53.1173759789122,0,0,73.8666666666667,53.1173759789122,0.0142188001283285,0.0102615337195621
"3","DrkDsky","CI",1996,75,0.216666666666667,0.00287664783427495,0.733333333333333,0.013968253968254,480.133333333333,158.149835030425,2184.6,551.768945776952,2664.73333333333,573.986358586997,0.512941931344241,0.0808711219415317
"4","Yelloweye","CI",1996,75,0.4,0.00406779661016949,0.0666666666666667,0.00444444444444444,886.4,241.851622813714,198.6,198.6,1085,312.944352014263,0.208854667949952,0.0528597453656133
"5","Black","CI",1997,205,0.26219512195122,0.00118680269924052,0.472222222222222,0.00712081128747795,528.060975609756,143.211706311717,1169.69444444444,334.110334450193,1697.7554200542,363.509708826509,0.378035052338945,0.0519409193443373
"6","China","CI",1997,205,0.0182926829268293,0.000110172151399802,0,0,36.8414634146341,22.3388671202347,0,0,36.8414634146341,22.3388671202347,0.0082033986672532,0.00493754117150682
"7","DrkDsky","CI",1997,205,0.0426829268292683,0.000250681561880709,0.444444444444444,0.00705467372134039,85.9634146341463,37.1729681266897,1100.88888888889,321.295833066162,1186.85230352304,323.439085308234,0.264273503345143,0.0571718056878359
"8","Quillback","CI",1997,205,0.024390243902439,0.000145983803097046,0,0,49.1219512195122,26.3899451871254,0,0,49.1219512195122,26.3899451871254,0.0109378648896709,0.00577148991342177
"9","Yelloweye","CI",1997,205,0.652439024390244,0.00139118002357638,0.0833333333333333,0.00218253968253968,1314.01219512195,322.822867019334,206.416666666667,122.023386874994,1520.42886178862,345.114923489302,0.338550180758989,0.055632806395118
"10","Black","CI",1998,132,0.555555555555556,0.00251952632905014,0.666666666666667,0.00694444444444444,1000,207.193836091438,1470.66666666667,321.628872995638,2470.66666666667,382.58909767364,0.616741554335164,0.0516308353570227
