"","YEAR","MONTH","DAY","SUBL","LITHO","LINE","HOUR","NUMDAYS","ADFGSTAT","INTLOC","ANGLDAYS","WHOLEHRS","FRACHRS","LOGBOOK","PROXY","ZEROCATCH","HACAS","HAKEPT","HAREL","RFKEPT","RFREL","PELKEPT","PELREL","NPKEPT","NPREL","LCKEPT","LCREL","PSSKEPT","PSSREL","SDFKEPT","SDFREL","SSKKEPT","SSKREL","CODKEPT","CODREL","PORT","SUBLOC","TRFKEPT","TRFREL","USER","TARGET","BOATHRS","HALCPUE","HALHPUE","HALCPHR","HALHPHR"
"1",2005,6,12,NA,23390,1,16,1,525733,2,4,5,0,NA,NA,NA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"Kodiak","",0,0,"Private","H",5,1,1,0.2,0.2
"2",2005,6,13,NA,23393,1,15,1,525733,1,1,1,0,NA,NA,NA,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",8,2,"Private","R",1,NA,NA,NA,NA
"3",2005,6,13,NA,23393,2,15,1,525733,1,4,6,0,50206,NA,NA,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,2,"Charter","B+S",6,2,2,0.333333333333333,0.333333333333333
"4",2005,6,13,NA,23393,3,16,1,525733,1,3,6,0,50216,NA,NA,0,6,7,0,0,30,3,0,0,0,1,0,0,0,0,0,0,0,0,"Kodiak","",30,3,"Charter","H",6,4.33333333333333,2,0.722222222222222,0.333333333333333
"5",2005,6,13,NA,23393,4,18,1,525732,2,2,4,0,NA,NA,NA,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",4,3,2,0.75,0.5
"6",2005,6,13,NA,23393,5,18,1,525733,2,1,1,50,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",1.5,0,0,0,0
"7",2005,6,13,NA,23393,6,19,1,525733,3,5,5,0,NA,NA,NA,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,4,"Private","H",5,1.4,0.6,0.28,0.12
"8",2005,6,13,NA,23393,7,20,1,525732,1,3,4,50,NA,NA,NA,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",4.5,1,0.666666666666667,0.222222222222222,0.148148148148148
"9",2005,6,13,NA,23393,8,21,1,525733,2,4,3,0,NA,NA,NA,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",3,7,2,2.33333333333333,0.666666666666667
"10",2005,6,14,NA,23389,1,15,1,525733,3,3,3,0,NA,NA,NA,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",3,2,0,0.666666666666667,0
"11",2005,6,14,NA,23389,2,15,1,525733,3,2,3,0,NA,NA,NA,0,2,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",2,1,"Private","S",3,NA,NA,NA,NA
"12",2005,6,14,NA,23389,3,16,1,525733,1,8,7,0,50216,NA,NA,0,16,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",20,0,"Charter","H",7,2.625,2,0.375,0.285714285714286
"13",2005,6,14,NA,23389,4,17,1,525732,2,6,8,0,50243,NA,NA,0,12,12,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",2,1,"Charter","B+S",8,4,2,0.5,0.25
"14",2005,6,14,NA,23389,6,17,1,525732,2,4,7,0,NA,NA,NA,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",2,0,"Private","H",7,1,1,0.142857142857143,0.142857142857143
"15",2005,6,14,NA,23389,7,17,1,525732,2,4,3,0,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"Kodiak","",0,0,"Private","H",3,0.25,0.25,0.0833333333333333,0.0833333333333333
"16",2005,6,14,NA,23389,8,18,1,525732,3,5,4,0,NA,NA,NA,0,10,15,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",6,4,"Private","B+S",4,5,2,1.25,0.5
"17",2005,6,14,NA,23389,9,19,1,525733,1,2,1,0,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",1,1,1,1,1
"18",2005,6,14,NA,23388,1,19,1,525733,1,1,4,0,NA,NA,NA,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",4,3,2,0.75,0.5
"19",2005,6,14,NA,23388,2,20,1,525733,2,2,2,0,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",2,1,0.5,0.5,0.25
"20",2005,6,14,NA,23388,3,20,1,525733,2,1,2,0,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","B+S",2,1,1,0.5,0.5
"21",2005,6,15,NA,23386,1,16,1,525733,2,5,4,0,NA,NA,NA,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",4,4.4,1.4,1.1,0.35
"22",2005,6,15,NA,23386,2,16,1,525733,2,4,5,0,NA,NA,NA,0,8,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,"Kodiak","",3,3,"Private","B+S",5,2.75,2,0.55,0.4
"23",2005,6,15,NA,23386,3,17,1,525733,2,4,6,0,NA,NA,NA,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,"Kodiak","",1,4,"Private","S",6,NA,NA,NA,NA
"24",2005,6,15,NA,23386,4,19,1,525733,2,5,8,0,NA,NA,NA,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",8,2.6,2,0.325,0.25
"25",2005,6,15,NA,23386,5,19,1,525733,2,1,3,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",3,0,0,0,0
"26",2005,6,16,NA,23384,1,16,1,525733,2,4,4,0,NA,NA,NA,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",4,1.75,1.75,0.4375,0.4375
"27",2005,6,16,NA,23384,2,16,1,525733,2,3,3,0,NA,NA,NA,0,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,1,"Private","H",3,4,2,1.33333333333333,0.666666666666667
"28",2005,6,16,NA,23384,3,17,1,525733,2,4,5,0,50239,NA,NA,0,8,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,5,"Charter","B+S",5,2.75,2,0.55,0.4
"29",2005,6,16,NA,23384,4,17,1,525732,2,4,7,0,NA,NA,NA,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",7,3,1.75,0.428571428571429,0.25
"30",2005,6,16,NA,23384,5,19,1,525733,2,3,3,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,1,"Private","S",3,NA,NA,NA,NA
"31",2005,6,16,NA,23384,6,19,1,525733,2,1,3,0,NA,NA,NA,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,2,"Private","H",3,1,1,0.333333333333333,0.333333333333333
"32",2005,6,16,NA,23384,7,19,1,525733,2,3,5,0,NA,NA,NA,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",5,2.33333333333333,1.66666666666667,0.466666666666667,0.333333333333333
"33",2005,6,19,NA,23383,1,15,1,525733,2,3,5,0,NA,NA,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",5,2,1,0.4,0.2
"34",2005,6,19,NA,23383,2,15,1,525733,2,6,7,0,NA,NA,NA,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",7,2.66666666666667,1.66666666666667,0.380952380952381,0.238095238095238
"35",2005,6,19,NA,23383,3,16,1,525733,2,4,6,0,50201,NA,NA,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","H",6,3.25,2,0.541666666666667,0.333333333333333
"36",2005,6,19,NA,23383,4,16,1,525733,2,5,7,0,50250,NA,NA,4,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","B+S",7,4.8,0.8,0.685714285714286,0.114285714285714
"37",2005,6,19,NA,23383,5,16,1,525732,3,3,4,0,NA,NA,NA,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,1,"Private","H",4,2,1.33333333333333,0.5,0.333333333333333
"38",2005,6,19,NA,23383,6,16,1,525733,3,2,8,0,NA,NA,NA,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",1,0,"Private","H",8,1.5,1.5,0.1875,0.1875
"39",2005,6,19,NA,23383,7,16,1,525701,1,8,7,0,50246,NA,NA,0,16,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",3,0,"Charter","H",7,4,2,0.571428571428571,0.285714285714286
