"","YEAR","MONTH","DAY","SUBL","LITHO","LINE","HOUR","NUMDAYS","ADFGSTAT","INTLOC","ANGLDAYS","WHOLEHRS","FRACHRS","LOGBOOK","PROXY","ZEROCATCH","PORT","SUBLOC","USER","TARGET","BOATHRS","RESBAY","HACAS","HAKEPT","HAVER","HAREL","RFKEPT","RFREL","PELKEPT","PELVER","PELREL","NPKEPT","NPVER","NPREL","LCKEPT","LCVER","LCREL","PSSKEPT","PSSREL","SDFKEPT","SDFREL","SSKKEPT","SSKVER","SSKREL","CODKEPT","CODREL","TRFKEPT","TRFREL","HALCPUE","HALHPUE","HALCPHR","HALHPHR"
"1",2006,5,26,2,23274,1,15,1,525931,NA,5,4,0,61205,NA,NA,"CCI","AnchorPt","Charter","B+S",4,"",0,10,"N",13,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,4.6,2,1.15,0.5
"2",2006,5,26,2,23274,4,16,1,525931,NA,6,7,0,61208,NA,NA,"CCI","AnchorPt","Charter","B+S",7,"",0,12,"N",45,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,9.5,2,1.35714285714286,0.285714285714286
"3",2006,5,26,2,23274,5,16,1,525931,NA,6,3,0,61204,NA,NA,"CCI","AnchorPt","Charter","B+S",3,"",0,12,"N",25,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,5,0,0,0,6.16666666666667,2,2.05555555555556,0.666666666666667
"4",2006,5,26,2,23274,9,17,1,525931,NA,7,4,0,60082,NA,NA,"CCI","AnchorPt","Charter","B+S",4,"",0,13,"N",21,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,4.85714285714286,1.85714285714286,1.21428571428571,0.464285714285714
"5",2006,5,26,2,23279,1,17,1,515938,NA,5,8,0,NA,NA,NA,"CCI","AnchorPt","Charter","B+S",8,"",0,10,"Y",14,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,4.8,2,0.6,0.25
"6",2006,5,28,1,23282,1,11,1,525931,2,6,2,0,60942,NA,NA,"CCI","DeepCr","Charter","B+S",2,"",0,12,"N",20,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,5.33333333333333,2,2.66666666666667,1
"7",2006,5,28,1,23282,2,12,1,525931,1,7,3,0,60084,NA,NA,"CCI","DeepCr","Charter","B+S",3,"",0,10,"Y",2,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,1.71428571428571,1.42857142857143,0.571428571428571,0.476190476190476
"8",2006,5,28,1,23282,6,13,1,525931,1,8,2,0,60910,NA,NA,"CCI","DeepCr","Charter","H",2,"",0,14,"N",12,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,2,0,0,0,3.25,1.75,1.625,0.875
"9",2006,5,28,1,23282,7,13,1,525931,2,5,8,0,60092,NA,NA,"CCI","DeepCr","Charter","B+S",8,"",0,10,"N",10,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,4,2,0.5,0.25
"10",2006,5,28,1,23282,8,13,1,525931,1,6,2,0,60913,NA,NA,"CCI","DeepCr","Charter","H",2,"",0,12,"N",15,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,4.5,2,2.25,1
"11",2006,5,29,2,23270,5,13,1,525931,NA,6,1,50,61204,NA,NA,"CCI","AnchorPt","Charter","B+S",1.5,"",0,12,"N",4,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,2.66666666666667,2,1.77777777777778,1.33333333333333
"12",2006,5,29,2,23270,6,14,1,525931,NA,6,2,0,61205,NA,NA,"CCI","AnchorPt","Charter","B+S",2,"",0,12,"N",10,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,3.66666666666667,2,1.83333333333333,1
"13",2006,5,29,2,23270,7,14,1,525931,NA,5,6,0,61089,NA,NA,"CCI","AnchorPt","Charter","B+S",6,"",0,10,"Y",82,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,18.4,2,3.06666666666667,0.333333333333333
"14",2006,5,29,2,23270,8,14,1,515939,NA,4,8,0,61157,NA,NA,"CCI","AnchorPt","Charter","B+S",8,"",0,4,"Y",3,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,1.75,1,0.21875,0.125
"15",2006,5,29,2,23270,9,14,1,525931,NA,7,3,0,61208,NA,NA,"CCI","AnchorPt","Charter","B+S",3,"",0,12,"N",15,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,3.85714285714286,1.71428571428571,1.28571428571429,0.571428571428571
"16",2006,5,29,2,23269,1,14,1,515939,NA,4,2,0,61210,NA,NA,"CCI","AnchorPt","Charter","B+S",2,"",0,0,"",2,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,0.5,0,0.25,0
"17",2006,5,29,2,23269,2,15,1,525931,NA,7,4,0,60109,NA,NA,"CCI","AnchorPt","Charter","B+S",4,"",0,14,"N",10,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,3.42857142857143,2,0.857142857142857,0.5
"18",2006,5,29,2,23269,3,15,1,516002,NA,6,4,0,60085,NA,NA,"CCI","AnchorPt","Charter","H",4,"",0,12,"N",5,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,2.83333333333333,2,0.708333333333333,0.5
"19",2006,5,29,2,23269,4,15,1,525931,NA,4,3,50,60097,NA,NA,"CCI","AnchorPt","Charter","B+S",3.5,"",0,6,"Y",8,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,3.5,1.5,1,0.428571428571429
"20",2006,5,29,2,23269,5,15,1,525931,NA,6,4,0,61176,NA,NA,"CCI","AnchorPt","Charter","B+S",4,"",0,8,"N",2,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,1.66666666666667,1.33333333333333,0.416666666666667,0.333333333333333
"21",2006,6,2,1,23268,7,11,1,525931,1,7,2,50,60913,NA,NA,"CCI","DeepCr","Charter","H",2.5,"",0,13,"N",15,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,2,0,0,0,4,1.85714285714286,1.6,0.742857142857143
"22",2006,6,2,1,23268,8,11,1,525931,1,5,2,50,60878,NA,NA,"CCI","DeepCr","Charter","B+S",2.5,"",0,10,"N",6,0,0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,3.2,2,1.28,0.8
