"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PELREL","PELDEPTH","NPKEPT","NPVER","NPREL","NPDEPTH","LCKEPT","LCVER","LCRELOVR","LCRELUND","CODKEPT","CODREL","SSKKEPT","SSKREL","SDFKEPT","SDFREL","PSSKEPT","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL"
"1","CCI","",NA,12,1,1,"B+S",515937,NA,3,0,2,2,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,1,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",3,0,0,NA,0
"2","CCI","",NA,12,1,1,"S",515937,NA,3,0,5,1,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,1,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",3,0,0,NA,0
"3","CCI","",NA,12,1,1,"B",515937,NA,4,0,3.5,6,"N",0,6,1,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",4,7,0,NA,0
"4","CCI","",NA,13,1,1,"B",525931,NA,3,0,4,0,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",3,0,0,NA,0
"5","CCI","",NA,13,1,1,"B",525931,NA,5,0,4,10,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",5,0,0,NA,0
"6","CCI","MARLY RAE",91810,13,1,1,"B+S",525931,NA,5,0,6,10,"N",0,8,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,5,24,"Charter","AnchorPt","",5,8,0,NA,0
"7","CCI","",NA,13,1,1,"B",515937,NA,3,0,2.5,0,"N",0,1,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",3,1,0,NA,0
"8","CCI","SPARE CHANGE",91457,13,1,1,"B+S",525931,NA,4,0,7,8,"N",0,11,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,5,0,0,0,0,0,0,0,2009,5,24,"Charter","AnchorPt","",4,11,0,NA,0
"9","CCI","",NA,13,1,1,"B+S",515937,NA,3,0,5,1,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,0,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",3,0,0,NA,0
"10","CCI","",NA,14,1,1,"B",515937,NA,2,0,7,3,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",2,0,0,NA,0
"11","CCI","",NA,14,1,1,"B+S",525931,NA,3,0,7,5,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",3,0,0,NA,0
"12","CCI","CATCHER II",91737,14,1,1,"B+S",525931,NA,6,0,4,12,"N",0,9,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,2,1,0,0,0,0,0,0,2009,5,24,"Charter","AnchorPt","",6,9,0,NA,0
"13","CCI","",NA,14,1,1,"B",525931,NA,4,0,6,6,"N",0,3,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",4,3,0,NA,0
"14","CCI","INDEPENDENCE",91882,14,1,1,"B+S",525931,NA,5,0,4,10,"N",0,7,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,24,"Charter","AnchorPt","",5,7,0,NA,0
"15","CCI","",NA,14,1,1,"B+S",515937,NA,5,0,1.5,0,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",5,0,0,NA,0
"16","CCI","LUCKY T",90059,14,1,1,"B",525931,NA,3,0,4,6,"N",0,4,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,5,4,0,0,0,0,0,0,2009,5,24,"Charter","AnchorPt","",3,4,0,NA,0
"17","CCI","",NA,15,1,1,"S",515937,NA,2,0,8,0,"N",0,2,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",2,2,0,NA,0
"18","CCI","",NA,15,1,1,"B+S",525931,NA,3,0,2,6,"N",0,1,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,24,"Private","AnchorPt","",3,1,0,NA,0
