"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","P_KPT_CAS","PELREL","PELDEPTH","NPKEPT","NPVER","NPCAS","NPREL","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","PCAS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL","TRFCAS"
"1","CCI","",NA,12,1,1,"B+S",525931,NA,2,0,2,1,"N",0,6,0,0,"N",NA,0,0,0,"N",0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,2010,5,23,"Private","AnchorPt","",2,6,0,0,0,0
"2","CCI","",NA,13,1,1,"H",525931,NA,3,0,5,6,"N",0,8,0,0,"N",NA,0,0,0,"",NA,NA,0,0,"",NA,0,0,0,"",NA,12,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,5,23,"Private","AnchorPt","",3,8,0,0,0,NA
"3","CCI","",NA,13,1,1,"B+S",515937,NA,4,0,1.5,8,"N",0,5,0,0,"",NA,0,0,0,"",NA,NA,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,5,23,"Private","AnchorPt","",4,5,0,0,0,NA
"4","CCI","",NA,13,1,1,"B+S",515937,NA,5,0,6,10,"N",0,4,0,0,"",NA,0,0,0,"",NA,NA,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,5,23,"Private","AnchorPt","",5,4,0,0,0,NA
"5","CCI","",NA,14,1,1,"B+S",515939,NA,2,0,8,0,"N",0,4,0,0,"",NA,0,0,0,"",NA,NA,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,5,23,"Private","AnchorPt","",2,4,0,0,0,NA
"6","CCI","",NA,14,1,1,"B+S",525931,NA,4,0,1,8,"N",0,1,0,0,"",NA,0,0,0,"",NA,NA,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,5,23,"Private","AnchorPt","",4,1,0,0,0,NA
"7","CCI","",NA,14,1,1,"H",525931,NA,2,0,3,4,"N",0,14,0,0,"",NA,0,0,0,"",NA,NA,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,5,23,"Private","AnchorPt","",2,14,0,0,0,NA
"8","CCI","SPARE CHANGE",101995,15,1,1,"B+S",525931,NA,5,0,4,10,"N",0,23,0,0,"",NA,0,0,0,"",NA,NA,0,0,"",NA,0,0,6,"",0,2,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,5,23,"Charter","AnchorPt","",5,23,0,0,0,NA
"9","CCI","",NA,15,1,1,"B+S",525931,NA,3,0,3,6,"N",0,2,0,0,"",NA,0,0,0,"",NA,NA,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,5,23,"Private","AnchorPt","",3,2,0,0,0,NA
"10","CCI","",NA,15,1,1,"H",515939,NA,3,0,3,6,"N",0,2,0,0,"",NA,0,0,0,"",NA,NA,0,0,"",NA,0,0,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,5,23,"Private","AnchorPt","",3,2,0,0,0,NA
