PORT,BOATNAME,LOGBOOK,HOUR,TRIP1OR2,NUMDAYS,TARGET,ADFGSTAT,INTLOC,CLIENTDAYS,CREWDAYS,BOATHRS,HAKEPT,HAVER,HACAS,HARELCIR,HARELOTH,PELKEPT,PELVER,P_KPT_CAS,PELREL,HOWPREL,PELDEPTH,YEKEPT,YEVER,YECAS,YEREL,HOWYEREL,YEDEPTH,NPKEPT,NPVER,NPCAS,NPREL,HOWNPREL,NPDEPTH,LCKEPT,LCVER,LCCAS,LCRELOVR,LCRELUND,CODKEPT,CODVER,CODCAS,CODREL,SABKEPT,SABVER,SABCAS,SABREL,POLKEPT,POLVER,POLCAS,POLREL,SSKKEPT,SSKVER,SSKCAS,SSKREL,SDFKEPT,SDFVER,SDFCAS,SDFREL,PSSKEPT,PSSVER,PSSCAS,PSSREL,PCAS,YEAR,MONTH,DAY,USER,SUBLOC,RESBAY,ANGLDAYS,HAREL,LCREL,TRFKEPT,TRFREL,TRFCAS
CCI,,NA,15,1,1,H,515938,NA,2,0,3,4,N,0,0,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,1,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,2,0,0,0,0,0
CCI,,NA,15,1,1,B+S,525931,NA,5,0,3,10,N,0,6,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,3,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,5,6,0,0,0,0
CCI,AK2972K,113585,15,1,1,H,525931,NA,4,1,4,10,N,0,8,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,2,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,5,8,0,0,0,0
CCI,ARCTIC EXPLORERS,113622,15,1,1,B+S,525931,NA,5,1,2,12,N,0,29,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,6,29,0,0,0,0
CCI,SUE D,113612,15,1,1,B+S,515939,NA,2,0,2,4,N,0,2,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,2,2,0,0,0,0
CCI,,NA,15,1,1,H,525931,NA,3,0,5,0,N,0,0,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,3,0,0,0,0,0
CCI,,NA,15,1,1,H,515938,NA,4,0,2.5,8,N,0,2,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,4,N,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,4,2,0,0,0,0
CCI,,NA,15,1,1,B+S,515938,NA,7,0,3,14,N,0,40,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,1,N,NA,12,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,7,40,0,0,0,0
CCI,ARCTIC EXPEDITION,113624,15,1,1,B+S,525931,NA,5,1,4,11,N,0,16,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,4,N,NA,4,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,6,16,0,0,0,0
CCI,,NA,15,1,1,B+S,525931,NA,4,0,2.5,8,N,0,3,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,3,N,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,4,3,0,0,0,0
