"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","P_KPT_CAS","PELREL","PRELMETH","PELDEPTH","YEKEPT","YEVER","YECAS","YEREL","YERELMETH","YEDEPTH","NPKEPT","NPVER","NPCAS","NPREL","NPRELMETH","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","PCAS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL","TRFCAS"
"1","CCI","SHAY LYNN",122188,16,1,1,"B+S",515938,NA,5,0,4,10,"N",0,8,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,10,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",5,8,0,0,0,0
"2","CCI","KYRA KAY",122032,16,1,1,"B+S",515939,NA,4,0,3.5,8,"N",0,12,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",4,12,0,0,0,0
"3","CCI","WOLVERINE",122052,16,1,1,"B+S",525931,NA,5,1,6,11,"N",11,38,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,7,"N",7,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",6,38,0,0,0,0
"4","CCI","HURRICANE JANE",122144,16,1,1,"B+S",525931,NA,4,0,4,8,"N",8,8,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,12,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",4,8,0,0,0,0
"5","CCI","BENITA",121782,17,1,1,"B+S",515938,NA,3,2,4,12,"N",0,7,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,5,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",5,7,0,0,0,0
"6","CCI","",NA,17,1,1,"H",515938,NA,3,0,2.5,6,"N",0,4,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Private","DeepCr","",3,4,0,0,0,0
"7","CCI","",NA,17,1,1,"B+S",525931,NA,3,0,3,6,"N",6,6,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Private","DeepCr","",3,6,0,0,0,0
"8","CCI","CALLIE ANN",123231,17,1,1,"B+S",525931,NA,6,2,3.5,16,"N",0,19,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,15,"N",0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",8,19,0,0,0,0
"9","CCI","",NA,17,1,1,"H",525931,NA,4,0,5,8,"N",8,10,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",1,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Private","DeepCr","",4,10,0,0,0,0
"10","CCI","",NA,17,1,1,"B+S",515938,NA,4,0,3,8,"N",0,10,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,4,"N",0,6,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Private","DeepCr","",4,10,0,0,0,0
"11","CCI","",NA,17,1,1,"B+S",525931,NA,4,0,3,8,"N",0,4,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,2,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Private","DeepCr","",4,4,0,0,0,0
"12","CCI","CATCHER II",123217,17,1,1,"B+S",525931,NA,4,2,4,12,"N",0,10,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",6,10,0,0,0,0
"13","CCI","",NA,17,1,1,"H",525931,NA,3,0,5.5,6,"N",0,1,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Private","DeepCr","",3,1,0,0,0,0
"14","CCI","DISCOVER",123208,17,1,1,"H",515938,NA,4,2,3,12,"N",2,24,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,4,"N",4,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",6,24,0,0,0,0
"15","CCI","",NA,17,1,1,"B+S",515938,NA,2,0,3,4,"N",4,2,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Private","DeepCr","",2,2,0,0,0,0
"16","CCI","",NA,17,1,1,"B+S",515938,NA,3,0,4,6,"N",0,6,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,20,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Private","DeepCr","",3,6,0,0,0,0
"17","CCI","AUTUMN SEA",120198,18,1,1,"B+S",515938,NA,4,1,3,10,"N",0,8,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,2,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",5,8,0,0,0,0
"18","CCI","",NA,18,1,1,"B+S",525931,NA,5,0,3,9,"N",0,6,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,2,"N",0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Private","DeepCr","",5,6,0,0,0,0
"19","CCI","INTIMIDATOR TOO",123225,18,1,1,"B+S",515938,NA,4,1,4,8,"N",0,6,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,2,"N",1,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",5,6,0,0,0,0
"20","CCI","SARAH C",123226,19,1,1,"B+S",525931,NA,3,1,5,8,"N",0,12,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",1,8,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",4,12,0,0,0,0
"21","CCI","SOLO",121778,19,1,1,"B+S",525931,NA,4,2,5,10,"N",0,7,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,6,"N",1,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,1,0,"",NA,0,NA,2012,5,17,"Charter","DeepCr","",6,7,0,0,0,0
"22","CCI","",NA,12,1,1,"H",515937,NA,2,0,6,3,"N",0,2,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,20,"Private","AnchorPt","",2,2,0,0,0,0
"23","CCI","GHOST",123249,12,1,1,"H",525931,NA,6,2,5,16,"N",0,10,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,20,"Charter","AnchorPt","",8,10,0,0,0,0
"24","CCI","",NA,13,1,1,"H",525931,NA,5,0,4,10,"N",0,15,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,20,"Private","AnchorPt","",5,15,0,0,0,0
"25","CCI","ULTIMATE",120187,14,1,1,"H",515936,NA,4,1,6,9,"N",8,12,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,5,20,"Charter","AnchorPt","",5,12,0,0,0,0
