"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS"
"1","CCI","",NA,12,1,1,"H",515937,NA,3,0,3,5,"N",0,7,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,5,19,"Private","AnchorPt","",3,7,0,0,0,0,0,0,0
"2","CCI","",NA,13,1,1,"B+S",515938,NA,4,0,5,1,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,5,19,"Private","AnchorPt","",4,0,0,0,0,0,0,0,0
"3","CCI","GAME FISHER",131834,14,1,1,"B+S",525931,NA,4,1,0.5,10,"N",10,2,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,5,19,"Charter","AnchorPt","",5,2,0,0,0,0,0,0,0
"4","CCI","POLE BENDERS",130123,14,1,1,"B+S",525931,NA,5,2,4,14,"N",0,32,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,5,19,"Charter","AnchorPt","",7,32,0,0,0,0,0,0,0
"5","CCI","ALASKA SPIRIT",130152,14,1,1,"B+S",525931,NA,6,2,3,16,"N",16,27,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,12,"N",12,6,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,5,19,"Charter","AnchorPt","",8,27,0,0,0,0,0,0,0
"6","CCI","HIGHLINER",131850,15,1,1,"B+S",525931,NA,6,2,3,16,"N",0,45,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,1,0,"",NA,0,2013,5,19,"Charter","AnchorPt","",8,45,0,0,0,0,0,0,0
"7","CCI","GREATLANDER",131993,15,1,1,"B+S",525931,NA,5,2,3,14,"N",0,5,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,1,0,11,"N",2,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,5,19,"Charter","AnchorPt","",7,5,1,0,0,0,0,0,0
"8","CCI","SANCTUARY",130277,16,1,1,"H",525931,NA,6,2,6,16,"N",0,23,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,5,19,"Charter","AnchorPt","",8,23,0,0,0,0,0,0,0
"9","CCI","",NA,16,1,1,"B+S",525931,NA,4,0,5,8,"N",0,15,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,5,19,"Private","AnchorPt","",4,15,0,0,0,0,0,0,0
"10","CCI","O FISHIAL",131621,16,1,1,"H",525931,NA,6,0,4,12,"N",12,12,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,3,"N",3,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,2,0,"",NA,0,2013,5,19,"Charter","AnchorPt","",6,12,0,0,0,0,0,0,0
