"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"1","CCI","INTIMIDATOR TOO",162868,9,1,1,"B+S",525931,NA,5,0,4,10,0,"N",0,8,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,1,"N",1,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Charter","DeepCr","",5,8,0,0,0,0,0,0,0,10
"2","CCI","",160000,9,1,1,"H",515938,NA,4,0,4.5,8,0,"N",0,6,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Private","DeepCr","",4,6,0,0,0,0,0,0,0,8
"3","CCI","",160000,10,1,1,"H",515939,NA,2,0,3.5,4,0,"N",0,20,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Private","DeepCr","",2,20,0,0,0,0,0,0,0,4
"4","CCI","",160000,10,1,1,"H",525931,NA,8,0,3.5,16,0,"N",0,5,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,1,"N",1,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Private","DeepCr","",8,5,0,0,0,0,0,0,0,16
"5","CCI","DREAM CATCHER II",160199,11,1,1,"H",525931,NA,6,0,5,12,0,"N",0,3,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,2,"N",1,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Charter","DeepCr","",6,3,0,0,0,0,0,0,0,12
"6","CCI","AUTUMN SEA",160117,12,1,1,"B+S",525931,NA,4,0,2,7,0,"N",0,16,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Charter","DeepCr","",4,16,0,0,0,0,0,0,0,7
"7","CCI","",160000,12,1,1,"H",515939,NA,2,0,4,4,0,"N",4,11,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Private","DeepCr","",2,11,0,0,0,0,0,0,0,4
"8","CCI","SHOOTER",161786,12,1,1,"B+S",525931,NA,3,0,3,3,0,"N",0,4,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,1,"N",0,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,2,0,"",NA,0,2016,5,26,"Charter","DeepCr","",3,4,0,0,0,0,0,0,0,3
"9","CCI","",160000,12,1,1,"B+S",525931,NA,4,0,3,7,0,"N",0,12,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,3,"N",2,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Private","DeepCr","",4,12,0,0,0,0,0,0,0,7
"10","CCI","TIGER TALES",160136,12,1,1,"B+S",525931,NA,3,0,2,4,0,"N",0,17,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Charter","DeepCr","",3,17,0,0,0,0,0,0,0,4
"11","CCI","NSC 3",161804,13,1,1,"B+S",525931,NA,5,0,4,10,0,"N",0,11,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,2,"N",2,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Charter","DeepCr","",5,11,0,0,0,0,0,0,0,10
"12","CCI","SHAY LYNN",161796,13,1,1,"B+S",525931,NA,6,0,3,10,0,"N",0,18,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,1,"N",1,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Charter","DeepCr","",6,18,0,0,0,0,0,0,0,10
"13","CCI","",160000,13,1,1,"H",515939,NA,3,0,6,6,0,"N",0,15,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Private","DeepCr","",3,15,0,0,0,0,0,0,0,6
"14","CCI","O'DEA",161840,13,1,1,"B+S",525931,NA,4,0,4,6,0,"N",0,19,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,1,0,"",NA,0,0,"",NA,0,0,"",NA,2,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Charter","DeepCr","",4,19,1,0,0,0,0,0,0,6
"15","CCI","ARCTIC ENDURANCE",161517,13,1,1,"B+S",525931,NA,5,0,5,10,0,"N",0,12,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Charter","DeepCr","",5,12,0,0,0,0,0,0,0,10
"16","CCI","CALLIE ANN",162832,13,1,1,"B+S",525931,NA,6,0,3,12,0,"N",0,0,0,0,"",NA,0,0,0,0,0,"",0,0,0,0,0,0,"",NA,0,0,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2016,5,26,"Charter","DeepCr","",6,0,0,0,0,0,0,0,0,12
