"","PORT","TARGET","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","ADFGSTATHAL","ADFGSTATRF","ADFGSTATLING","STATAREA_BOT","INTLOC","CLIENTDAYS","CREWDAYS","HOURS_H","HOURS_R","HOURS_L","HOURS_TOT","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","ADFGSTATOTH","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","SFmgmtareaHAL","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"1","Whittier","H","",NA,16,1,2,476034,476034,NA,NA,NA,18,0,7,0,0,0,1,0,"N",1,1,0,0,"N",0,0,0,0,2,"N",2,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,16,"Private","","","PWS",18,1,0,2,0,0,0,0,2,1
"2","Whittier","H","",NA,17,1,5,486001,NA,NA,NA,NA,10,0,30,0,0,0,5,0,"N",5,8,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,16,"Private","","","PWS",10,8,0,0,0,0,0,0,0,5
"3","Whittier","H","",NA,17,1,3,486033,NA,NA,NA,NA,9,0,20,0,0,0,1,0,"N",1,2,1,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,1,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,16,"Private","","","PWS",9,3,1,0,0,0,0,0,0,1
"4","Whittier","H","",NA,17,1,2,476006,476006,NA,NA,NA,6,0,10,0,0,0,2,0,"N",2,0,0,0,"N",0,0,0,0,1,"N",1,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,16,"Private","","","PWS",6,0,0,1,0,0,0,0,1,2
"5","Whittier","H","",NA,17,1,1,486033,NA,NA,NA,NA,3,0,4,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,16,"Private","","","PWS",3,0,0,0,0,0,0,0,0,0
"6","Whittier","B+S","",NA,18,1,1,486003,NA,NA,NA,NA,3,0,6,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,16,"Private","","","PWS",3,0,0,0,0,0,0,0,0,0
"7","Whittier","B+S","STRAIT CRAZY",211671,20,1,1,NA,486001,NA,NA,NA,8,0,0,0.5,0,0,0,0,"N",0,0,0,33,"Y",0,0,0,0,0,"N",0,0,0,0,1,"Y",0,0,0,0,0,"N",0,0,2,3,"Y",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,16,"Charter","","","",8,0,2,34,0,0,0,0,0,0
"8","Whittier","H","",NA,18,1,1,486005,486005,NA,NA,NA,3,0,4,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,0,1,"N",1,0,0,0,1,"N",1,0,2,150,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Private","","","PWS",3,0,0,2,0,0,2,2,2,0
"9","Whittier","B","THE WILDLIFE",210084,19,1,1,475933,475933,NA,NA,NA,6,0,6,0.5,0,0,9,0,"N",9,1,0,10,"N",10,0,0,0,0,"N",0,0,0,0,2,"N",2,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Charter","","","PWS",6,1,0,12,0,0,0,0,12,9
"10","Whittier","H","",NA,19,1,1,476031,476031,NA,NA,NA,5,0,5,0,0,0,4,0,"N",4,0,1,0,"N",0,0,0,0,0,"N",0,0,3,220,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Private","","","PWS",5,1,0,0,0,3,0,3,0,4
"11","Whittier","B","",NA,19,1,1,476032,476033,NA,NA,NA,4,0,4,0.5,0,0,8,0,"Y",0,1,0,1,"Y",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Private","","","PWS",4,1,0,1,0,0,0,0,0,8
"12","Whittier","B","MEAGAN ANNE",211976,NA,1,1,476008,476032,NA,NA,NA,6,1,6,1.5,0,0,7,0,"N",7,1,0,0,"N",0,0,0,0,0,"N",0,0,0,0,4,"N",4,0,0,0,0,"N",0,1,0,17,"n",17,1,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Charter","","","PWS",7,1,1,4,0,0,0,0,4,7
"13","Whittier","H","",NA,NA,1,1,476032,NA,NA,NA,NA,3,0,3,0,0,0,2,0,"N",2,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,1,"N",1,4,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Private","","","PWS",3,0,0,0,0,0,0,0,0,2
"14","Whittier","H","",NA,NA,1,1,486033,NA,NA,NA,NA,1,0,1,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Private","","","PWS",1,0,0,0,0,0,0,0,0,0
"15","Whittier","B","",NA,NA,1,2,485932,485932,NA,NA,NA,12,0,6,2,0,0,5,0,"N",0,0,0,2,"N",0,0,2,200,0,"N",0,0,1,200,4,"N",0,0,0,0,0,"N",0,0,2,1,"N",0,2,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Private","","","PWS",12,0,2,6,2,1,0,3,0,5
"16","Whittier","H","",NA,NA,1,1,486031,486031,NA,NA,NA,4,0,4,0,0,0,1,0,"N",0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,1,"N",0,1,0,125,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Private","","","PWS",4,0,0,1,0,0,1,1,0,1
"17","Whittier","H","",NA,NA,1,1,486033,486033,NA,NA,NA,2,0,3.5,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,0,2,"N",2,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Private","","","PWS",2,0,0,2,0,0,0,0,2,0
"18","Whittier","B","",NA,NA,1,1,475933,475933,NA,NA,NA,5,0,0,0,0,10,8,0,"N",8,0,25,10,"N",10,12,0,100,4,"N",4,0,0,0,0,"N",0,0,0,0,0,"N",0,4,3,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,18,"Private","","","PWS",5,25,7,14,12,0,0,12,14,8
