"PORT","TARGET","BOATNAME","LOGBOOK","HOUR","NUMDAYS","ADFGSTATHAL","ADFGSTATRF","ADFGSTATLING","ADFGSTATCOMBI","INTLOC","CLIENTDAYS","CREWDAYS","HOURS_H","HOURS_R","HOURS_L","HOURS_COMBI","HAKEPT","GAFHAKEPT","HACAS","HARELCIR","HARELOTH","PELKEPT","PCAS","PELRSURF","PELRDRM","PELDEPTH","YEKEPT","YECAS","YERSURF","YERDRM","YEDEPTH","NPKEPT","NPCAS","NPRSURF","NPRDRM","NPDEPTH","LCKEPT","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODCAS","CODREL","SABKEPT","SABCAS","SABREL","POLKEPT","POLCAS","POLREL","SSKKEPT","SSKCAS","SSKREL","SDFKEPT","SDFCAS","SDFREL","PSSKEPT","PSSCAS","PSSREL","COMMENTS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","BOATHRS","SFmgmtareaHAL","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"Homer","H","",,13,1,515906,,,,3,3,0,2,0,0,0,0,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"50 scjlpin",2022,5,18,"Private",,,2,"CI",3,0,0,0,0,0,0,0,0,0
"Homer","H","",,14,1,525931,,,,5,3,0,6,0,0,0,2,0,2,1,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",2,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"1 skate",2022,5,18,"Private",,,6,"CI",3,1,0,0,0,0,0,0,0,2
"Homer","S","ENOUGH SAID",221230,15,1,,515936,,,2,3,0,0,0,0,7,0,0,0,0,0,3,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"3 greenlings",2022,5,18,"Charter",,,7,,3,0,0,3,0,0,0,0,0,0
"Homer","H","",,16,1,515935,,,,4,2,0,4,0,0,0,0,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,18,"Private",,,4,"CI",2,0,0,0,0,0,0,0,0,0
"Homer","H","",,16,1,515931,,,,4,2,0,6,0,0,0,2,0,0,0,1,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,18,"Private",,,6,"CI",2,1,0,0,0,0,0,0,0,2
"Homer","B+S","",,18,1,515907,515907,,,3,4,0,3,0,0,0,4,0,0,4,0,2,"2",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,4,"4",5,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"2 Irish lord",2022,5,18,"Private",,,3,"CI",4,4,0,2,0,0,0,0,2,4
"Homer","B+S","KACHEMAK KING",221281,15,1,515938,,,,2,5,0,2,0,0,0,10,0,10,2,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,7,"0",1,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Charter",,,2,"CI",5,2,0,0,0,0,0,0,0,10
"Homer","H","TOLSTOI POINT",220322,15,1,525931,,,,2,4,0,5,0,0,0,8,0,8,5,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,20,"0",20,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Charter",,,5,"CI",4,5,0,0,0,0,0,0,0,8
"Homer","H","MIRACULOUS",222334,15,1,515937,,,,2,6,0,4,0,0,0,8,0,0,2,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Charter",,,4,"CI",6,2,0,0,0,0,0,0,0,8
"Homer","H","BAY EXPLORER",221195,16,1,515907,,,,1,8,0,8,0,0,0,16,0,16,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Charter",,,8,"CI",8,0,0,0,0,0,0,0,0,16
