"YEAR","PORT","TARGET","BOATNAME","LOGBOOK","HOUR","NUMDAYS","ADFGSTATHAL","ADFGSTATRF","ADFGSTATLING","ADFGSTATCOMBI","INTLOC","CLIENTDAYS","CREWDAYS","HOURS_H","HOURS_R","HOURS_L","HOURS_COMBI","HAKEPT","GAFHAKEPT","HACAS","HARELCIR","HARELOTH","PELKEPT","PCAS","PELRSURF","PELRDRM","PELDEPTH","YEKEPT","YECAS","YERSURF","YERDRM","YEDEPTH","NPKEPT","NPCAS","NPRSURF","NPRDRM","NPDEPTH","LCKEPT","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODCAS","CODREL","SABKEPT","SABCAS","SABREL","POLKEPT","POLCAS","POLREL","SSKKEPT","SSKCAS","SSKREL","SDFKEPT","SDFCAS","SDFREL","PSSKEPT","PSSCAS","PSSREL","COMMENTS","MONTH","DAY","USER","SUBLOC","RESBAY","BOATHRS","HOUR_TOT","SFmgmtareaHAL","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
2023,"Homer","H","IRISH",231270,14,1,525931,,,,1,12,0,3,0,0,0,24,0,24,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No logbook yet",5,13,"Charter",,,3,3,"CI",12,1,0,0,0,0,0,0,0,24
2023,"Homer","H","FISKR VALHALLA",2317762,17,1,525902,,,,2,6,0,3,0,0,0,12,0,12,9,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Charter",,,3,3,"CI",6,9,0,0,0,0,0,0,0,12
2023,"Homer","H","FISH MAGNET",232262,17,1,525931,,,,2,6,0,4,0,0,0,12,0,12,4,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Charter",,,4,4,"CI",6,4,0,0,0,0,0,0,0,12
2023,"Homer","H","DIAMOND CAPE",231390,17,1,,,,515939,2,6,0,4,0,0,0,12,0,12,8,0,1,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Charter",,,4,4,,6,8,0,1,0,0,0,0,1,12
2023,"Homer","B","ARTEMIS",231266,15,1,525931,515936,,,3,5,0,1,1,0,0,10,0,10,10,0,3,3,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No logbook",5,13,"Charter",,,2,2,"CI",5,10,0,3,0,0,0,0,3,10
2023,"Homer","B","",,13,1,515933,,,,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,4,4,"CI",3,0,0,0,0,0,0,0,0,0
2023,"Homer","H","",,13,1,515907,,,,4,2,0,4,0,0,0,4,0,4,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,4,4,"CI",2,0,0,0,0,0,0,0,0,4
2023,"Homer","H","",,13,1,515395,,,,4,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,5,5,,4,0,0,0,0,0,0,0,0,1
2023,"Homer","B+S","",,14,1,525931,,,,1,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,4,4,"CI",3,0,0,0,0,0,0,0,0,6
2023,"Homer","H","",,15,1,515936,,,,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,6,6,"CI",2,0,0,0,0,0,0,0,0,0
2023,"Homer","B","",,17,1,,,,525931,2,6,0,5,0,0,0,21,0,21,0,0,18,18,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,5,5,,6,0,0,18,0,0,0,0,18,21
2023,"Homer","H","",,18,1,515908,,,,4,3,0,8,0,0,0,4,0,4,22,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,8,8,"CI",3,22,0,0,0,0,0,0,0,4
2023,"Homer","H","",,18,1,515935,,,,4,2,0,5,0,0,0,2,0,2,10,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,5,5,"CI",2,10,0,0,0,0,0,0,0,2
2023,"Homer","H","",,18,1,515907,,,,4,1,0,6,0,0,0,2,0,0,3,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,6,6,"CI",1,3,0,0,0,0,0,0,0,2
2023,"Homer","H","",,18,1,515936,,,,4,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,3,3,"CI",3,0,0,0,0,0,0,0,0,2
2023,"Homer","H","",,18,1,,,,515937,4,5,0,5,0,0,0,10,0,0,0,0,2,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,13,"Private",,,5,5,,5,0,0,2,0,0,0,0,0,10
