"","AREA","SITE","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","STATAREA","PORT","USER"
"1",17,754,2005,7,1,1,1,130,"M",66,2.5,8,4,NA,525733,"Kodiak","Private"
"2",17,754,2005,7,3,2,1,130,"M",95,NA,20,NA,NA,525733,"Kodiak","Private"
"3",17,754,2005,7,3,2,2,130,"M",92,NA,16,NA,NA,525733,"Kodiak","Private"
"4",17,754,2005,7,4,3,1,130,"M",72,NA,7,NA,NA,525733,"Kodiak","Private"
"5",17,754,2005,7,4,3,2,130,"F",80,NA,8,NA,NA,525733,"Kodiak","Private"
"6",17,754,2005,7,4,3,3,130,"F",103,NA,9,NA,NA,525733,"Kodiak","Private"
"7",17,754,2005,7,4,3,4,130,"F",113,NA,12,NA,NA,525733,"Kodiak","Private"
"8",17,754,2005,7,4,3,5,130,"M",98,NA,14,NA,NA,NA,"Kodiak","Unknown"
"9",17,754,2005,7,8,4,1,130,"M",71,NA,5,NA,NA,525732,"Kodiak","Private"
"10",17,754,2005,7,8,4,2,130,"M",81,NA,7,7,NA,525732,"Kodiak","Private"
"11",17,754,2005,7,10,5,1,130,"F",64,NA,4,NA,NA,525733,"Kodiak","Private"
"12",17,754,2005,7,10,5,2,130,"M",71,NA,5,NA,NA,525733,"Kodiak","Private"
"13",17,754,2005,7,10,5,3,130,"F",78,4.5,6,NA,NA,525732,"Kodiak","Charter"
"14",17,754,2005,7,10,5,4,130,"M",84,NA,8,NA,NA,525732,"Kodiak","Charter"
"15",17,754,2005,7,10,5,5,130,"F",124,NA,23,NA,NA,525732,"Kodiak","Charter"
"16",17,754,2005,7,11,6,1,130,"M",101,11,17,NA,NA,525733,"Kodiak","Private"
"17",17,754,2005,7,17,7,1,130,"F",91,8,7,NA,NA,525733,"Kodiak","Charter"
"18",17,754,2005,7,17,7,2,130,"M",81,5,7,NA,NA,525733,"Kodiak","Charter"
"19",17,754,2005,7,17,7,3,130,"M",88,6.5,9,8,NA,525733,"Kodiak","Charter"
"20",17,754,2005,7,19,8,1,130,"M",102,12,20,NA,NA,525733,"Kodiak","Charter"
"21",17,754,2005,7,19,8,2,130,"M",71,4,6,NA,NA,525733,"Kodiak","Private"
"22",17,754,2005,7,19,8,3,130,"M",81,NA,7,NA,NA,525733,"Kodiak","Private"
"23",17,754,2005,7,19,8,4,130,"M",83,NA,9,NA,NA,525733,"Kodiak","Private"
