"PORT","SUB","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","...18","YEAR","MONTH","DAY","COMMENTS"
"CCI",2,130,2007-07-02,1,1,"M",94,9.5,10,11,1,,"C","GAME FISHER",525931,,2007,7,2,
"CCI",2,130,2007-08-27,2,1,"F",95,7.5,8,,2,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,2,"F",99,7,8,,2,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,3,"F",134,23.5,17,,2,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,4,"F",104,11,7,,2,,"C","GHOST",515903,,2007,8,27,"not finrays 4-8, couldn't tell exactly which ones because of bad fillet job"
"CCI",2,130,2007-08-27,2,5,"M",98,8,12,12,2,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,6,"M",88,7,9,,2,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,7,"M",94,6,12,,2,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,8,"M",87,6,9,,2,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,9,"M",91,8,9,,3,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,10,"F",115,15,11,11,2,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,11,"M",96,8.5,11,,2,,"C","GHOST",515903,,2007,8,27,
"CCI",2,130,2007-08-27,2,12,"M",99,9,9,,2,,"C","GHOST",515903,,2007,8,27,
"Homer",,130,2007-07-01,1,1,"F",127,,18,,2,,"P",,515903,,2007,7,1,
"Homer",,130,2007-07-01,1,2,"F",109,,10,,2,,"P",,515903,,2007,7,1,
"Homer",,130,2007-07-01,1,3,"F",122,,15,,2,,"P",,515903,,2007,7,1,
"Homer",,130,2007-07-01,1,4,"F",101,,8,,2,,"P",,515903,,2007,7,1,
"Homer",,130,2007-07-01,1,5,"M",89,,9,9,1,,"P",,515905,,2007,7,1,
"Homer",,130,2007-07-01,1,6,"M",96,,10,,2,,"P",,515905,,2007,7,1,
"Homer",,130,2007-07-01,1,7,"M",104,,18,,2,,"P",,515905,,2007,7,1,
"Homer",,130,2007-07-01,1,8,"M",95,7,8,,2,,"P",,515905,,2007,7,1,
"Homer",,130,2007-07-01,1,9,"F",92,7,7,,2,,"P",,515905,,2007,7,1,
"Homer",,130,2007-07-01,1,10,"F",94,8,7,7,2,,"P",,515905,,2007,7,1,
