"PORT","SUB","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","...18","...19","YEAR","MONTH","DAY","COMMENTS"
"Kodiak",,130,2013-07-02,1,1,"M",100,,15,,,,"P","P3",525733,,,2013,7,2,
"Kodiak",,130,2013-07-02,1,2,"M",88,,10,,,,"P","P3",525733,,,2013,7,2,
"Kodiak",,130,2013-07-02,1,3,"M",75,,7,,,,"P","P3",525733,,,2013,7,2,
"Kodiak",,130,2013-07-02,1,4,"",93,,9,9,,,"P","P3",525733,,,2013,7,2,
"Kodiak",,130,2013-07-02,1,5,"",110,,15,15,,,"P","P3",525733,,,2013,7,2,
"Kodiak",,130,2013-07-02,1,6,"M",100,,23,23,,,"P","P3",525733,,,2013,7,2,
"Kodiak",,130,2013-07-02,1,7,"M",83,,10,,,,"P","P3",525733,,,2013,7,2,
"Kodiak",,130,2013-07-07,2,1,"M",98,,16,16,,,"P","P1",525733,,,2013,7,7,
"Kodiak",,130,2013-07-07,2,2,"M",91,,18,,,,"P","P1",525733,,,2013,7,7,
"Kodiak",,130,2013-07-07,2,3,"",87,,15,,,,"P","P1",525733,,,2013,7,7,
"Kodiak",,130,2013-07-09,3,1,"F",113,15,13,,,,"P","P2",525733,,,2013,7,9,
"Kodiak",,130,2013-07-13,4,1,"F",89,6.5,8,,,,"C","U RASCAL",525733,,,2013,7,13,
"Kodiak",,130,2013-07-13,4,2,"F",92,8,10,,,,"C","U RASCAL",525733,,,2013,7,13,
"Kodiak",,130,2013-07-13,4,3,"F",73,3.5,10,,,,"C","U RASCAL",525733,,,2013,7,13,
"Kodiak",,130,2013-07-13,4,4,"F",122,21,15,15,,,"C","U RASCAL",525733,,,2013,7,13,
"Kodiak",,130,2013-07-13,4,5,"M",98,10.5,17,,,,"C","REEL FUN",525733,,,2013,7,13,
"Kodiak",,130,2013-07-14,5,1,"M",69,3.5,6,,,,"P","P1",525733,,,2013,7,14,
"Kodiak",,130,2013-07-14,5,2,"F",106,14,14,,,,"P","P1",525733,,,2013,7,14,
"Kodiak",,130,2013-07-14,5,3,"M",91,,15,,,,"P","P1",525733,,,2013,7,14,
"Kodiak",,130,2013-07-14,5,4,"M",92,10.5,15,,,,"P","P1",525733,,,2013,7,14,
"Kodiak",,130,2013-07-14,5,5,"M",81,,8,,,,"P","P4",525733,,,2013,7,14,
"Kodiak",,130,2013-07-15,6,1,"M",84,5.5,10,,,,"C","C DEVIL",515730,"TROPHY 2",525731,2013,7,15,
