"PORT","SUB","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","ADU OTO AGE","USER","BOATNAME","STATAREA","COMMENTS","DELETE","YEAR","MONTH","DAY"
"CCI","A",130,2018-07-02,1,1,"F",96,,7,7,"2",,10,"C","GHOST",515905,"NO WEIGHT",,2018,7,2
"CCI","A",130,2018-07-02,1,2,"F",127,,21,21,"2",,20,"C","GHOST",515905,"NO WEIGHT",,2018,7,2
"CCI","A",130,2018-07-02,1,3,"M",93,,12,12,"2",,13,"C","GHOST",515905,"NO WEIGHT",,2018,7,2
"CCI","A",130,2018-07-02,1,4,"M",97,,13,13,"2",,14,"C","GHOST",515905,"NO WEIGHT",,2018,7,2
"CCI","A",130,2018-07-02,1,5,"M",93,,12,12,"2",,11,"C","GHOST",515905,"NO WEIGHT",,2018,7,2
"Homer",,130,2018-07-01,1,1,"F",94,,8,,"2",,7,"C","MISS PATIENCE",515831,,,2018,7,1
"Homer",,130,2018-07-02,2,1,"",63,,4,,"2",,,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,2
"Homer",,130,2018-07-02,2,2,"F",107,,10,,"2",,13,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,3,"F",123,,19,,"2",,21,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,2
"Homer",,130,2018-07-02,2,4,"F",108,,12,,"2",,13,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,2
"Homer",,130,2018-07-02,2,5,"M",62,,4,4,"2",,4,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,6,"F",122,20,20,,"2",,19,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,2
"Homer",,130,2018-07-02,2,7,"F",95,,10,10,"2",,11,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,8,"M",91,,14,15,"2",,17,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,2
"Homer",,130,2018-07-02,2,9,"F",111,,15,,"2",,17,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,10,"F",102,,13,,"2",,10,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,2
"Homer",,130,2018-07-02,2,11,"M",72,5.5,6,,"2",,6,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,12,"",67,3,5,,"2",,,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,13,"M",108,14.5,20,,"2",,18,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,14,"M",75,4,6,,"2",,5,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,15,"F",111,,17,,"2",,,"C","CASINO",525834,"NO OTOS",,2018,7,2
"Homer",,130,2018-07-02,2,16,"",43,,3,,"2",,2,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,17,"M",58,,3,,"2",,2,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,18,"M",102,10,20,,"1",,20,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,2
"Homer",,130,2018-07-02,2,19,"F",72,,5,,"2",,5,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,20,"",72,,6,6,"2",,,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,21,"F",127,,15,15,"2",,,"C","CASINO",525834,"NO OTOS",,2018,7,2
"Homer",,130,2018-07-02,2,22,"F",108,,14,,"2",,13,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,23,"",81,6,7,7,"2",,5,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-02,2,24,"M",102,,20,,"1",,,"C","CASINO",525834,"NO OTO - HEAD BLASTED",,2018,7,2
"Homer",,130,2018-07-02,2,25,"M",75,,5,,"2",,,"C","CASINO",525834,"NO OTO",,2018,7,2
"Homer",,130,2018-07-02,2,26,"M",75,5,6,,"2",,6,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,2
"Homer",,130,2018-07-02,2,27,"F",66,,5,,"2",,7,"C","CASINO",525834,,,2018,7,2
"Homer",,130,2018-07-03,3,1,"M",94,,12,,"2",,,"C","FRINGE BENEFIT",515905,"NO OTO",,2018,7,3
"Homer",,130,2018-07-07,4,1,"",125,,19,,"2",,20,"C","ARCTIC ADDICTION",515907,,,2018,7,7
"Homer",,130,2018-07-09,5,1,"M",108,14.5,21,,"2",,20,"P","P1",525931,"CONCERNED THEY LIED ON STAT",,2018,7,9
"Homer",,130,2018-07-10,6,1,"F",120,20,15,,"1",,18,"C","IRISH MIST",515937,,,2018,7,10
"Homer",,130,2018-07-11,7,1,"M",87,,11,,"2",,15,"C","BEAR FORCE I",515903,,,2018,7,11
"Homer",,130,2018-07-11,7,2,"",89,,14,14,"2",,15,"C","BEAR FORCE I",515903,,,2018,7,11
"Homer",,130,2018-07-12,8,1,"F",109,,,,,,12,"C","KACHEMAK KING",515905,"NO FIN - POSTERIOR FIN HAD BEEN BITTEN OFF FROM THE LINGCOD WHEN IT WAS YOUNGER; THE FIN WAS A MANGLED MESS AND I COULDN'T DISTINGUISH THE RAYS",,2018,7,12
"Homer",,130,2018-07-12,8,2,"F",108,,12,,"1",,,"C","KACHEMAK KING",515905,"NO OTO",,2018,7,12
"Homer",,130,2018-07-12,8,3,"M",90,,14,,"2",,15,"C","KACHEMAK KING",515905,,,2018,7,12
"Homer",,130,2018-07-15,9,1,"M",101,13,18,,"1",,20,"C","FRINGE BENEFIT",525902,"2 BROKEN OTOS",,2018,7,15
