"PORT","SUB","SPECIES","DATE","PAGE","LINE","SEX","AGE","AGE2","AGECONF","AGEERR","CAS","YEAR","MONTH","DAY","USER","STATAREA","SP","LENGTH","WEIGHT","BOATNAME","COMMENTS"
"Homer",,130,2019-07-05,1,1,"F",12,12,,,0,2019,7,5,"Charter",515905,130,103,,"GAME CHANGER","GAME CHANGER OVERNIGHT TRIP"
"Homer",,130,2019-07-05,1,2,"F",9,,,,0,2019,7,5,"Charter",515905,130,92,,"GAME CHANGER","GAME CHANGER OVERNIGHT TRIP"
"Homer",,130,2019-07-05,1,3,"F",17,,,,0,2019,7,5,"Charter",515905,130,122,,"GAME CHANGER","GAME CHANGER OVERNIGHT TRIP"
"Homer",,130,2019-07-05,1,4,"",7,,,,0,2019,7,5,"Charter",515905,130,96,,"GAME CHANGER","GAME CHANGER OVERNIGHT TRIP"
"Homer",,130,2019-07-05,1,5,"F",7,,,,0,2019,7,5,"Charter",515905,130,96,,"GAME CHANGER","GAME CHANGER OVERNIGHT TRIP"
"Homer",,130,2019-07-05,1,6,"",11,11,,,0,2019,7,5,"Charter",515905,130,93,,"GAME CHANGER","GAME CHANGER OVERNIGHT TRIP"
"Homer",,130,2019-07-05,1,7,"F",19,,,,0,2019,7,5,"Charter",515905,130,135,,"GAME CHANGER","GAME CHANGER OVERNIGHT TRIP"
"Homer",,130,2019-07-05,1,8,"",13,12,,,0,2019,7,5,"Charter",515905,130,111,,"GAME CHANGER","GAME CHANGER OVERNIGHT TRIP"
"Homer",,130,2019-07-05,1,9,"",12,12,,,0,2019,7,5,"Charter",515905,130,117,,"GAME CHANGER","GAME CHANGER OVERNIGHT TRIP"
"Homer",,130,2019-07-07,2,1,"",14,,,,0,2019,7,7,"Charter",,130,111,15,"CASINO",
"Homer",,130,2019-07-07,2,2,"F",18,,,,0,2019,7,7,"Charter",,130,123,,"CASINO",
"Homer",,130,2019-07-07,2,3,"F",5,,,,0,2019,7,7,"Charter",,130,77,4,"CASINO",
"Homer",,130,2019-07-07,2,4,"F",6,,,,0,2019,7,7,"Charter",,130,77,,"CASINO",
"Homer",,130,2019-07-07,2,5,"F",14,,,,0,2019,7,7,"Charter",,130,110,14,"CASINO",
"Homer",,130,2019-07-07,2,6,"F",19,,,,0,2019,7,7,"Charter",,130,124,20,"CASINO",
"Homer",,130,2019-07-07,2,7,"M",6,,,,0,2019,7,7,"Charter",,130,83,5.5,"CASINO",
"Homer",,130,2019-07-07,2,8,"F",13,,,,0,2019,7,7,"Charter",,130,111,,"CASINO",
"Homer",,130,2019-07-07,2,9,"F",7,,,,0,2019,7,7,"Charter",,130,93,,"CASINO",
"Homer",,130,2019-07-07,2,10,"F",18,,,,0,2019,7,7,"Charter",,130,124,19,"CASINO",
"Homer",,130,2019-07-07,2,11,"M",18,,,,0,2019,7,7,"Charter",,130,101,,"CASINO","WARPED FIN RAY"
"Homer",,130,2019-07-07,2,12,"F",7,7,,,0,2019,7,7,"Charter",,130,89,,"CASINO",
"Homer",,130,2019-07-07,2,13,"F",9,9,,,0,2019,7,7,"Charter",,130,89,,"CASINO",
"Homer",,130,2019-07-07,2,14,"F",17,,,,0,2019,7,7,"Charter",,130,113,18,"CASINO","PREGNANT"
"Homer",,130,2019-07-07,2,15,"F",7,9,,,0,2019,7,7,"Charter",,130,89,,"CASINO",
"Homer",,130,2019-07-07,2,16,"F",13,,,,0,2019,7,7,"Charter",,130,114,,"CASINO",
"Homer",,130,2019-07-07,2,17,"F",7,,,,0,2019,7,7,"Charter",,130,94,,"CASINO",
"Homer",,130,2019-07-07,2,18,"F",7,,,,0,2019,7,7,"Charter",,130,87,6,"CASINO",
"Homer",,130,2019-07-07,2,19,"F",4,,,,0,2019,7,7,"Charter",,130,84,5.5,"CASINO",
"Homer",,130,2019-07-07,2,20,"F",13,,,,0,2019,7,7,"Charter",,130,121,,"CASINO",
"Homer",,130,2019-07-07,2,21,"F",15,,,,0,2019,7,7,"Charter",,130,106,12,"CASINO",
"Homer",,130,2019-07-07,2,22,"F",16,,,,0,2019,7,7,"Charter",,130,124,19.5,"CASINO",
"Homer",,130,2019-07-07,2,23,"F",20,,,,0,2019,7,7,"Charter",,130,125,19,"CASINO",
"Homer",,130,2019-07-07,2,24,"F",7,,,,0,2019,7,7,"Charter",,130,92,8,"CASINO",
"Homer",,130,2019-07-07,2,25,"",14,14,,,0,2019,7,7,"Charter",,130,108,,"CASINO",
"Homer",,130,2019-07-14,3,1,"M",13,,,,0,2019,7,14,"Charter",515903,130,90,7.5,"POGO",
"Homer",,130,2019-07-14,3,2,"M",16,,,,0,2019,7,14,"Charter",515903,130,102,11,"POGO","FIN RAY MANGLED - DIFFICULT TO DISTINGUISH THE 4TH FIN RAY"
"Homer",,130,2019-07-16,4,1,"F",7,,,,0,2019,7,16,"Charter",,130,97,9,"MISS PATIENCE",
"Homer",,130,2019-07-19,5,1,"F",20,,,,0,2019,7,19,"Charter",515903,130,126,21.5,"WEST CAPE","LINGCOD WERE COLLECTED AT ""DOUBLE LINES"" LOCATION (STAT 515904). RECORDED 515903 IN LOGBOOK BECAUSE MOST GROUNDFISH WERE CAUGHT IN 515903."
"Homer",,130,2019-07-19,5,2,"F",15,,,,0,2019,7,19,"Charter",515903,130,118,18,"WEST CAPE","LINGCOD WERE COLLECTED AT ""DOUBLE LINES"" LOCATION (STAT 515904). RECORDED 515903 IN LOGBOOK BECAUSE MOST GROUNDFISH WERE CAUGHT IN 515903."
"Homer",,130,2019-07-19,5,3,"F",7,,,,0,2019,7,19,"Charter",515903,130,89,7,"WEST CAPE","LINGCOD WERE COLLECTED AT ""DOUBLE LINES"" LOCATION (STAT 515904). RECORDED 515903 IN LOGBOOK BECAUSE MOST GROUNDFISH WERE CAUGHT IN 515903."
"Homer",,130,2019-07-20,6,1,"F",7,,,,0,2019,7,20,"Private",515905,130,91,8,"P1",
"Homer",,130,2019-07-21,7,1,"F",6,,,,1,2019,7,21,"Charter",525836,130,76,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,2,"M",9,9,,,1,2019,7,21,"Charter",525836,130,90,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,3,"F",18,18,,,1,2019,7,21,"Charter",525836,130,117,,"GAME CHANGER","MANGLED FIN RAY; LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,4,"M",7,7,,,1,2019,7,21,"Charter",525836,130,85,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,5,"M",9,,,,1,2019,7,21,"Charter",525836,130,88,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,6,"",5,,,,1,2019,7,21,"Charter",525836,130,81,5,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,7,"M",17,,,,1,2019,7,21,"Charter",525836,130,101,,"GAME CHANGER","MANGLED FIN RAY; LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,8,"F",5,,,,1,2019,7,21,"Charter",525836,130,80,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,9,"",17,19,,,1,2019,7,21,"Charter",525836,130,99,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,10,"M",13,,,,1,2019,7,21,"Charter",525836,130,96,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,11,"F",6,,,,1,2019,7,21,"Charter",525836,130,94,8,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,12,"M",6,,,,1,2019,7,21,"Charter",525836,130,81,5,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,13,"F",12,12,,,1,2019,7,21,"Charter",525836,130,108,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,14,"",5,,,,1,2019,7,21,"Charter",525836,130,81,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,15,"",7,,,,1,2019,7,21,"Charter",525836,130,80,,"GAME CHANGER","FIN PREVIOUSLY BITTEN - DIFFICULTY LOCATING 4TH FIN RAY; LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,16,"F",14,,,,1,2019,7,21,"Charter",525836,130,107,13,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,17,"F",15,,,,1,2019,7,21,"Charter",525836,130,116,18,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,18,"M",7,,,,1,2019,7,21,"Charter",525836,130,91,6.5,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,19,"M",19,19,,,1,2019,7,21,"Charter",525836,130,94,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,20,"",14,,,,1,2019,7,21,"Charter",525836,130,94,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,21,"",16,,,,1,2019,7,21,"Charter",525836,130,93,8,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,22,"M",,,,,1,2019,7,21,"Charter",525836,130,106,13,"GAME CHANGER","NO FIN COLLECTION - TOO MANGLED; LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,23,"F",3,,,,1,2019,7,21,"Charter",525836,130,95,9,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,24,"F",7,,,,1,2019,7,21,"Charter",525836,130,91,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,25,"F",7,7,,,1,2019,7,21,"Charter",525836,130,93,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,26,"",7,,,,1,2019,7,21,"Charter",525836,130,84,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,27,"",7,,,,1,2019,7,21,"Charter",525836,130,90,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,28,"",6,,,,1,2019,7,21,"Charter",525836,130,82,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,29,"M",15,,,,1,2019,7,21,"Charter",525836,130,103,,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
"Homer",,130,2019-07-21,7,30,"M",5,,,,1,2019,7,21,"Charter",525836,130,74,4,"GAME CHANGER","LINGCOD COLLECTED AT ""FOG POINT"""
