"PORT","SUB","SPECIES","DATE","PAGE","LINE","SEX","AGE","READABILITY","AGE2","AGECONF","AGEERR","SAMPLEID","CAS","YEAR","MONTH","DAY","USER","STATAREA","SP","LENGTH","WEIGHT","BOATNAME","COMMENTS"
"Homer",,130,2022-07-06,1,1,"F",8,2,,,,"2 070622 8 23",1,2022,7,6,"Charter",515903,130,90,,"ASTERIA",
"Homer",,130,2022-07-09,2,1,"F",18,2,,,,"2 070922 6 16",0,2022,7,9,"Private",525901,130,125,22.5,"P5",
"Homer",,130,2022-07-10,3,1,"F",24,2,24,,,"2 071022 1 1",0,2022,7,10,"Charter",525833,130,121,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,2,"F",6,2,,,,"2 071022 1 2",0,2022,7,10,"Charter",525833,130,77,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,3,"M",10,2,,,,"2 071022 1 3",0,2022,7,10,"Charter",525833,130,88,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,4,"M",6,2,,,,"2 071022 1 4",0,2022,7,10,"Charter",525833,130,86,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,5,"F",6,2,,,,"2 071022 1 5",0,2022,7,10,"Charter",525833,130,82,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,6,"F",10,2,10,,,"2 071022 1 6",0,2022,7,10,"Charter",525833,130,109,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,7,"F",6,2,,,,"2 071022 1 7",0,2022,7,10,"Charter",525833,130,81,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,8,"F",8,2,8,,,"2 071022 1 8",0,2022,7,10,"Charter",525833,130,94,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,9,"F",7,2,,,,"2 071022 1 9",0,2022,7,10,"Charter",525833,130,80,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,10,"F",6,2,,,,"2 071022 1 10",0,2022,7,10,"Charter",525833,130,72,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,11,"F",6,2,,,,"2 071022 1 11",0,2022,7,10,"Charter",525833,130,84,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,12,"F",8,2,,,,"2 071022 1 12",0,2022,7,10,"Charter",525833,130,94,,"DOUBLE DOWN","1 oto"
"Homer",,130,2022-07-10,3,13,"F",6,2,,,,"2 071022 1 13",0,2022,7,10,"Charter",525833,130,78,,"DOUBLE DOWN","no otolith"
"Homer",,130,2022-07-10,3,14,"",10,2,,,,"2 071022 1 14",0,2022,7,10,"Charter",525833,130,96,,"DOUBLE DOWN","broken oto"
"Homer",,130,2022-07-10,3,15,"F",8,2,,,,"2 071022 1 15",0,2022,7,10,"Charter",525833,130,94,,"DOUBLE DOWN","1 oto + broken"
"Homer",,130,2022-07-10,3,16,"F",6,2,,,,"2 071022 1 16",0,2022,7,10,"Charter",525833,130,83,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,17,"F",6,2,6,,,"2 071022 1 17",0,2022,7,10,"Charter",525833,130,83,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,18,"F",14,2,,,,"2 071022 1 18",0,2022,7,10,"Charter",525833,130,117,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,19,"F",7,2,,,,"2 071022 1 19",0,2022,7,10,"Charter",525833,130,86,,"DOUBLE DOWN","1 oto"
"Homer",,130,2022-07-10,3,20,"M",8,2,,,,"2 071022 1 20",0,2022,7,10,"Charter",525833,130,83,,"DOUBLE DOWN",
"Homer",,130,2022-07-10,3,21,"",6,2,,,,"2 071022 1 21",0,2022,7,10,"Charter",525833,130,83,,"DOUBLE DOWN",
"Homer",,130,2022-07-12,4,1,"F",8,2,8,,,"2 071222 2 40",1,2022,7,12,"Charter",515901,130,93,,"MISS PATIENCE","1 otolith"
"Homer",,130,2022-07-12,4,2,"F",7,2,,,,"2 071222 2 41",1,2022,7,12,"Charter",515901,130,91,,"MISS PATIENCE",
"Homer",,130,2022-07-12,4,3,"F",8,2,,,,"2 071222 2 42",1,2022,7,12,"Charter",515901,130,98,,"MISS PATIENCE","no otolith"
"Homer",,130,2022-07-12,4,4,"F",13,2,,,,"2 071222 2 43",1,2022,7,12,"Charter",515901,130,115,,"MISS PATIENCE",
"Homer",,130,2022-07-12,4,5,"M",11,2,11,,,"2 071222 2 44",1,2022,7,12,"Charter",515901,130,91,,"MISS PATIENCE",
"Homer",,130,2022-07-12,4,6,"F",19,2,,,,"2 071222 2 45",1,2022,7,12,"Charter",515901,130,124,,"MISS PATIENCE",
"Homer",,130,2022-07-27,5,1,"M",6,2,,,,"2 072722 1 1",0,2022,7,27,"Charter",525834,130,70,,"CASINO",
"Homer",,130,2022-07-27,5,2,"F",6,2,,,,"3 072722 1 2",0,2022,7,27,"Charter",525834,130,76,,"CASINO",
"Homer",,130,2022-07-27,5,3,"M",6,2,,,,"4 072722 1 3",0,2022,7,27,"Charter",525834,130,68,,"CASINO",
"Homer",,130,2022-07-27,5,4,"M",6,2,,,,"5 072722 1 4",0,2022,7,27,"Charter",525834,130,73,,"CASINO","No oto"
"Homer",,130,2022-07-27,5,5,"F",6,2,,,,"6 072722 1 5",0,2022,7,27,"Charter",525834,130,82,,"CASINO",
"Homer",,130,2022-07-27,5,6,"F",6,2,,,,"7 072722 1 6",0,2022,7,27,"Charter",525834,130,77,,"CASINO",
"Homer",,130,2022-07-27,5,7,"F",5,2,5,,,"8 072722 1 7",0,2022,7,27,"Charter",525834,130,80,,"CASINO",
"Homer",,130,2022-07-27,5,8,"",6,2,,,,"9 072722 1 8",0,2022,7,27,"Charter",525834,130,73,,"CASINO",
"Homer",,130,2022-07-27,5,9,"M",6,2,6,,,"10 072722 1 9",0,2022,7,27,"Charter",525834,130,75,,"CASINO",
"Homer",,130,2022-07-27,5,10,"",6,2,,,,"11 072722 1 10",0,2022,7,27,"Charter",525834,130,74,,"CASINO",
"Homer",,130,2022-07-27,5,11,"F",6,2,,,,"12 072722 1 11",0,2022,7,27,"Charter",525834,130,80,,"CASINO",
"Homer",,130,2022-07-27,5,12,"F",6,2,,,,"13 072722 1 12",0,2022,7,27,"Charter",525834,130,83,,"CASINO",
"Homer",,130,2022-07-27,5,13,"F",6,2,,,,"14 072722 1 13",0,2022,7,27,"Charter",525834,130,75,,"CASINO",
"Homer",,130,2022-07-27,5,14,"F",6,2,6,,,"15 072722 1 14",0,2022,7,27,"Charter",525834,130,85,,"CASINO","1 oto"
"Homer",,130,2022-07-27,5,15,"F",6,2,,,,"16 072722 1 15",0,2022,7,27,"Charter",525834,130,72,,"CASINO",
"Homer",,130,2022-07-27,5,16,"F",6,2,,,,"17 072722 1 16",0,2022,7,27,"Charter",525834,130,85,,"CASINO",
"Homer",,130,2022-07-27,5,17,"F",6,2,,,,"18 072722 1 17",0,2022,7,27,"Charter",525834,130,88,,"CASINO",
"Homer",,130,2022-07-27,5,18,"F",6,2,,,,"19 072722 1 18",0,2022,7,27,"Charter",525834,130,87,,"CASINO",
"Homer",,130,2022-07-27,5,19,"F",8,2,8,,,"20 072722 1 19",0,2022,7,27,"Charter",525834,130,97,,"CASINO",
"Homer",,130,2022-07-27,5,20,"F",6,2,,,,"21 072722 1 20",0,2022,7,27,"Charter",525834,130,82,,"CASINO","1 oto"
"Homer",,130,2022-07-28,6,1,"F",8,2,,,,"2 072822 4 11",0,2022,7,28,"Charter",515903,130,103,,"CRUSADER",
"Homer",,130,2022-07-28,6,2,"F",10,2,10,,,"2 072822 6 1",0,2022,7,28,"Private",515903,130,104,,"P5",
"Homer",,130,2022-07-28,6,3,"M",10,2,,,,"2 072822 6 2",0,2022,7,28,"Private",515903,130,89,,"P5",
"Homer",,130,2022-07-28,6,4,"",17,2,,,,"3 072822 6 3",0,2022,7,28,"Private",515903,130,117,,"P5",
"Homer",,130,2022-07-28,6,5,"",8,2,,,,"3 072822 6 4",0,2022,7,28,"Private",515903,130,93,,"P5",
"Homer",,130,2022-07-28,6,6,"M",13,2,12,,,"3 072822 6 5",0,2022,7,28,"Private",515903,130,92,,"P5",
"Homer",,130,2022-07-28,6,7,"F",8,2,8,,,"4 072822 6 6",0,2022,7,28,"Private",515903,130,98,,"P5",
"Homer",,130,2022-07-28,6,8,"F",8,2,,,,"4 072822 6 7",0,2022,7,28,"Private",515903,130,97,,"P5",
"Homer",,130,2022-07-28,6,9,"F",11,2,11,,,"4 072822 6 8",0,2022,7,28,"Private",515903,130,106,,"P5","1 oto"
"Homer",,130,2022-08-01,7,1,"F",18,2,,,,"2 080122 1 5",0,2022,8,1,"Charter",515903,130,120,,"CURRENT LADY",
"Homer",,130,2022-08-09,8,1,"F",17,2,16,,,"2 080922 2 1",1,2022,8,9,"Charter",525832,130,124,,"SEA HUNTER",
"Homer",,130,2022-08-09,8,2,"F",8,1,,,,"2 080922 2 2",1,2022,8,9,"Charter",525832,130,102,,"SEA HUNTER",
"Homer",,130,2022-08-09,8,3,"F",8,2,,,,"2 080922 2 3",1,2022,8,9,"Charter",525832,130,97,,"SEA HUNTER",
"Homer",,130,2022-08-09,8,4,"",8,2,,,,"2 080922 2 4",1,2022,8,9,"Charter",525832,130,92,,"SEA HUNTER",
"Homer",,130,2022-08-15,9,1,"F",17,2,,,,"2 081522 1 8",0,2022,8,15,"Charter",525834,130,111,,"SWEET T",
"Homer",,130,2022-08-16,10,1,"F",5,2,,,,"2 081622 5 11",0,2022,8,16,"Charter",525834,130,70,,"JOKER",
"Homer",,130,2022-08-16,10,2,"M",6,2,,,,"2 081622 5 12",0,2022,8,16,"Charter",525834,130,71,,"JOKER",
"Homer",,130,2022-08-16,10,3,"M",6,2,,,,"2 081622 5 13",0,2022,8,16,"Charter",525834,130,68,,"JOKER",
"Homer",,130,2022-08-16,10,4,"M",6,2,,,,"2 081622 5 14",0,2022,8,16,"Charter",525834,130,66,,"JOKER",
"Homer",,130,2022-08-16,10,5,"F",4,1,,,,"2 081622 5 15",0,2022,8,16,"Charter",525834,130,76,,"JOKER",
"Homer",,130,2022-08-16,10,6,"M",5,2,,,,"2 081622 5 16",0,2022,8,16,"Charter",525834,130,67,,"JOKER",
"Homer",,130,2022-08-16,10,7,"F",5,2,,,,"2 081622 5 17",0,2022,8,16,"Charter",525834,130,72,,"JOKER",
"Homer",,130,2022-08-16,10,8,"F",6,2,,,,"2 081622 5 18",0,2022,8,16,"Charter",525834,130,80,,"JOKER",
"Homer",,130,2022-08-16,10,9,"M",6,2,,,,"2 081622 5 19",0,2022,8,16,"Charter",525834,130,71,,"JOKER",
"Homer",,130,2022-08-16,10,10,"M",6,2,,,,"2 081622 5 20",0,2022,8,16,"Charter",525834,130,74,,"JOKER","1 otolith"
"Homer",,130,2022-08-16,10,11,"",5,2,,,,"2 081622 5 21",0,2022,8,16,"Charter",525834,130,70,,"JOKER",
"Homer",,130,2022-08-16,10,12,"M",6,2,,,,"2 081622 5 22",0,2022,8,16,"Charter",525834,130,66,,"JOKER",
"Homer",,130,2022-08-16,10,13,"M",6,2,,,,"2 081622 5 23",0,2022,8,16,"Charter",525834,130,66,,"JOKER",
"Kodiak",,130,2022-07-01,1,1,"M",3,2,3,,,"3 070122 1 1",,2022,7,1,"Charter",525733,130,70,3.3,"WILD LIFE",
"Kodiak",,130,2022-07-01,1,2,"M",10,2,10,,,"3 070122 1 2",,2022,7,1,"Charter",525733,130,90,6.8,"WILD LIFE",
"Kodiak",,130,2022-07-01,1,3,"M",5,2,6,,,"3 070122 1 3",,2022,7,1,"Charter",525733,130,73,3.9,"WILD LIFE",
"Kodiak",,130,2022-07-01,1,4,"M",6,2,6,,,"3 070122 1 4",,2022,7,1,"Charter",525733,130,73,4,"WILD LIFE",
"Kodiak",,130,2022-07-01,1,5,"M",6,2,6,,,"3 070122 1 5",,2022,7,1,"Charter",525733,130,69,3.2,"WILD LIFE",
"Kodiak",,130,2022-07-01,1,6,"F",6,2,6,,,"3 070122 1 6",,2022,7,1,"Charter",525733,130,80,52,"WILD LIFE","1 oto"
"Kodiak",,130,2022-07-01,1,7,"M",6,2,6,,,"3 070122 1 7",,2022,7,1,"Charter",525733,130,70,3,"WILD LIFE",
"Kodiak",,130,2022-07-01,1,8,"F",6,2,6,,,"3 070122 1 8",,2022,7,1,"Charter",525733,130,85,4.4,"WILD LIFE",
"Kodiak",,130,2022-07-01,1,9,"M",6,2,6,,,"3 070122 2 1",,2022,7,1,"Charter",525731,130,69,3.2,"U RASCAL",
"Kodiak",,130,2022-07-02,2,1,"M",5,2,5,,,"3 070222 1 1",,2022,7,2,"Charter",,130,75,4.4,"MOON SHADOW",
"Seward",,130,2022-07-09,1,1,"F",9,2,10,,,,0,2022,7,9,"Charter",485932,130,90,8,"YANICHKA",
"Seward",,130,2022-07-09,1,2,"F",21,1,,,,,0,2022,7,9,"Charter",485932,130,122,18,"YANICHKA",
"Seward",,130,2022-07-09,1,3,"F",26,1,,,,,0,2022,7,9,"Charter",485932,130,117,18.5,"YANICHKA",
"Seward",,130,2022-07-10,2,1,"F",17,2,,,,,0,2022,7,10,"Charter",485932,130,126,21.5,"TAILWATCHER","1 OTOLITH"
"Seward",,130,2022-07-10,2,2,"F",,,,,,,0,2022,7,10,"Charter",485932,130,107,13.5,"TAILWATCHER","NO FIN CLIP (MISSING REAR DORSAL FIN)"
"Seward",,130,2022-07-10,2,3,"F",,,,,,,0,2022,7,10,"Charter",485932,130,102,12,"TAILWATCHER","NO FIN CLIP (MISSING REAR DORSAL FIN)"
"Seward",,130,2022-07-10,2,4,"",,,,,,,0,2022,7,10,"Charter",485932,130,122,21.5,"TAILWATCHER","MISSING GONADS AND REAR DORSAL FIN (NO FIN CLIP)"
"Seward",,130,2022-07-10,2,5,"F",8,2,8,,,,0,2022,7,10,"Charter",475934,130,91,8.5,"YANICHKA",
"Seward",,130,2022-07-10,2,6,"F",6,1,,,,,0,2022,7,10,"Charter",475934,130,93,7.5,"YANICHKA",
"Seward",,130,2022-07-10,2,7,"F",12,2,,,,,0,2022,7,10,"Charter",475934,130,92,8.5,"YANICHKA",
"Seward",,130,2022-07-10,2,8,"F",15,2,,,,,0,2022,7,10,"Charter",475934,130,111,15,"YANICHKA",
"Seward",,130,2022-07-10,2,9,"F",12,2,,,,,0,2022,7,10,"Charter",475934,130,98,,"YANICHKA",
"Seward",,130,2022-07-10,2,10,"F",12,2,,,,,0,2022,7,10,"Private",495938,130,110,14,"P4","NO OTOS (KEPT HEAD)"
"Seward",,130,2022-07-10,2,11,"F",22,2,,,,,0,2022,7,10,"Private",495938,130,132,26,"P4","NO OTOS (KEPT HEAD)"
"Seward",,130,2022-07-12,3,1,"F",,,,,,,0,2022,7,12,"Charter",485932,130,129,22.5,"ORION","NO OTOLITHS   illegible"
"Seward",,130,2022-07-12,3,2,"F",10,2,,,,,1,2022,7,12,"Charter",485932,130,105,,"POLARIS","1 OTO"
"Seward",,130,2022-07-12,3,3,"F",17,2,,,,,1,2022,7,12,"Charter",485901,130,114,,"CRACKERJACK VOYAGER","1 OTO"
"Seward",,130,2022-07-12,3,4,"F",20,2,,,,,0,2022,7,12,"Charter",485932,130,111,14.5,"GRAY LIGHT",
"Seward",,130,2022-07-12,3,5,"F",14,2,,,,,0,2022,7,12,"Charter",485932,130,113,16,"GRAY LIGHT",
"Seward",,130,2022-07-12,3,6,"F",10,2,10,,,,0,2022,7,12,"Charter",485932,130,96,8.5,"GRAY LIGHT","1 OTO"
"Seward",,130,2022-07-12,3,7,"F",10,2,,,,,0,2022,7,12,"Charter",485932,130,97,10,"GRAY LIGHT","1 OTO"
"Seward",,130,2022-07-12,3,8,"F",14,2,,,,,0,2022,7,12,"Charter",485932,130,103,12,"GRAY LIGHT",
"Seward",,130,2022-07-12,3,9,"F",23,1,,,,,0,2022,7,12,"Charter",475932,130,120,20,"CRACKERJACK",
"Seward",,130,2022-07-12,3,10,"F",17,1,,,,,0,2022,7,12,"Charter",475932,130,111,14.5,"CRACKERJACK",
"Seward",,130,2022-07-12,3,11,"F",19,2,,,,,0,2022,7,12,"Charter",475932,130,120,17,"CRACKERJACK",
"Seward",,130,2022-07-12,3,12,"F",23,2,,,,,0,2022,7,12,"Charter",475932,130,121,24,"CRACKERJACK",
"Seward",,130,2022-07-12,3,13,"F",24,1,,,,,0,2022,7,12,"Charter",475932,130,123,15,"CRACKERJACK","NO OTOS"
"Seward",,130,2022-07-12,3,14,"F",16,2,16,,,,0,2022,7,12,"Charter",475932,130,107,12.5,"CRACKERJACK","NO OTOS"
"Seward",,130,2022-07-12,3,15,"F",13,2,,,,,0,2022,7,12,"Charter",485932,130,111,16,"HARVESTER","1 OTO"
"Seward",,130,2022-07-12,3,16,"F",15,2,,,,,0,2022,7,12,"Charter",485932,130,109,10,"HARVESTER",
"Seward",,130,2022-07-12,3,17,"M",9,2,10,,,,0,2022,7,12,"Charter",485932,130,94,8.5,"HARVESTER",
"Seward",,130,2022-07-12,3,18,"F",10,2,,,,,0,2022,7,12,"Charter",,130,100,,"CURRENT AFFAIR","NO OTOS"
"Seward",,130,2022-07-12,3,19,"F",16,2,,,,,0,2022,7,12,"Charter",,130,108,12,"CURRENT AFFAIR","NO OTOS"
"Seward",,130,2022-07-12,3,20,"F",12,2,,,,,0,2022,7,12,"Charter",,130,109,13,"CURRENT AFFAIR","NO OTOS"
"Seward",,130,2022-07-12,3,21,"M",12,2,,,,,0,2022,7,12,"Charter",,130,91,9.5,"CURRENT AFFAIR","NO OTOS"
"Seward",,130,2022-07-12,3,22,"M",16,2,,,,,0,2022,7,12,"Charter",,130,94,9.5,"CURRENT AFFAIR","NO OTOS"
"Seward",,130,2022-07-12,3,23,"F",12,2,12,,,,0,2022,7,12,"Private",495939,130,109,13.5,"P1",
"Seward",,130,2022-07-13,4,1,"F",8,2,,,,,1,2022,7,13,"Charter",495932,130,95,,"PREDATOR",
"Seward",,130,2022-07-13,4,2,"F",14,2,,,,,1,2022,7,13,"Charter",495932,130,104,,"PREDATOR",
"Seward",,130,2022-07-13,4,3,"F",8,2,,,,,1,2022,7,13,"Charter",495932,130,97,,"PREDATOR",
"Seward",,130,2022-07-13,4,4,"M",15,1,,,,,1,2022,7,13,"Charter",495932,130,94,,"PREDATOR",
"Seward",,130,2022-07-13,4,5,"M",,,,,,,0,2022,7,13,"Private",496001,130,91,,"P2","DEFORMED FIN illegible"
"Seward",,130,2022-07-13,4,6,"F",10,2,10,,,,1,2022,7,13,"Private",495932,130,103,,"P3",
"Seward",,130,2022-07-21,5,1,"F",10,2,,,,,0,2022,7,21,"Charter",485932,130,107,,"PURSUIT",
"Seward",,130,2022-07-21,5,2,"F",20,2,20,,,,0,2022,7,21,"Charter",475933,130,121,,"HARVESTER",
"Seward",,130,2022-07-21,5,3,"F",20,1,,,,,0,2022,7,21,"Charter",485935,130,117,,"NAUTI GIRL",
"Seward",,130,2022-07-25,6,1,"F",16,2,,,,"4 072522 1 2",0,2022,7,25,"Charter",495938,130,112,,"OUTER COAST","no oto"
"Seward",,130,2022-07-25,6,2,"F",14,1,,,,"4 072522 1 3",0,2022,7,25,"Charter",495938,130,109,,"OUTER COAST","1 oto"
"Seward",,130,2022-07-25,6,3,"F",10,2,,,,"4 072522 1 9",0,2022,7,25,"Private",495932,130,106,,"P1",
"Seward",,130,2022-07-28,7,1,"F",15,2,15,,,"4 072822 2 20",1,2022,7,28,"Charter",475934,130,114,,"ARCTIC CAT","NO OTOLITHS"
