"YEAR","PORT","MONTH","DAY","SUB","SP","SPECIES","DATE","PAGE","LINE","SAMPLEID","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","CAS","USER","BOATNAME","STATAREA","COMMENTS"
2024,"Homer",7,2,,130,130,2024-07-02,1,1,"2 070224 1 5","F",90,6.6,8,,2,,0,"Charter","MAJESTIC","515832","1 oto"
2024,"Homer",7,2,,130,130,2024-07-02,1,2,"2 070224 1 31","F",88,,8,,2,,0,"Charter","MAJESTIC","515832","one oto"
2024,"Homer",7,2,,130,130,2024-07-02,1,3,"2 070224 1 32","M",95,,8,,2,,0,"Charter","MAJESTIC","515832",
2024,"Homer",7,2,,130,130,2024-07-02,1,4,"2 070224 1 33","F",93,8,8,,2,,0,"Charter","MAJESTIC","515832",
2024,"Homer",7,2,,130,130,2024-07-02,1,5,"2 070224 1 36","F",97,,8,,2,,0,"Charter","MAJESTIC","515832",
2024,"Homer",7,2,,130,130,2024-07-02,1,6,"2 070224 1 37","F",94,,8,,2,,0,"Charter","MAJESTIC","515832",
2024,"Homer",7,2,,130,130,2024-07-02,1,7,"2 070224 1 38","F",95,,8,,2,,0,"Charter","MAJESTIC","515832",
2024,"Homer",7,2,,130,130,2024-07-02,1,8,"2 070224 1 39","F",103,,9,,2,,0,"Charter","MAJESTIC","515832",
2024,"Homer",7,3,,130,130,2024-07-03,2,1,,"M",94,,11,,2,,0,"Private","P1","515903","no otos"
2024,"Homer",7,3,,130,130,2024-07-03,2,2,,"F",91,,10,,2,,0,"Private","P1","515903","no otos"
2024,"Homer",7,3,,130,130,2024-07-03,2,3,,"F",97,,8,,2,,0,"Private","P1","515903","no otos"
2024,"Homer",7,3,,130,130,2024-07-03,2,4,,"F",85,,9,,2,,0,"Private","P1","515903","no otos"
2024,"Homer",7,3,,130,130,2024-07-03,2,5,,"F",93,,8,8,2,,0,"Private","P1","515903","no otos"
2024,"Homer",7,3,,130,130,2024-07-03,2,6,,"F",91,,8,,2,,0,"Private","P1","515903","no otos"
2024,"Homer",7,3,,130,130,2024-07-03,2,7,,"F",104,,10,10,2,,0,"Private","P1","515903","no otos"
2024,"Homer",7,9,,130,130,2024-07-09,3,1,"2 070924 6 1","M",88,,11,,2,,1,"Charter","SIZZLER","525931",
2024,"Homer",7,19,,130,130,2024-07-19,4,1,,"F",97,9,9,,2,,0,"Charter","DAZE OFF","515906","BROKEN OTO"
2024,"Homer",7,19,,130,130,2024-07-19,4,2,,"F",97,,8,,2,,0,"Charter","DAZE OFF","515906","BROKEN OTO"
2024,"Homer",7,19,,130,130,2024-07-19,4,3,,"F",110,,12,,2,,0,"Private","P1","505903","no otos"
2024,"Homer",7,19,,130,130,2024-07-19,4,4,,"F",124,,17,,2,,0,"Private","P1","505903","no otos"
2024,"Homer",7,19,,130,130,2024-07-19,4,5,,"F",133,,23,,1,,0,"Private","P1","505903","no otos"
2024,"Homer",7,19,,130,130,2024-07-19,4,6,,"F",114,,11,,2,,0,"Private","P1","505903","1 OTO"
2024,"Homer",7,19,,130,130,2024-07-19,4,7,,"F",101,10.5,10,11,1,,0,"Private","P1","505903","1 BROKEN OTO"
2024,"Homer",7,19,,130,130,2024-07-19,4,8,,"F",104,12.5,10,,2,,0,"Private","P1","505903","1 OTO"
2024,"Homer",7,19,,130,130,2024-07-19,4,9,,"F",108,,10,11,2,,0,"Private","P1","505903","1 BROKEN OTO"
2024,"Homer",7,19,,130,130,2024-07-19,4,10,,"M",96,,12,,2,,0,"Private","P1","505903","1 OTO"
2024,"Homer",7,23,,130,130,2024-07-23,5,1,"2 072324 2 1","F",93,,9,8,2,,1,"Charter","MAJESTIC","515831",
2024,"Homer",7,23,,130,130,2024-07-23,5,2,"2 072324 2 2","F",105,,10,,2,,1,"Charter","MAJESTIC","515831",
2024,"Homer",7,23,,130,130,2024-07-23,5,3,"2 072324 2 3","F",92,,8,,2,,1,"Charter","MAJESTIC","515831",
2024,"Homer",7,23,,130,130,2024-07-23,5,4,"2 072324 2 4","F",91,,9,,2,,1,"Charter","MAJESTIC","515831",
2024,"Homer",7,23,,130,130,2024-07-23,5,5,"2 072324 2 5","F",92,,9,,2,,1,"Charter","MAJESTIC","515831",
2024,"Homer",7,23,,130,130,2024-07-23,5,6,"2 072324 2 6","F",86,,8,,2,,1,"Charter","MAJESTIC","515831",
2024,"Homer",7,23,,130,130,2024-07-23,5,7,"2 072324 2 7","F",90,,8,,2,,1,"Charter","MAJESTIC","515831","BROKEN OTO"
2024,"Homer",8,16,,130,130,2024-08-16,6,1,,"",81,5,8,,2,,0,"Charter","CASINO","525834",
2024,"Homer",8,16,,130,130,2024-08-16,6,2,,"",79,5,8,,2,,0,"Charter","CASINO","525834",
