"","AREA","SITE","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","LENGTH","WEIGHT","AGE","STATAREA","FL","AGECONF","RARE","AGE2","PORT","USER"
"1",161,2,1991,6,18,0,1,130,"",73.5,NA,8,NA,NA,NA,"",NA,"Seward","Unknown"
"2",161,2,1991,6,18,0,2,130,"",86.7,NA,8,NA,NA,NA,"",NA,"Seward","Unknown"
"3",161,2,1991,6,18,0,3,130,"",109.5,NA,13,NA,NA,NA,"",NA,"Seward","Unknown"
"4",161,2,1991,6,18,0,4,130,"",89.4,NA,12,NA,NA,NA,"",NA,"Seward","Unknown"
"5",161,2,1991,6,18,0,5,130,"",85,NA,8,NA,NA,NA,"",NA,"Seward","Unknown"
"6",161,2,1991,6,18,0,6,130,"",105.3,NA,10,NA,NA,NA,"",NA,"Seward","Unknown"
"7",161,2,1991,6,18,0,7,130,"",104,NA,9,NA,NA,NA,"",NA,"Seward","Unknown"
"8",161,2,1991,6,18,0,8,130,"",99,NA,10,NA,NA,NA,"",NA,"Seward","Unknown"
"9",161,2,1991,6,18,0,9,130,"",110.1,NA,12,NA,NA,NA,"",NA,"Seward","Unknown"
"10",161,2,1991,6,18,0,10,130,"",119.1,NA,13,NA,NA,NA,"",NA,"Seward","Unknown"
"11",161,2,1991,6,18,0,11,130,"",90.9,NA,12,NA,NA,NA,"",NA,"Seward","Unknown"
"12",161,2,1991,6,18,0,12,130,"",109,NA,10,NA,NA,NA,"",NA,"Seward","Unknown"
"13",161,2,1991,6,18,0,13,130,"",103.5,NA,8,NA,NA,NA,"",NA,"Seward","Unknown"
"14",161,2,1991,6,18,0,14,130,"",77.6,NA,6,NA,NA,NA,"",NA,"Seward","Unknown"
"15",161,2,1991,6,18,0,15,130,"",115,NA,13,NA,NA,NA,"",NA,"Seward","Unknown"
"16",161,2,1991,6,18,0,16,130,"",106,NA,9,NA,NA,NA,"",NA,"Seward","Unknown"
"17",161,2,1991,6,18,0,17,130,"",88.5,NA,9,NA,NA,NA,"",NA,"Seward","Unknown"
"18",161,2,1991,6,18,0,18,130,"",90.8,NA,9,NA,NA,NA,"",NA,"Seward","Unknown"
"19",161,2,1991,6,18,0,19,130,"",90,NA,9,NA,NA,NA,"",NA,"Seward","Unknown"
