"AREA","SITE","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","MATURITY","LENGTH","WEIGHT","AGE","AGECONF","STATAREA","SPECIES","PORT","USER","ASSEMB","sasdate"
161,3,2002,5,19,1,1,142,"F",3,47,1.7,9,NA,515907,"Black","Homer","Private","Pelagic",2002-05-19
161,3,2002,5,19,1,2,142,"M",3,50,2,NA,NA,515907,"Black","Homer","Private","Pelagic",2002-05-19
161,3,2002,5,24,2,1,142,"M",3,49,NA,24,NA,515907,"Black","Homer","Charter","Pelagic",2002-05-24
161,3,2002,5,24,2,2,142,"M",3,45,NA,NA,NA,515907,"Black","Homer","Charter","Pelagic",2002-05-24
161,3,2002,5,24,2,3,142,"F",6,53,NA,12,NA,515907,"Black","Homer","Charter","Pelagic",2002-05-24
161,3,2002,5,25,3,1,142,"F",4,47,NA,10,NA,515907,"Black","Homer","Private","Pelagic",2002-05-25
161,3,2002,5,25,3,2,142,"M",4,37,NA,7,NA,515907,"Black","Homer","Private","Pelagic",2002-05-25
161,3,2002,5,25,3,3,142,"F",7,44,NA,7,NA,515907,"Black","Homer","Charter","Pelagic",2002-05-25
161,3,2002,5,25,3,4,142,"M",3,45,NA,9,NA,515907,"Black","Homer","Charter","Pelagic",2002-05-25
161,3,2002,5,25,3,5,142,"F",7,39,NA,6,NA,515907,"Black","Homer","Charter","Pelagic",2002-05-25
161,3,2002,5,25,3,6,142,"F",7,44,NA,8,NA,515907,"Black","Homer","Charter","Pelagic",2002-05-25
161,3,2002,5,25,3,7,142,"F",7,44,NA,NA,NA,515903,"Black","Homer","Charter","Pelagic",2002-05-25
161,3,2002,5,25,3,8,142,"M",3,46,NA,8,NA,515903,"Black","Homer","Charter","Pelagic",2002-05-25
161,3,2002,5,25,3,9,142,"F",7,46,NA,8,NA,515903,"Black","Homer","Charter","Pelagic",2002-05-25
161,3,2002,5,25,3,10,142,"",NA,46,NA,8,NA,515903,"Black","Homer","Charter","Pelagic",2002-05-25
