"AREA","SITE","SUBLOC","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","MATURITY","LENGTH","WEIGHT","AGE","AGECONF","STATAREA","SPECIES","PORT","USER","ASSEMB","sasdate"
161,3,NA,2004,5,24,1,1,142,"F",NA,56,2.7,13,3,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,5,24,1,2,142,"F",NA,54,NA,12,3,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,5,24,1,3,142,"F",NA,49,2.1,13,3,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,5,24,1,4,142,"M",NA,52,2.4,13,3,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,5,24,1,5,142,"M",NA,57,NA,23,2,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,5,24,1,6,142,"M",NA,50,2.1,12,3,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,5,24,1,7,142,"M",NA,53,NA,13,3,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,5,24,1,8,142,"M",NA,51,NA,16,1,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,5,24,1,9,142,"",NA,53,2.3,13,2,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,5,24,1,10,142,"M",NA,53,2.5,23,2,515905,"Black","Homer","Charter","Pelagic",2004-05-24
161,3,NA,2004,6,14,2,1,142,"F",NA,52,2.4,16,3,515903,"Black","Homer","Private","Pelagic",2004-06-14
161,3,NA,2004,6,14,2,2,142,"M",NA,55,2.5,13,2,515903,"Black","Homer","Private","Pelagic",2004-06-14
161,3,NA,2004,6,21,3,1,142,"F",NA,57,3.1,19,2,515905,"Black","Homer","Charter","Pelagic",2004-06-21
161,3,NA,2004,6,21,3,2,142,"",NA,63,NA,20,2,515831,"Black","Homer","Charter","Pelagic",2004-06-21
161,3,NA,2004,6,24,4,1,142,"M",NA,47,NA,11,2,515935,"Black","Homer","Private","Pelagic",2004-06-24
161,3,NA,2004,7,1,5,1,142,"F",NA,52,2.5,13,2,515903,"Black","Homer","Charter","Pelagic",2004-07-01
161,3,NA,2004,7,1,5,2,142,"M",NA,54,2.8,29,2,515903,"Black","Homer","Charter","Pelagic",2004-07-01
161,3,NA,2004,7,1,5,3,142,"F",NA,57,2.9,12,2,515903,"Black","Homer","Charter","Pelagic",2004-07-01
161,3,NA,2004,7,1,5,4,142,"F",NA,51,2.5,NA,NA,515903,"Black","Homer","Charter","Pelagic",2004-07-01
