"AREA","SITE","SUBLOC","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","MATURITY","LENGTH","WEIGHT","AGE","AGECONF","STATAREA","SPECIES","PORT","USER","ASSEMB"
161,3,NA,2006,5,23,1,1,142,"M",NA,NA,NA,16,2,NA,"Black","Homer","Unknown","Pelagic"
161,3,NA,2006,5,23,2,1,142,"M",NA,52,2.2,15,2,515936,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,23,2,2,142,"M",NA,51,2,15,2,515937,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,23,2,3,142,"M",NA,59,2.9,17,2,515905,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,30,3,1,142,"M",NA,56,2.6,25,1,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,30,3,2,142,"F",NA,55,2.4,15,2,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,30,3,3,142,"M",NA,55,2.8,13,1,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,31,4,1,142,"F",NA,54,NA,16,2,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,31,4,2,142,"M",NA,55,NA,17,2,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,31,4,4,142,"F",NA,49,NA,15,2,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,31,4,5,142,"F",NA,48,NA,8,2,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,31,4,6,142,"M",NA,53,NA,22,1,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,5,31,4,7,142,"M",NA,53,NA,33,1,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,6,1,5,1,142,"F",NA,54,2.4,15,2,515906,"Black","Homer","Private","Pelagic"
161,3,NA,2006,6,1,5,2,142,"F",NA,52,2.2,15,2,515906,"Black","Homer","Private","Pelagic"
161,3,NA,2006,6,1,5,3,142,"F",NA,54,2.4,15,2,515906,"Black","Homer","Private","Pelagic"
161,3,NA,2006,6,1,5,4,142,"M",NA,51,2.2,31,2,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,6,5,6,1,142,"M",NA,51,NA,10,2,515937,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,6,10,7,1,142,"F",NA,46,1.6,12,2,515907,"Black","Homer","Private","Pelagic"
161,3,NA,2006,6,10,7,2,142,"M",NA,50,2.2,13,2,525901,"Black","Homer","Private","Pelagic"
161,3,NA,2006,6,10,7,3,142,"F",NA,48,2,10,2,515906,"Black","Homer","Charter","Pelagic"
161,3,NA,2006,6,29,8,1,142,"M",NA,49,1.8,10,2,525901,"Black","Homer","Charter","Pelagic"
