"PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB","sasdate"
"Whittier",149,2008-07-13,22,24,"M",30,1.5,31,NA,2,"","Charter","AK4STAR",485932,2008,7,13,NA,"China","Demersal",2008-07-13
"Whittier",149,2008-07-20,27,19,"M",41,1.5,25,NA,2,"","Private","",466003,2008,7,20,NA,"China","Demersal",2008-07-20
"Whittier",149,2008-08-26,50,17,"M",43,1,32,NA,2,"","Private","",476032,2008,8,26,NA,"China","Demersal",2008-08-26
"Whittier",138,2008-06-28,11,2,"M",38,1.2,10,NA,2,"","Charter","JAX MAX",476003,2008,6,28,NA,"Copper","Demersal",2008-06-28
"Whittier",138,2008-06-28,11,41,"",43,1.9,22,NA,2,"","Private","",476007,2008,6,28,NA,"Copper","Demersal",2008-06-28
"Whittier",138,2008-06-30,13,14,"",40,1,NA,NA,NA,"","Private","",476031,2008,6,30,NA,"Copper","Demersal",2008-06-30
"Whittier",138,2008-07-05,16,27,"M",39,NA,27,NA,3,"","Charter","SEA CHASE",476007,2008,7,5,NA,"Copper","Demersal",2008-07-05
"Whittier",138,2008-07-21,28,11,"",34,0.8,17,NA,2,"","Private","",486033,2008,7,21,NA,"Copper","Demersal",2008-07-21
"Whittier",138,2008-07-25,29,10,"",43,NA,17,NA,2,"","Private","",476004,2008,7,25,NA,"Copper","Demersal",2008-07-25
"Whittier",138,2008-07-26,30,17,"M",32,0.9,11,NA,2,"","Private","",476004,2008,7,26,NA,"Copper","Demersal",2008-07-26
"Whittier",138,2008-08-02,34,19,"F",39,1.1,22,NA,2,"","Private","",486031,2008,8,2,NA,"Copper","Demersal",2008-08-02
"Whittier",138,2008-08-03,35,24,"",42,1.6,20,NA,2,"","Private","",476032,2008,8,3,NA,"Copper","Demersal",2008-08-03
"Whittier",138,2008-08-03,35,25,"M",38,1.2,14,NA,2,"","Private","",476032,2008,8,3,NA,"Copper","Demersal",2008-08-03
"Whittier",138,2008-08-03,35,26,"F",36,1.1,10,NA,1,"","Private","",476032,2008,8,3,NA,"Copper","Demersal",2008-08-03
"Whittier",138,2008-08-04,36,16,"F",36,NA,12,NA,2,"","Private","",476003,2008,8,4,NA,"Copper","Demersal",2008-08-04
"Whittier",138,2008-08-04,36,17,"F",34,NA,16,NA,2,"","Private","",476003,2008,8,4,NA,"Copper","Demersal",2008-08-04
"Whittier",138,2008-08-06,38,9,"F",42,1.5,28,NA,1,"","Private","",476034,2008,8,6,NA,"Copper","Demersal",2008-08-06
"Whittier",138,2008-08-09,39,16,"",33,0.8,11,NA,2,"","Private","",476006,2008,8,9,NA,"Copper","Demersal",2008-08-09
"Whittier",138,2008-08-09,39,17,"M",38,1.2,14,NA,2,"","Private","",476033,2008,8,9,NA,"Copper","Demersal",2008-08-09
"Whittier",138,2008-08-09,39,18,"F",33,0.8,7,NA,2,"","Private","",476102,2008,8,9,NA,"Copper","Demersal",2008-08-09
"Whittier",138,2008-08-10,40,32,"F",33,0.8,10,NA,2,"","Private","",476006,2008,8,10,NA,"Copper","Demersal",2008-08-10
"Whittier",138,2008-08-11,41,6,"F",40,NA,14,NA,2,"","Private","",486031,2008,8,11,NA,"Copper","Demersal",2008-08-11
"Whittier",138,2008-08-18,44,7,"M",43,0.9,28,NA,2,"","Private","",476031,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-18,44,33,"",42,NA,27,NA,1,"","Private","",476006,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-18,44,34,"M",39,0.6,14,NA,2,"","Private","",476006,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-18,44,42,"M",48,1.4,27,NA,2,"","Private","",476031,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-18,44,43,"M",45,1.2,23,NA,2,"","Private","",476031,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-18,44,44,"M",40,NA,32,NA,2,"","Private","",476031,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-18,44,45,"",36,0.6,17,NA,2,"","Private","",476033,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-18,44,46,"",33,0.6,12,NA,2,"","Private","",476033,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-18,44,47,"M",33,0.5,11,NA,2,"","Private","",476033,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-18,44,48,"F",33,0.6,11,NA,2,"","Private","",476033,2008,8,18,NA,"Copper","Demersal",2008-08-18
"Whittier",138,2008-08-19,45,34,"M",49,1.6,25,NA,2,"","Private","",476009,2008,8,19,NA,"Copper","Demersal",2008-08-19
"Whittier",138,2008-08-23,47,14,"F",NA,NA,35,NA,2,"","Private","",476007,2008,8,23,NA,"Copper","Demersal",2008-08-23
"Whittier",138,2008-08-23,47,15,"F",41,NA,18,NA,2,"","Private","",476007,2008,8,23,NA,"Copper","Demersal",2008-08-23
"Whittier",138,2008-08-24,48,12,"",32,0.4,NA,NA,NA,"","Private","",486033,2008,8,24,NA,"Copper","Demersal",2008-08-24
"Whittier",138,2008-08-24,48,13,"F",43,1,18,NA,2,"","Private","",486031,2008,8,24,NA,"Copper","Demersal",2008-08-24
"Whittier",138,2008-08-27,51,1,"F",35,0.5,13,NA,1,"","Private","",486033,2008,8,27,NA,"Copper","Demersal",2008-08-27
"Whittier",138,2008-08-30,52,19,"M",35,0.5,10,NA,2,"","Private","",476036,2008,8,30,NA,"Copper","Demersal",2008-08-30
"Whittier",173,2008-07-05,16,18,"M",36,NA,21,NA,1,"","Private","",476007,2008,7,5,NA,"Dark","Pelagic",2008-07-05
"Whittier",173,2008-07-05,16,19,"",36,NA,7,NA,2,"","Private","",476007,2008,7,5,NA,"Dark","Pelagic",2008-07-05
"Whittier",173,2008-07-05,16,20,"M",36,NA,28,NA,2,"","Private","",476007,2008,7,5,NA,"Dark","Pelagic",2008-07-05
"Whittier",173,2008-07-05,16,21,"M",34,NA,31,NA,2,"","Private","",476007,2008,7,5,NA,"Dark","Pelagic",2008-07-05
"Whittier",173,2008-07-05,16,28,"",38,1.1,14,NA,2,"","Private","",476007,2008,7,5,NA,"Dark","Pelagic",2008-07-05
"Whittier",173,2008-07-05,16,33,"",38,1.1,35,NA,1,"","Private","",476007,2008,7,5,NA,"Dark","Pelagic",2008-07-05
"Whittier",172,2008-06-16,5,22,"",41,NA,11,NA,2,"","Private","",476031,2008,6,16,NA,"Dusky","Pelagic",2008-06-16
"Whittier",172,2008-06-17,6,13,"F",36,1.1,16,NA,2,"","Charter","",476004,2008,6,17,NA,"Dusky","Pelagic",2008-06-17
"Whittier",172,2008-06-17,6,14,"M",41,1.3,17,NA,2,"","Charter","",476004,2008,6,17,NA,"Dusky","Pelagic",2008-06-17
"Whittier",172,2008-06-18,8,7,"M",52,NA,18,NA,2,"","Charter","",476009,2008,6,18,NA,"Dusky","Pelagic",2008-06-18
"Whittier",172,2008-07-06,17,35,"M",45,NA,30,NA,2,"","Charter","SEA CHASE",476006,2008,7,6,NA,"Dusky","Pelagic",2008-07-06
"Whittier",172,2008-07-20,27,17,"F",46,1.5,NA,NA,NA,"","Private","",476003,2008,7,20,NA,"Dusky","Pelagic",2008-07-20
"Whittier",172,2008-07-20,27,18,"F",51,2,31,NA,1,"","Private","",476003,2008,7,20,NA,"Dusky","Pelagic",2008-07-20
"Whittier",172,2008-07-20,27,20,"M",42,1.3,20,NA,2,"","Private","",476006,2008,7,20,NA,"Dusky","Pelagic",2008-07-20
"Whittier",172,2008-07-21,28,10,"F",38,0.9,30,NA,2,"","Private","",486033,2008,7,21,NA,"Dusky","Pelagic",2008-07-21
