"PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB"
"CCI",142,2014-07-14,1,1,"F",54,NA,14,NA,2,"","Charter","HIGHLINER",515903,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,2,"F",53,NA,12,NA,2,"","Charter","HIGHLINER",515903,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,3,"F",57,NA,17,17,2,"","Charter","HIGHLINER",515903,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,4,"M",56,NA,32,NA,2,"","Charter","HIGHLINER",515903,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,5,"M",58,NA,32,32,2,"","Charter","HIGHLINER",515903,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,6,"M",49,NA,12,NA,2,"","Charter","HIGHLINER",515903,2014,7,14,NA,"Black","Pelagic"
"CCI",154,2014-07-14,1,1,"M",45,NA,29,NA,2,"","Charter","HIGHLINER",515903,2014,7,14,NA,"DuskyDrk","Pelagic"
"CCI",142,2014-07-14,1,8,"M",58,NA,35,NA,2,"","Charter","HIGHLINER",515903,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,9,"M",54,NA,33,NA,2,"","Charter","GHOST",525901,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,10,"M",53,NA,18,NA,2,"","Charter","GHOST",525901,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,11,"M",54,NA,18,NA,2,"","Charter","GHOST",525901,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,12,"M",46,NA,11,NA,2,"","Charter","GHOST",525901,2014,7,14,NA,"Black","Pelagic"
"CCI",142,2014-07-14,1,13,"M",59,NA,35,35,2,"","Charter","GHOST",525901,2014,7,14,NA,"Black","Pelagic"
"CCI",154,2014-07-14,1,2,"F",42,NA,13,NA,2,"","Charter","GHOST",525901,2014,7,14,NA,"DuskyDrk","Pelagic"
"CCI",142,2014-07-14,1,15,"F",54,NA,14,NA,2,"","Charter","GHOST",525901,2014,7,14,NA,"Black","Pelagic"
"CCI",145,2014-07-14,1,1,"M",50,NA,18,NA,2,"","Charter","HIGHLINER",515903,2014,7,14,NA,"Yelleye","Demersal"
"CCI",145,2014-07-14,1,2,"M",69,NA,24,24,2,"","Charter","GHOST",525901,2014,7,14,NA,"Yelleye","Demersal"
