"PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB"
"Kodiak",142,2015-05-30,1,1,"M",54,2.6,35,NA,1,"","Private","P3",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,2,"M",52,2.4,36,NA,2,"","Private","P3",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,3,"M",55,2.5,36,NA,2,"","Private","P3",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,4,"M",53,NA,24,NA,2,"","Private","P4",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,5,"M",45,NA,10,10,2,"","Private","P4",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,6,"",53,NA,13,13,2,"","Private","P4",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,7,"M",51,NA,11,NA,2,"","Private","P4",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,8,"F",52,NA,13,NA,2,"","Private","P4",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,9,"M",53,NA,19,NA,2,"","Private","P4",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,10,"M",50,NA,17,NA,1,"","Private","P4",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,11,"M",49,NA,24,25,2,"","Private","P4",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-30,1,12,"M",49,NA,13,NA,2,"","Private","P5",525733,NA,2015,5,30,NA,"Black","Pelagic"
"Kodiak",142,2015-05-31,2,1,"F",57,2.4,NA,NA,NA,"","Private","P1",525733,NA,2015,5,31,NA,"Black","Pelagic"
"Kodiak",142,2015-05-31,2,2,"F",48,1.8,11,NA,2,"","Private","P1",525733,NA,2015,5,31,NA,"Black","Pelagic"
"Kodiak",142,2015-05-31,2,3,"M",50,2.3,27,NA,1,"","Private","P1",525733,NA,2015,5,31,NA,"Black","Pelagic"
"Kodiak",142,2015-05-31,2,4,"F",55,2.4,13,NA,2,"","Private","P1",525733,NA,2015,5,31,NA,"Black","Pelagic"
"Kodiak",142,2015-05-31,2,5,"M",51,2.2,19,NA,2,"","Private","P1",525733,NA,2015,5,31,NA,"Black","Pelagic"
"Kodiak",142,2015-05-31,2,6,"F",54,NA,13,NA,2,"","Private","P1",525733,NA,2015,5,31,NA,"Black","Pelagic"
"Kodiak",142,2015-05-31,2,7,"M",48,NA,19,NA,2,"","Private","P4",525733,NA,2015,5,31,NA,"Black","Pelagic"
"Kodiak",142,2015-05-31,2,8,"M",46,NA,13,NA,2,"","Private","P4",525733,NA,2015,5,31,NA,"Black","Pelagic"
"Kodiak",142,2015-05-31,2,9,"M",52,NA,25,NA,2,"","Private","P4",525733,NA,2015,5,31,NA,"Black","Pelagic"
