"PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","FORK_LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB"
"CCI",142,2019-05-19,1,1,"M",29,28,NA,5,5,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,2,"M",30,29,NA,5,5,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,3,"M",32,31,NA,5,5,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,4,"F",40,39,NA,5,5,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,5,"F",39,38,NA,5,6,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,6,"F",33,32,NA,5,5,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,7,"F",31,30,NA,5,5,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,8,"F",40,39,NA,NA,NA,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,9,"F",33,32,NA,5,5,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,10,"M",42,41,NA,NA,NA,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-05-19,1,11,"M",39,38,NA,7,7,NA,"","Charter","MISS RENE",515937,NA,2019,5,19,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,1,"F",38,37,NA,6,6,NA,"","Charter","MISS RENE",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,2,"F",36,35,NA,NA,NA,NA,"","Charter","MISS RENE",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,3,"F",40,39,NA,5,5,NA,"","Charter","MISS RENE",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,4,"F",41,40,NA,5,5,NA,"","Charter","MISS RENE",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,5,"F",35,34,NA,9,9,NA,"","Charter","MISS RENE",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,6,"F",38,37,NA,5,5,NA,"","Charter","MISS RENE",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,7,"M",38,37,NA,9,9,NA,"","Charter","MISS RENE",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,8,"M",41,40,NA,6,6,NA,"","Charter","MISS RENE",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,9,"M",39,38,NA,5,5,NA,"","Charter","MISS RENE",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,10,"F",38,37,NA,5,5,NA,"","Charter","LUCKY T",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,11,"F",37,36,NA,5,5,NA,"","Charter","LUCKY T",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,12,"M",38,37,NA,5,5,NA,"","Charter","LUCKY T",525931,NA,2019,6,8,NA,"Black","Pelagic"
"CCI",142,2019-06-08,2,13,"M",36,35,NA,5,5,NA,"","Charter","LUCKY T",525931,NA,2019,6,8,NA,"Black","Pelagic"
"Homer",142,2019-05-10,1,1,"",NA,NA,1,5,NA,NA,"","Charter","DIAMOND CAPE",515907,NA,2019,5,10,NA,"Black","Pelagic"
"Homer",142,2019-05-11,2,1,"F",35,34,1,5,NA,NA,"","Private","P4",515907,NA,2019,5,11,NA,"Black","Pelagic"
"Homer",142,2019-05-11,2,2,"M",36,35,1,NA,NA,NA,"","Private","P4",515907,NA,2019,5,11,NA,"Black","Pelagic"
"Homer",142,2019-05-11,2,3,"F",33,32,0.8,5,NA,NA,"","Private","P4",515907,NA,2019,5,11,NA,"Black","Pelagic"
"Homer",142,2019-05-11,2,4,"M",29,29,NA,NA,NA,NA,"","Charter","OCEAN PREDATOR",515907,NA,2019,5,11,NA,"Black","Pelagic"
"Homer",142,2019-05-15,3,1,"",NA,NA,1,5,NA,NA,"","Private","P5",515936,NA,2019,5,15,NA,"Black","Pelagic"
"Homer",142,2019-05-15,3,2,"F",35,34,1,5,NA,NA,"","Private","P5",515936,NA,2019,5,15,NA,"Black","Pelagic"
"Homer",142,2019-05-15,3,3,"M",34,33,1,6,6,NA,"","Private","P5",515936,NA,2019,5,15,NA,"Black","Pelagic"
