"PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","GENETICS_CARD_NUM","GENETICS_SLOT_NUM","GONAD_SAMPLE","SAMPLEID","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB"
"Homer",138,2021-05-10,1,1,"F",32,0.4,NA,NA,NA,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Copper","Demersal"
"Homer",138,2021-05-10,1,2,"F",29,0.3,NA,NA,NA,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Copper","Demersal"
"Homer",142,2021-05-08,1,1,"",39,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,2,"",39,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,3,"",44,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,4,"M",40,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,5,"M",40,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,6,"M",40,NA,7,7,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,7,"M",42,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,8,"M",41,NA,7,7,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,9,"M",39,NA,7,7,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
