"PORT","SP","DATE","SAMPLEID","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB","COMMENTS","CAS"
"Seward",145,"2022-05-07",,1,1,"M",56,3.5,25,,2,,"Charter","CRACKERJACK",485931,,2022,5,7,,"Yelleye","Demersal","",
"Seward",147,"2022-05-07",,1,1,"F",41,1.6,,,,,"Charter","CRACKERJACK",485931,,2022,5,7,,"Quill","Demersal","",
"Seward",142,"2022-05-08",,1,1,"F",38,,7,,2,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,2,"F",37,,7,,2,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,3,"F",40,,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,4,"F",37,,7,,2,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,5,"M",39,,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,6,"M",38,,8,,2,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,7,"M",41,,8,,2,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,8,"M",41,1.1,8,8,2,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,9,"",44,1.4,9,,2,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,10,"",34,0.6,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",142,"2022-05-08",,1,11,"",39,,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Black","Pelagic","",
"Seward",146,"2022-05-08",,1,1,"F",49,1.9,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Canary","Demersal","",
"Seward",147,"2022-05-08",,2,1,"F",37,,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Quill","Demersal","",
"Seward",147,"2022-05-08",,2,2,"F",41,1.3,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Quill","Demersal","1 OTO",
"Seward",147,"2022-05-08",,2,3,"M",46,1.9,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Quill","Demersal","",
"Seward",172,"2022-05-08",,1,1,"F",33,,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Dusky","Pelagic","",
"Seward",172,"2022-05-08",,1,2,"M",39,,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Dusky","Pelagic","",
"Seward",173,"2022-05-08",,1,1,"M",40,,,,,,"Charter","HARVESTER",495932,,2022,5,8,,"Dark","Pelagic","",
"Seward",145,"2022-05-09",,2,1,"F",63,5.9,35,,2,,"Charter","ARCTIC CAT",495938,,2022,5,9,,"Yelleye","Demersal","",
"Seward",145,"2022-05-09",,2,2,"F",41,1.3,17,,2,,"Charter","ARCTIC CAT",495938,,2022,5,9,,"Yelleye","Demersal","",
"Seward",145,"2022-05-09",,2,3,"F",62,5.7,34,,2,,"Charter","ARCTIC CAT",495938,,2022,5,9,,"Yelleye","Demersal","",
"Seward",145,"2022-05-09",,2,4,"F",57,3.6,31,,2,,"Charter","ARCTIC CAT",495938,,2022,5,9,,"Yelleye","Demersal","",
"Seward",145,"2022-05-09",,2,5,"M",58,4,24,24,2,,"Charter","ARCTIC CAT",495938,,2022,5,9,,"Yelleye","Demersal","",
"Seward",157,"2022-05-09",,1,1,"F",44,1.3,,,,,"Charter","ARCTIC CAT",495938,,2022,5,9,,"Silvergr","Slope","",
"Seward",142,"2022-05-15",,2,1,"F",37,,7,7,2,,"Charter","HARVESTER",485935,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,2,"M",41,1.2,,,,,"Charter","HARVESTER",485935,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,3,"M",47,1.8,,,,,"Charter","HARVESTER",485935,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,4,"M",38,,8,8,2,,"Charter","HARVESTER",485935,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,5,"F",43,,8,,2,,"Private","P1",495932,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,6,"F",40,,8,,2,,"Private","P1",495932,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,7,"F",40,,,,,,"Private","P1",495932,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,8,"F",36,,,,,,"Private","P1",495932,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,9,"F",42,,8,,2,,"Private","P1",495932,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,10,"F",51,,9,,2,,"Private","P1",495932,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,11,"F",43,,8,,2,,"Private","P1",495932,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,12,"M",40,,8,,2,,"Private","P1",495932,,2022,5,15,,"Black","Pelagic","",
"Seward",142,"2022-05-15",,2,13,"M",41,,8,,2,,"Private","P1",495932,,2022,5,15,,"Black","Pelagic","",
"Seward",145,"2022-05-15",,3,1,"F",40,1.3,12,,2,,"Charter","HARVESTER",485935,,2022,5,15,,"Yelleye","Demersal","",
"Seward",145,"2022-05-15",,3,2,"F",58,4.2,24,24,2,,"Charter","HARVESTER",485935,,2022,5,15,,"Yelleye","Demersal","",
"Seward",145,"2022-05-15",,3,3,"M",35,0.7,11,11,2,,"Charter","HARVESTER",485935,,2022,5,15,,"Yelleye","Demersal","",
"Seward",145,"2022-05-15",,3,4,"M",37,1,12,,2,,"Charter","HARVESTER",485935,,2022,5,15,,"Yelleye","Demersal","",
"Seward",147,"2022-05-15",,3,2,"F",37,1.2,,,,,"Charter","HARVESTER",485935,,2022,5,15,,"Quill","Demersal","",
"Seward",147,"2022-05-15",,3,1,"M",36,0.9,,,,,"Charter","STRIKER",475931,,2022,5,15,,"Quill","Demersal","",
"Seward",149,"2022-05-15",,1,1,"M",43,1.6,,,,,"Private","P1",495932,,2022,5,15,,"China","Demersal","1 OTO",
"Seward",173,"2022-05-15",,2,1,"F",34,0.8,,,,,"Charter","HARVESTER",485935,,2022,5,15,,"Dark","Pelagic","",
"Seward",173,"2022-05-15",,2,2,"M",36,0.8,,,,,"Charter","HARVESTER",485935,,2022,5,15,,"Dark","Pelagic","",
"Seward",142,"2022-05-17",,3,1,"F",49,,,,,,"Charter","STRIKER",475931,,2022,5,17,,"Black","Pelagic","",
"Seward",142,"2022-05-17",,3,2,"F",44,,8,,2,,"Charter","STRIKER",475931,,2022,5,17,,"Black","Pelagic","",
"Seward",142,"2022-05-17",,3,3,"F",55,,15,,2,,"Charter","STRIKER",475931,,2022,5,17,,"Black","Pelagic","",
"Seward",142,"2022-05-17",,3,4,"F",48,,,,,,"Charter","STRIKER",475931,,2022,5,17,,"Black","Pelagic","",
"Seward",142,"2022-05-17",,3,5,"F",45,1.8,8,,2,,"Charter","STRIKER",475931,,2022,5,17,,"Black","Pelagic","1 OTO",
