"SAMPLEID","PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB","COMMENTS","CAS"
"2 051223 2 10","Homer",142,"2023-05-12",1,2,"F",44,1.6,9,,"2",,"Charter","SEA HUNTER",515936,,2023,5,12,,"Black","Pelagic","",0
"2 051223 2 11","Homer",142,"2023-05-12",1,3,"",35,,5,,"2",,"Charter","SEA HUNTER",515936,,2023,5,12,,"Black","Pelagic","",0
"2 051223 2 12","Homer",142,"2023-05-12",1,4,"F",51,2.5,15,,"2",,"Charter","SEA HUNTER",515936,,2023,5,12,,"Black","Pelagic","",0
"2 051223 2 13","Homer",142,"2023-05-12",1,5,"F",48,2,9,,"2",,"Charter","SEA HUNTER",515936,,2023,5,12,,"Black","Pelagic","",0
"2 051223 2 9","Homer",142,"2023-05-12",1,1,"F",51,2.3,11,11,"2",,"Charter","SEA HUNTER",515936,,2023,5,12,,"Black","Pelagic","",0
"2 052023 3 6","Homer",142,"2023-05-20",2,1,"F",43,,9,,"2",,"Charter","FISH MAGNET",515936,,2023,5,20,,"Black","Pelagic","",0
"2 052023 3 7","Homer",154,"2023-05-20",2,2,"M",34,,9,,"2",,"Charter","FISH MAGNET",515936,,2023,5,20,,"DuskyDrk","Pelagic","Not Black RF",0
"2 052023 3 8","Homer",173,"2023-05-20",1,1,"M",30,,,,"",,"Charter","FISH MAGNET",515936,,2023,5,20,,"Dark","Pelagic","",0
"2 052123 4 16","Homer",142,"2023-05-21",3,1,"F",45,1.6,9,,"2",,"Charter","TUFF STUFF",515907,,2023,5,21,,"Black","Pelagic","",0
"2 052123 4 17","Homer",172,"2023-05-21",1,3,"M",37,0.7,,,"",,"Charter","TUFF STUFF",515907,,2023,5,21,,"Dusky","Pelagic","",0
"2 052123 4 18","Homer",172,"2023-05-21",1,4,"M",39,1,,,"",,"Charter","TUFF STUFF",515907,,2023,5,21,,"Dusky","Pelagic","",0
"2 052123 4 19","Homer",172,"2023-05-21",1,5,"F",34,0.6,,,"",,"Charter","TUFF STUFF",515907,,2023,5,21,,"Dusky","Pelagic","",0
"2 052123 4 5","Homer",172,"2023-05-21",1,1,"M",33,0.6,,,"",,"Charter","TUFF STUFF",515907,,2023,5,21,,"Dusky","Pelagic","",0
"2 052123 4 6","Homer",172,"2023-05-21",1,2,"F",32,0.7,,,"",,"Charter","TUFF STUFF",515907,,2023,5,21,,"Dusky","Pelagic","",0
"2 052823 3 4","Homer",172,"2023-05-28",2,1,"F",38,1,,,"",,"Private","P1",515936,,2023,5,28,,"Dusky","Pelagic","",0
"2 052823 3 5","Homer",172,"2023-05-28",2,2,"F",32,0.6,,,"",,"Private","P1",515936,,2023,5,28,,"Dusky","Pelagic","",0
"2 052923 5 13","Homer",147,"2023-05-29",1,1,"M",44,,,,"",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Quill","Demersal","",1
"2 052923 5 14","Homer",145,"2023-05-29",1,1,"M",64,,53,,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Yelleye","Demersal","",1
"2 052923 5 15","Homer",172,"2023-05-29",3,1,"",36,,,,"",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Dusky","Pelagic","",1
"2 052923 5 16","Homer",172,"2023-05-29",3,2,"F",40,,,,"",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Dusky","Pelagic","",1
"2 052923 5 17","Homer",142,"2023-05-29",4,1,"",53,,9,,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Black","Pelagic","",1
"2 052923 5 18","Homer",142,"2023-05-29",4,2,"F",50,,9,,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Black","Pelagic","",1
"2 052923 5 19","Homer",142,"2023-05-29",4,3,"F",52,,14,,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Black","Pelagic","",1
"2 052923 5 20","Homer",142,"2023-05-29",4,4,"F",47,,9,,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Black","Pelagic","",1
"2 052923 5 21","Homer",142,"2023-05-29",4,5,"M",43,,10,10,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Black","Pelagic","",1
"2 052923 5 22","Homer",142,"2023-05-29",4,6,"F",47,,9,,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Black","Pelagic","",1
"2 052923 5 23","Homer",142,"2023-05-29",4,7,"F",49,,11,11,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Black","Pelagic","",1
"2 052923 5 24","Homer",142,"2023-05-29",4,8,"F",51,,9,,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Black","Pelagic","",1
"2 052923 5 25","Homer",142,"2023-05-29",4,9,"",48,,9,,"2",,"Charter","OUTRAGEOUS",515906,,2023,5,29,,"Black","Pelagic","",1
"2 060523 3 1","Homer",142,"2023-06-05",5,1,"F",48,,9,,"2",,"Private","P1",515937,,2023,6,5,,"Black","Pelagic","",0
"2 060523 3 2","Homer",142,"2023-06-05",5,2,"F",39,,9,,"2",,"Private","P1",515937,,2023,6,5,,"Black","Pelagic","",0
"2 060723 1 1","Homer",172,"2023-06-07",4,1,"M",37,,,,"",,"Charter","WEST CAPE",515907,,2023,6,7,,"Dusky","Pelagic","",1
"2 060723 1 2","Homer",172,"2023-06-07",4,2,"F",35,,,,"",,"Charter","WEST CAPE",515907,,2023,6,7,,"Dusky","Pelagic","",1
"2 060723 1 3","Homer",172,"2023-06-07",4,3,"M",33,,,,"",,"Charter","WEST CAPE",515907,,2023,6,7,,"Dusky","Pelagic","",1
"2 060723 1 4","Homer",145,"2023-06-07",2,1,"",33,,7,,"2",,"Charter","WEST CAPE",515907,,2023,6,7,,"Yelleye","Demersal","",1
"2 060723 2 1","Homer",172,"2023-06-07",4,4,"M",39,,,,"",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Dusky","Pelagic","",1
"2 060723 2 10","Homer",142,"2023-06-07",6,5,"F",47,,9,,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 060723 2 11","Homer",142,"2023-06-07",6,6,"",47,,9,,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 060723 2 12","Homer",142,"2023-06-07",6,7,"M",46,,9,,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 060723 2 13","Homer",142,"2023-06-07",6,8,"F",48,,9,,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 060723 2 14","Homer",142,"2023-06-07",6,9,"F",52,,9,,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 060723 2 15","Homer",142,"2023-06-07",6,10,"F",48,,9,,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 060723 2 16","Homer",142,"2023-06-07",6,11,"F",50,,9,9,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 060723 2 2","Homer",172,"2023-06-07",4,5,"F",44,,,,"",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Dusky","Pelagic","",1
"2 060723 2 3","Homer",172,"2023-06-07",4,6,"",37,,,,"",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Dusky","Pelagic","",1
"2 060723 2 4","Homer",172,"2023-06-07",4,7,"",49,,,,"",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Dusky","Pelagic","",1
"2 060723 2 5","Homer",145,"2023-06-07",2,2,"M",36,,8,8,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Yelleye","Demersal","",1
"2 060723 2 6","Homer",142,"2023-06-07",6,1,"F",50,,9,,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 060723 2 7","Homer",142,"2023-06-07",6,2,"F",44,,9,9,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 060723 2 8","Homer",142,"2023-06-07",6,3,"M",44,,9,,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
