"PORT","SP","DATE","SAMPLEID","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB","CAS","COMMENTS"
"Homer",142,2025-05-25,"2 052525 4 7",1,1,"M","51",,,,,,"Charter","RUNNAMUCK","525902",,2025,5,25,,"Black","Pelagic","0",
"Homer",142,2025-05-25,"2 052525 5 1",1,2,"F","49","2.4",,,,,"Private","P2","515908",,2025,5,25,,"Black","Pelagic","0",
"Homer",142,2025-05-25,"2 052525 5 2",1,3,"","33",,,,,,"Private","P2","515908",,2025,5,25,,"Black","Pelagic","0","Gonads removed"
"Homer",142,2025-05-25,"2 052525 5 3",1,4,"F","49","2.2999999999999998",,,,,"Private","P2","515908",,2025,5,25,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 2 2",2,1,"F","52","4.3",,,,,"Private","P2","515936",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 6 4",2,2,"M","46",,,,,,"Charter","SNOW GOOSE II","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 6 5",2,3,"M","55",,,,,,"Charter","SNOW GOOSE II","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 6 6",2,4,"F","48",,,,,,"Charter","SNOW GOOSE II","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 6 7",2,5,"M","45",,,,,,"Charter","SNOW GOOSE II","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 6 8",2,6,"F","47",,,,,,"Charter","SNOW GOOSE II","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 6 9",2,7,"F","45",,,,,,"Charter","SNOW GOOSE II","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 6 10",2,8,"F","45",,,,,,"Charter","SNOW GOOSE II","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 6 11",2,9,"F","52",,,,,,"Charter","SNOW GOOSE II","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 8 7",2,10,"F","49",,,,,,"Charter","EARLY RISER","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 8 8",2,11,"F","49",,,,,,"Charter","EARLY RISER","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 8 9",2,12,"F","52",,,,,,"Charter","EARLY RISER","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 8 10",2,13,"F","53",,,,,,"Charter","EARLY RISER","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-26,"2 052625 8 11",2,14,"F","50",,,,,,"Charter","EARLY RISER","525901",,2025,5,26,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 1",3,1,"M","45","2.9",,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 2",3,2,"","52","2.5",,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0","Gonads removed"
"Homer",142,2025-05-31,"2 053125 6 3",3,3,"M","49",,,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 4",3,4,"M","56","3.5",,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 5",3,5,"M","46","2.8",,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 6",3,6,"M","45",,,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 7",3,7,"M","45","2.5",,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 8",3,8,"M","48","2.8",,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 9",3,9,"F","47","2.8",,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 10",3,10,"F","49","3",,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 11",3,11,"M","48",,,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 6 12",3,12,"M","46",,,,,,"Charter","EARLY RISER","515905",,2025,5,31,,"Black","Pelagic","0",
