"AREA","SITE","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","MATURITY","LENGTH","WEIGHT","AGE","STATAREA","FINCLIPA","FINCLIPC","FINCLIPD","FINCLPAN","FL","AGECONF","RARE","SPECIES","USER","ASSEMB","PORT","PERIOD","RATE"
10,2,1991,6,26,1,1,145,"M",NA,27,NA,13,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,6,26,1,2,145,"F",NA,45,NA,29,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,6,26,1,3,145,"M",NA,56.3,NA,34,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,6,26,1,4,145,"M",NA,42,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,1,2,1,145,"M",NA,53,NA,31,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,1,2,2,145,"F",NA,41,NA,18,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,1,2,3,145,"F",NA,48,NA,38,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,4,3,1,145,"",NA,48,NA,22,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,6,4,1,145,"M",NA,34,NA,13,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,6,4,2,145,"",NA,NA,NA,40,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,6,4,3,145,"",NA,NA,NA,24,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,6,4,4,145,"",NA,NA,NA,58,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,1,145,"M",NA,39,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,2,145,"M",NA,40,NA,15,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,3,145,"M",NA,59,NA,30,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,4,145,"M",NA,43,NA,18,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,5,145,"M",NA,36,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,6,145,"M",NA,47,NA,18,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,7,145,"F",NA,49,NA,26,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,8,145,"F",NA,34,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,9,145,"F",NA,50,NA,26,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,10,145,"M",NA,44,NA,20,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,11,145,"F",NA,42,NA,22,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,12,145,"F",NA,42,NA,55,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,13,145,"M",NA,57,NA,37,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,11,5,14,145,"F",NA,49,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,1,145,"M",NA,33.5,NA,13,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,2,145,"M",NA,48,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,3,145,"F",NA,37,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,4,145,"F",NA,47,NA,31,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,5,145,"F",NA,47,NA,24,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,6,145,"F",NA,50,NA,24,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,7,145,"F",NA,37.5,NA,15,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,8,145,"M",NA,51.5,NA,21,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,9,145,"F",NA,49.5,NA,40,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,10,145,"M",NA,51,NA,30,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,13,6,11,145,"F",NA,44,NA,25,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,1,145,"F",NA,29.5,NA,13,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,2,145,"F",NA,38,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,3,145,"M",NA,54.5,NA,34,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,4,145,"F",NA,33.5,NA,15,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,5,145,"M",NA,51,NA,33,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,6,145,"M",NA,47,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,7,145,"M",NA,52,NA,33,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,8,145,"",NA,30,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,9,145,"F",NA,41.5,NA,16,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,10,145,"M",NA,53,NA,46,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,11,145,"",NA,32.5,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,12,145,"F",NA,29.5,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,13,145,"F",NA,38,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,14,145,"M",NA,54.5,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,15,145,"F",NA,33.5,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,14,7,16,145,"M",NA,51,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,15,8,1,145,"F",NA,35,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,15,8,2,145,"M",NA,32,NA,13,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,18,9,1,145,"M",NA,46,NA,29,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
