"AREA","SITE","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","MATURITY","LENGTH","WEIGHT","HUNDRED","AGE","AGECONF","STATAREA","FINCLIPA","FINCLIPC","FINCLIPD","FINCLPAN","FL","RARE","SPECIES","USER","ASSEMB","PORT","sasdate"
161,3,1996,5,31,1,1,142,"F",5,53.5,NA,",",12,3,515903,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-05-31
161,3,1996,5,31,1,2,142,"M",3,46.7,NA,",",NA,NA,515903,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-05-31
161,3,1996,5,31,1,3,142,"F",6,57.4,NA,",",14,2,515903,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-05-31
161,3,1996,5,31,1,4,142,"F",5,55.4,NA,",",13,2,515903,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-05-31
161,3,1996,5,31,1,5,142,"M",3,51.6,NA,",",13,2,515903,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-05-31
161,3,1996,6,7,2,1,142,"M",4,48.1,NA,",",18,1,515906,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-07
161,3,1996,6,7,2,2,142,"F",3,50.8,NA,",",14,1,515906,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-07
161,3,1996,6,9,3,1,142,"M",4,46.9,NA,",",17,2,515907,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-09
161,3,1996,6,9,3,2,142,"F",5,53.2,NA,",",17,1,515907,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-09
161,3,1996,6,15,4,1,142,"M",4,49.1,NA,",",24,2,525901,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-15
161,3,1996,6,16,5,1,142,"M",4,52.2,NA,",",22,2,525902,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-16
161,3,1996,6,16,5,2,142,"F",4,51.4,NA,",",14,1,525902,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-16
